Freq, Name
1, a'aya
1, aalayah
5, aaliyah
1, aanelle
1, aasima
1, aayla
1, abagayl
1, abaigeal
9, abbey
1, abbi
1, abbie
2, abbigail
22, abby
1, abby-lea
1, abby-lynn
1, abbygail
1, abbygale
1, abeeha
2, abena
1, abigael
54, abigail
1, abigale
1, abigayle
1, abilene
1, abniah
1, abrahanna
1, abrar
1, abriel
1, abygael
1, abygail
2, acacia
1, ada
1, adaiah
2, adara
1, addelaine
1, addie
5, addison
1, addysen
3, adele
1, adelin
1, adelle
1, aden
3, adia
1, adiki
3, adina
1, adoncia
1, adora
1, adria
8, adriana
1, adrianah
8, adrianna
1, adrieanna
1, adrielle
2, adrien
5, adrienne
2, adrionna
1, aekam
1, aemilia
1, aerin
1, afanasia
1, afnaan
1, afnan
1, afreen
1, afrin
3, aganetha
1, ahawi
1, ahdia
1, ahlam
1, ahlianna
1, ahpunii
1, ahryn
1, ahuva
1, aia
4, aidan
1, aiden
1, aiesha
1, ailbhe
1, aileena
1, ailene
1, aili
1, ailie
1, ailin
1, ailish
12, aimee
1, aimey
2, aimie
6, ainsley
2, ainslie
1, aireal
8, aisha
1, aishah
1, aishwarya
1, aisleigh
2, aisling
4, aislinn
1, aislyn
1, aislynn
2, aiyana
1, aiyanna
1, aiysha
1, aja
1, ajda
2, akira
1, akosha
1, akshaya
1, alaa
5, alaina
1, alaine
12, alana
1, alanah
1, alandra
1, alanis
9, alanna
4, alannah
1, alarie
2, alaura
1, alayah
5, alayna
2, alaynah
1, albane
1, albanie
1, albertine
1, aldonza
2, aleah
1, aleanna
1, aleasha
2, alecia
2, aleena
1, aleesa
2, aleesha
1, aleia
5, aleisha
1, alejandra
2, aleksandra
1, aleksis
2, alena
1, aleria
1, alesandra
4, alesha
1, aleshia
1, aleska
2, alessandra
2, alessia
1, aleta
7, alex
24, alexa
109, alexandra
2, alexandrea
21, alexandria
1, alexandria-lee
1, alexanna
2, alexi
4, alexia
2, alexie
1, alexina
67, alexis
1, alexius
1, alexsandra
3, alexus
1, alexxandra
2, alexya
1, alexzanderia
1, alexzandria
3, ali
8, alia
1, aliah
1, aliana
1, alianna
1, alica
4, alice
27, alicia
2, alida
1, alier
1, aliera
1, aliesha
3, alina
4, alisa
1, alise
7, alisha
2, alishia
1, alisi
12, alison
8, alissa
1, alissety
2, alix
2, alixx
4, aliya
5, aliyah
1, alizza
1, allaha
1, allana
1, allanah
4, allegra
1, allena
1, allesandra
1, allesha
1, allessandra
1, alley
3, allie
1, allisha
44, allison
1, allissa
1, allisyn
1, alliyah
1, alliye
3, ally
1, allyah
6, allysa
1, allyse
2, allysha
10, allyson
3, allyssa
1, almira
1, alondra
2, alora
1, alphonsine
1, aluda
1, alura-jane
1, alvira
1, alx
1, alyas
4, alycia
1, alyicia
2, alyna
2, alynne
4, alysa
1, alyse
10, alysha
1, alysha-ann
2, alyshia
2, alysia
5, alyson
113, alyssa
1, alyssandra
1, alysse
2, alyssia
1, alyxandra
2, amalia
1, aman
105, amanda
2, amandeep
2, amani
1, amanjot
1, amannie
4, amanpreet
3, amara
1, amaran
1, amaya
60, amber
3, amber-lynn
1, amberly
1, ambika
1, ambre
1, ambreena
1, ameera
1, amela
20, amelia
2, amelie
1, ameris
3, amie
3, amina
3, amira
1, amirah
1, amita
1, ammara
1, ammera
1, amne
1, amorina
1, amreet
1, amrit
1, amrita
75, amy
1, amy-joy
1, amy-lee
2, amylia
3, ana
1, anah
2, anais
1, analiese
1, analisa
1, anam
1, anamika
1, ananya
11, anastasia
2, andee
1, andi
5, andie
1, andra
35, andrea
1, andree-anne
1, andrei
3, andreya
1, andriana
1, anelise
1, anesa
20, angel
13, angela
1, angele
1, angelene
1, angelic
7, angelica
1, angelika
3, angelina
2, angeline
2, angelique
1, angelita
1, angellica
3, angie
1, anh
1, ania
1, anik
11, anika
1, anika-jenelle
1, aniqa
1, anique
1, anise
1, anishia
2, anissa
1, anissah
7, anita
1, anja
2, anjali
1, anjalyne
1, anjeli
1, ankita
1, anmol
1, anmoljit
2, ann
1, ann-marie
59, anna
1, anna-lise
1, anna-marie
1, anna-michelle
1, annabel
1, annabella
4, annabelle
1, annabeth
1, annaja
1, annaka
1, annaliese
4, annalise
1, annalyn
2, annamarie
10, anne
1, anneicia
1, anneka
2, annelise
1, annemarie
1, annessa
1, annette
1, annicole
12, annie
8, annika
1, annilee
1, annmarie
1, anoela
1, anok
1, anoosha
1, ansley
1, anthonia
1, anthroniki
1, antoinette
1, antonia
1, anupa
1, anupma
1, anuraj
1, anushri
3, anya
1, aoife
17, april
1, aprilann
1, aprille
2, apryl
1, aqila
6, arden
1, areeba
1, argelia
1, argentina
2, arial
1, arialla
10, ariana
1, ariana-jade
2, ariane
15, arianna
1, arianne
1, ariba
16, ariel
2, arielle
1, arieta
1, arin
1, aris
1, arisa
2, arizona
1, arlana
1, arlene
1, arman
1, aroob
1, arshpreet
1, arshvir
1, arthi
1, arulia
1, arwen
1, arya
1, aryanna
4, aryn
1, arynne
3, asha
1, ashaila
1, ashbey
1, ashi
1, ashima
1, ashlan
1, ashlea
1, ashleah
7, ashlee
5, ashleigh
1, ashlene
137, ashley
1, ashley-anne
1, ashley-chelsea
2, ashlie
1, ashly
15, ashlyn
7, ashlynn
2, ashna
1, ashpinder
1, ashten
8, ashton
2, ashtyn
6, asia
1, asifa
1, asil
1, asiya
1, askiw-kayatota
1, asli
1, asmaa
6, aspen
1, aspyn
1, assumpta
2, astrid
1, asya
9, athena
1, athena-lee
1, athia
1, attashia
3, aubrey
1, aubrey-anne
1, aubryn
1, audra
5, audrey
1, august
1, aundrea
1, aura
1, aurianna
8, aurora
1, ausha
1, autiqa
1, autum
27, autumn
1, autumn-sky
8, ava
2, avalon
1, avaneet
1, aven
1, averey
1, averi
1, averie
26, avery
1, avery-lynn
1, averyanna
1, aviane
1, aviva
6, avneet
1, avrille
1, awstynn-maree
1, axee
2, aya
2, ayah
1, ayahnooriman
1, ayanna
1, ayanna-bailey
2, ayden
1, ayeasha
1, ayena
1, ayesha
6, ayla
1, aymi
1, ayrie
1, aysa
1, aysha
1, aysia
1, azalea
2, azaria
1, azeeza
1, azlyn
1, azra
1, baaloon
38, baby
1, bacardi
1, bae-lee
1, baeleigh
1, bahiyyih
4, bailee
59, bailey
1, bailey-lynn
1, baili
1, baillie
1, baily
1, balbina
2, baldeep
1, bani
8, barbara
1, batol
1, bayan
1, baylea
5, baylee
2, bayleigh
3, bayley
1, bayli
5, baylie
2, beatrice
1, becka
3, becky
1, belle
1, bellona
1, benin
1, benita
1, bentleigh
1, bergen
1, bernadette
2, bernice
1, bertha
4, beth
23, bethany
1, bethel
1, bethel-easter
2, betty
2, beverley
1, beverly
1, bevleen
1, beyonce
1, bhan
1, bhavandeep
1, bhavisha
1, bhavleen
8, bianca
2, bijal
1, billi
4, billie
1, binafshah
1, bineeta
1, blaenau
2, blair
2, blaire
1, blaise
2, blanca
1, blandine
1, blane
1, blayre
1, blaze
3, bobbi
1, bobbiann
2, bobbie
1, bonita
2, bonnie
1, botayna
1, bracken
1, bradee
1, bradie
1, brady
1, braedan
1, braelynn
1, braelynne
1, brandee
11, brandi
1, brandie
6, brandy
1, brandy-marie
3, braxton
2, braydee
1, brayden
1, braylee
1, brayleigh
2, brea
1, brea-anna
2, breagh
3, breana
7, breann
63, breanna
1, breannah
22, breanne
2, bree
1, breea
1, breeanna
1, breeanne
1, breeze
2, breigh
1, breighann
1, brelynn
1, bren
3, brenda
1, brenlyn
17, brenna
1, brennan
3, brett
1, breyanna
1, bri-anne
2, bria
6, briana
1, brianagh
76, brianna
1, brianna-marie
1, briannagh
17, brianne
1, briar
7, bridget
1, bridgit
1, bridgitte
2, brie
1, brie'enna
3, brieann
4, brieanna
2, brielle
1, briggs
1, brighanna-jaimz
2, brigitte
1, brina
2, brinley
1, brinlyn
1, brinnley
1, briony
1, britannie
3, britany
1, britnee
20, britney
1, britni
1, britta
1, brittaney
3, brittani
94, brittany
1, britteny
3, brittnay
38, brittney
1, brittni
2, brittny
1, briyahna
1, brock
1, brodie
1, bronte
10, bronwyn
7, brook
101, brooke
5, brooke-lynn
1, brookelyn
1, brooklin
63, brooklyn
2, brooklyne
16, brooklynn
1, brooklynne
1, browyn
1, bryana
1, bryann
12, bryanna
2, bryanne
1, bryar-rose
2, bryce
2, brydie
1, brye-ann
5, bryn
4, bryna
22, brynn
2, brynna
3, brynne
1, bryth
1, bryttany
1, cabri
4, cadence
1, cadian
2, caelan
1, caelen
1, caeley
1, caeli
1, caelin
1, caera
1, caetlin
1, caia
2, cailee
1, caileen
1, caileigh
3, cailin
1, caillean
4, cailyn
1, caira
1, caisha
1, caissa
1, caissie
1, caite
1, caithlin
38, caitlin
1, caitlyin
29, caitlyn
3, caitlynn
1, calandra
1, caledonia
3, caleigh
2, caley
2, cali
1, calida
1, calina
11, calista
2, calla
1, calli
9, callie
2, callista
2, cally
1, callysa
1, calvina
2, calyssa
2, calysta
1, cambell
2, cambria
1, cambrie
1, cameo
1, cameran
11, cameron
3, camila
2, camilla
7, camille
1, camis
1, camisha
19, camryn
4, candace
1, candice
2, capri
11, cara
1, cara-lynn
1, caralee
2, cari
5, carina
10, carissa
6, carla
6, carlee
2, carleigh
2, carlene
2, carley
1, carley-mae
2, carlie
2, carlin
1, carling
1, carlita
33, carly
3, carlyn
1, carlyne
1, carlynn
1, carman
2, carmelle
24, carmen
3, carol
1, carol-anne
1, carolanne
1, carole
1, carolene
2, carolina
10, caroline
1, carolle-ann
1, carollynn
6, carolyn
2, carolynn
4, carrie
2, carrington
2, carson
4, casandra
7, casey
1, casey-lynn
1, casi
1, casidee
1, casidy
1, casie
1, cassady
68, cassandra
1, cassi
1, cassia
106, cassidy
1, cassidy-lynn
8, cassie
1, cassyn
1, catalina
2, cate
1, catelynn
1, catharina
1, cathelyne
29, catherine
1, cathie
2, cathleen
1, cathryn
2, cathy
1, catie
3, catrina
1, caycee
4, cayla
2, caylee
3, cayleigh
1, caylen
1, caylene
7, cayley
1, caylie
1, caylin
2, caylyn
1, caylynn
1, caysi
1, caysie
1, caytlynn
1, cazandra
2, ceanna
1, ceara
1, cecile
4, cecilia
1, ceiledh
6, ceilidh
1, celeina
3, celena
2, celene
10, celeste
3, celia
9, celina
7, celine
1, celyn
3, cera
1, cerah
1, ceyenne
1, chaely
1, chalce
1, chance
1, chancey
3, chandra
12, chanel
1, chanell
1, chanelle
1, chanice
1, chaniece
1, chansie
10, chantal
1, chantal-jane
1, chantalee
2, chantalle
20, chantel
9, chantelle
1, chanyda
1, chao
3, charis
1, charish
4, charissa
2, charity
2, charla
1, charlee
1, charleigha
6, charlene
2, charley
1, charleze
1, charli
4, charlie
1, charlie-beth
1, charlie-may
1, charline
10, charlotte
4, charmaine
1, chasey
1, chasidy
1, chasitty
2, chasity
1, chassidy
1, chatanvir
1, chau
2, chavonne
1, chay-anna
1, chayia
2, chayla
1, chayna
1, chaysa
1, chealynn
1, chela
1, chelse
65, chelsea
1, chelsea-anne
1, chelsea-lynn
20, chelsey
1, chelsi
1, chelsie
2, chelsy
1, chen
1, chenelle
1, chenlu
1, chenoa
1, cheri
1, cherice
2, cherise
1, cherish
1, cherissa
1, cherita
1, cherrisa
2, cheryl
1, chesley
1, chevaun
1, cheyan
1, cheyann
1, cheyanna
15, cheyanne
31, cheyenne
1, cheyla
1, cheyleigh
1, chiamaka
3, chiara
1, chicquita
1, chiloh
79, chloe
1, chloee
1, chloyee
1, chnar
1, chrissa
4, christa
1, christa-lee
1, christal
1, christences
1, christi
1, christian
2, christiana
4, christie
30, christina
24, christine
4, christy
1, christy-ann
1, chrisy
1, chudear
7, chyanne
1, chynna
1, cian
3, ciana
9, ciara
2, ciarra
1, cicily
1, cidney
1, cielle
1, cienna
2, ciera
4, cierra
1, cieyva
1, cinamon
13, cindy
1, cisely-ann
1, clair
55, claire
8, clara
6, clare
1, clarice
1, clarisa
1, clarise
4, clarissa
11, claudia
1, claudine
1, claudy
1, cleodra
1, clerie
3, cloe
1, cloe-soleil
1, cloey
1, codie
1, cody
1, colbi
1, colby
2, cole
2, colette
3, colleen
1, connie
1, constance
1, contessa
1, copelan
4, cora
1, cora-ann
1, cora-lea
5, coral
1, coralie
1, corey
1, corey-dale
2, cori
1, corie-lynn
1, corina
1, corisa
1, corissa
1, corlynn
1, cornelia
2, corrina
1, corrine
1, cortina
1, cortney
1, coryn
1, cosette
1, courteney
1, courtlyn
2, courtnee
90, courtney
2, cree
1, crimson
1, cristina
1, cristine
1, crysta
17, crystal
2, cydney
1, cydny
1, cyera
1, cymantha-lee
1, cynder
9, cynthia
1, cypriana
1, cyrena
1, d'maris
2, daania
1, dacey
1, dachelle
1, dacia
1, daelyn
1, dailey
1, daimery
1, daisia
2, daisy
13, dakota
1, dalainey
1, dalal
1, daleen
1, dalen
1, dalena
1, daley
1, dalia
1, dalila
1, dalis
5, dallas
1, dallis
1, dalya
2, dalyce
1, dalyn
1, daman
2, damaris
1, damiane
31, dana
1, dana-lynne
1, danaca
2, danae
1, danai
2, danaya
1, daneca
1, daneige
1, daneka
1, danelia
2, danelle
2, dani
15, danica
1, danicah
1, daniele
7, daniella
68, danielle
1, daniellia
11, danika
1, danikka
1, danisa
1, danita
1, danitta
2, danna
1, danni-rae
2, dannica
1, dante
1, danya
1, danyal
2, danyelle
2, danyka
2, daphne
1, daquotah-lynn
3, dara
1, darbi
1, darbi-jean
15, darby
3, darci
1, darcia
3, daria
7, darian
1, dariann
1, darice
2, darien
1, darla
3, darlene
1, darrian
2, darrien
1, darrion
1, daryl-lynn
1, dasa
2, dasha
2, dawn
1, dawna
1, dawnarae
4, dawson
1, dawsyn
2, dayle
1, daylene
1, daylin
1, daylyn
1, dayme
1, dayn
6, dayna
1, daynee
1, dayonarah
1, dayra-lynn
1, dayton
1, daytona
1, daytona-marie
1, de'ja
2, deana
1, deandra
16, deanna
3, deanne
6, deborah
1, debra
1, deconnia
1, deianeira
1, deidra
1, deidre
1, deirdre
2, deja
1, delaina
1, delainah
1, delaine
1, delainey
1, delaini
19, delaney
3, delanie
2, delayna
1, delband
2, delilah
1, delissa
1, della
1, dellia
1, demetra
5, demi
3, dena
2, denae
1, denali
1, deniell
1, denika
1, denina
1, denine
1, denisa
6, denise
1, denna
1, dennea
1, denni
1, denssyl
2, denver
1, deonna
1, derian
1, derica
1, desarae
2, desirae
1, desirae-alanna
2, desirea
10, desiree
3, destany
4, destinee
1, destiney
31, destiny
1, destyny
3, devan
1, devanee
1, deven
1, devianni
2, devin
3, devon
6, devyn
3, devynn
1, dezarae
1, dezerae
1, dezirae
1, deziray
1, dezirea
1, dharla
2, dharma
1, diadem
2, diamond
9, diana
1, dianarah
1, diandra
6, diane
1, dianna
1, dibya
2, diksha
1, diljot
1, dilpreet
1, dina
1, dion
1, dione
1, disha
1, diviya
2, divya
1, do
13, dominique
1, dominque
1, donelle
3, donna
3, doreen
1, dorienne
1, dorlisa
5, dorothy
1, douney
11, drew
1, dru
1, drue
1, druvika
1, duhaa
1, dunika
1, duniya
1, dymond
1, eamily
1, eastynn
1, ebonie
4, ebony
1, ebtehage
1, ecaterina
2, echo
1, eda
6, eden
2, edie
2, edith
2, edna
1, edyn
1, eesha
1, eghe-osa
1, eifa
1, eila
2, eileen
1, eilidh
1, eireland
1, ekaterina
1, ekin
1, ekta
3, elaina
6, elaine
1, elainna
1, elan
2, elana
1, elanah
1, elatia
1, elayna
4, eleanor
1, eleena
1, eleese
10, elena
1, elham
1, elia
1, eliana
1, elicia
1, elida
2, elisa
7, elisabeth
9, elise
2, elisha
1, elissabeth
1, elite
3, eliza
84, elizabeth
14, ella
4, elle
4, ellen
1, ellery
1, ellianne
2, ellie
1, ellin
1, ellina
1, elliott
1, ellis
1, ellissa
1, ellysa
1, ellyssa
1, elnora
1, elora
1, elsa
5, elsie
1, elura
1, elyan
5, elyse
1, elysha
5, elyssa
1, emaghea
4, emalee
1, eman
1, ember
1, emei
2, emelia
2, emelie
3, emerald
4, emerson
1, emery
2, emi
9, emilee
6, emilia
18, emilie
1, emilija
1, emiline
275, emily
1, emily-ann
2, emily-jane
1, emily-may
1, emirye
1, emjay
192, emma
1, emma-belle
1, emma-jean
3, emma-lee
1, emma-leigh
1, emma-may
1, emmaleen
1, emmalie
1, emme
1, emmilee
1, emmily
1, emmy
1, emyrson
1, eniah-allah
1, enya
1, ephemia
1, epiphany
1, ereeb
1, eri
31, erica
37, erika
73, erin
1, erin-robyn
1, erinn
1, erykah
1, erykka
2, eryn
2, erynn
1, esmaa
3, esme
1, esra
1, essraa
1, estelle
6, esther
2, eunice
17, eva
1, evangelena
1, evangelina
5, evangeline
1, evanne
9, eve
1, eveleen
1, evelien
1, evelina
10, evelyn
1, evelyne
1, everest
1, evonie
1, evynn
1, eyota
1, fabiana
1, fabiola
1, fabrice
38, faith
2, faiza
1, fajran
1, faleen
1, falin
1, fallan
1, fallon
1, falyn
1, farah
1, farhi
1, fariha
1, farnaz
2, farrah
1, fatem
1, fatema
10, fatima
1, fatima-zahra
1, fattima
1, faustina
2, faven
1, fawn
2, fayth
1, faythe
2, feather
1, feimoon
8, felicia
7, felicity
1, ffyona
1, filiz
1, fion
5, fiona
1, florence
1, floria
1, floriane
1, folasayo
1, fortesa
1, fosta
4, frances
4, francesca
2, franchesca
1, francoise
2, frankie
1, frankie-ann
1, freedom
1, freida
2, freya
1, gaberielle
3, gabriel
3, gabriela
8, gabriella
1, gabriella-nancy
38, gabrielle
1, gabryelle
2, gagandeep
1, ganit
1, garey
1, garrina
1, gavrielle
3, geena
1, geerthana
5, gemma
1, gena
1, geneece
1, genesis
2, geneva
8, genevieve
1, genie
1, genna
1, georden
1, georgi-ann
27, georgia
1, georgia-rae
3, georgina
1, geraldine
1, geri-ann
1, gerica
1, gerilynn
1, gertruda
1, gertrude
1, gessina
1, getroda
2, getruda
1, ghada
1, ghazal
1, gheed
1, ghofrane
1, gia
1, gianna
17, gillian
5, gina
1, gina-mae
1, giovanna
3, giselle
1, giuliana
1, gladys
1, glenna
1, glennikka
5, gloria
1, gloria-ray
2, glynnis
1, gountene
64, grace
1, gracelyn
1, gracen
1, graciana
9, gracie
1, graciela
1, gracyn
1, graysen
2, greer
1, greta
1, gretchen
2, gretta
1, gucci
1, guen
1, guinevere
1, guneet
1, guramrit
1, gurbir
1, gurjot
1, gurkomal
1, gurleen
1, gurneer
1, gurnoor
1, gurpreet
1, gurraj
1, gursimran
1, gursimren
1, gurvinder
2, gwendolyn
3, gwyneth
1, gwynneth
1, hadley
1, haesel
1, haidan
1, haidyn
2, haile
8, hailee
1, hailei
70, hailey
1, hailie
2, haille
1, hailley
2, haily
1, hajer
1, hajir
1, hajur
1, hala
1, halat
1, haleah
3, halee
3, haleigh
1, haleisha
74, haley
1, hali
3, halie
1, halima
1, halla
12, halle
3, halley
7, hallie
1, hamere
1, han
9, hana
1, hanah
1, hanako
1, hanan
1, haneen
1, hanina
38, hanna
174, hannah
1, hannah-lee
1, hannah-marie
1, hannan
1, harbir
1, harjas
1, harkarn
2, harkiran
1, harland
2, harlee
6, harleen
1, harleigh
4, harley
1, harli
1, harlie
1, harlynna
2, harman
1, harmeet
1, harmehar
1, harmehek
11, harmony
1, harnaaz
1, harneet
2, harper
1, harpreet
1, harriet
1, harshiya
1, harsimrit
1, haruka
1, harvinder
1, hasea
1, hatice
1, hau
3, haven
1, hawa
1, hawriaa
1, hayat
1, hayden
2, haylea
18, haylee
1, haylee-dawn
1, haylee-jo
1, hayleigh
1, haylen
58, hayley
4, haylie
1, hayven
1, hazal
3, hazel
26, heather
5, heaven
1, heaven-leigh
1, hei
9, heidi
2, helaina
1, helana
1, heleen
10, helen
9, helena
1, helena-ivanna
1, helina
1, hero
1, hester
1, heyam
1, hibah-allah
3, hilary
2, hilda
1, hilde
2, hillary
1, hillina
1, himath
1, hina
1, hinnah
2, hoda
1, holli
3, hollie
31, holly
1, holly-ann
1, hong
31, hope
1, houada
2, huda
1, hudson
1, hue
14, hunter
1, huynh
1, ida
1, ieasha
1, iesha
1, ikama
1, ikram
1, ilayna
1, illianna
1, ilse
1, ilyanna
1, imaan
1, imaara
1, imajyn
3, iman
2, inaara
1, inara
2, india
1, indigo
1, indya
1, ines
1, ingelise
1, inka
1, innes
1, iphagenia
4, ireland
2, irene
1, irene-mae
1, irina
3, iris
15, isabel
1, isabela
2, isabell
26, isabella
29, isabelle
1, isadora
1, iscah
2, isha
1, isibeal
1, isis
1, isla
1, isobel
2, iva
4, ivana
2, ivanna
1, ivoree
2, ivory
9, ivy
1, iyla
2, izabel
1, izabell
1, izabella
1, jacaida
1, jace
2, jacee
6, jacey
2, jacinta
1, jacki
3, jackie
2, jacklyn
1, jacky
7, jaclyn
1, jaclynn
1, jacoba
22, jacqueline
3, jacquelyn
1, jacquelynn
1, jacqulene
1, jacynda
20, jada
1, jadah
64, jade
2, jade-lynn
2, jadelyn
13, jaden
1, jadon
1, jadranka
1, jadrien
1, jadsea
8, jadyn
1, jae
1, jae-leigh
2, jaeda
2, jaedan
1, jaeden
3, jaedyn
1, jaelen
1, jaeli
1, jaelinn
5, jaelyn
1, jaelynn
1, jagjyot
1, jahvae
2, jaida
7, jaiden
1, jaidenn
1, jaidii
1, jaidon
3, jaidyn
8, jaime
1, jaimee
7, jaimie
3, jaina
1, jaira
1, jaisy
1, jaiveer
1, jalene
4, jami
40, jamie
1, jamie-lee
1, jamiee-lynn
1, jamile
1, jamilyn
4, jana
6, janae
1, janai
1, janaki
1, janalynn
1, janay
4, janaya
1, janaye
8, jane
2, janea
17, janelle
1, janesa
8, janessa
1, janet
1, janica
5, janice
1, janina
7, janine
1, janis
3, janita
5, janna
2, jannell
1, janvi
1, japleen
1, jaquelyn
1, jaquelynn
1, jasanpreet
1, jasaya
1, jasdeep
1, jashandeep
1, jashanjit
1, jashley
1, jasiel
1, jaskaran
1, jaskeerat
4, jasleen
4, jaslyn
1, jaslynn
1, jasman
2, jasmeen
1, jasmeet
1, jasmen
8, jasmin
52, jasmine
3, jasmyn
1, jasmynn
1, jasneen
3, jaspreet
1, jassennia
1, jastyn
1, jaurie
1, javairia
1, javonna
1, jayanna
1, jayce
1, jaycee
1, jaycie
2, jayd
13, jayda
1, jaydan
5, jayde
1, jaydean
18, jayden
1, jaydene
1, jaydon
2, jaye
1, jaylan
2, jaylee
2, jayleen
1, jaylen
5, jaylene
1, jayliegh
2, jaylin
1, jaylyn
4, jaylynn
1, jaylynne
9, jayme
1, jaymie
3, jayna
2, jayne
5, jazlyn
2, jazlynn
1, jazmenn
5, jazmin
5, jazmine
1, jazmyn
1, jazzan
3, jean
1, jeanelle
1, jeanette
1, jeanice
2, jeanine
1, jeannette
1, jeannie
1, jeannine
1, jecelyn
1, jedda
1, jeehan
1, jeena
1, jelaine
1, jelayna
2, jelena
1, jelian
2, jemma
1, jemra
4, jena
6, jenae
1, jenan
1, jenay
3, jenaya
3, jenelle
8, jenessa
1, jenica
1, jenice
2, jenifer
1, jenissa
110, jenna
1, jennae
1, jennah
1, jennaie
2, jennelle
1, jennessa
1, jennet
1, jennie
1, jennielyn
60, jennifer
1, jennifer-mary
1, jennille
12, jenny
1, jenny-ann
1, jennyfer
4, jensen
1, jeralyn
1, jerelyn
1, jerianne
1, jerica
1, jerusha
1, jeryn
1, jesa
1, jeshaiah
1, jesica
1, jesika
5, jessa
2, jessalyn
1, jessame
1, jessamie
1, jessandra
10, jesse
1, jesse-linn
1, jessenia
2, jessi
