Freq, Name
2, aafreen
1, aaliya
18, aaliyah
1, aaliyah-jewel
1, aaliyha
1, aaminah
1, aamira
1, aamna
1, aaron
1, aarti
1, aaryn
1, aarzo
1, aasiyah
1, aaykta
2, abagail
1, abbagale
1, abbegail
10, abbey
2, abbeygail
1, abbeygale
3, abbi
7, abbie
14, abbigail
2, abbigale
28, abby
1, abby-lea
1, abby-lynn
2, abbygail
2, abbygale
2, abeer
1, abeni
1, abia
1, abiane
2, abigael
109, abigail
3, abigale
1, abigayle
1, abigial
1, abilene
1, abirame
1, abni
1, abria
2, abrianna
1, acacia
1, acadia
1, acatia
1, achaila
1, achan
1, acinweng
1, adalyn
1, adara
5, addison
1, addy
3, addyson
4, adelaide
1, adelaine
3, adele
1, adelee
1, adeliese
1, adelin
1, adelynne
1, adina
1, adion
1, adisyn
1, adoniah
3, adrian
6, adriana
1, adriane
13, adrianna
1, adrianne
1, adrieanne
1, adrien
6, adrienne
1, adryanna
1, adwoa
1, adyson
1, aerin
1, aeryn
1, aeysha
1, afnan
2, aganetha
1, agape
4, agatha
1, agel
2, agnes
1, agnieszka
2, aguol
1, ahlannah
1, ahna
1, ahnalee
1, ahona
2, aicha
2, aida
4, aidan
3, aiden
2, aiko
1, aila
1, aileen
1, ailene
1, ailish
1, ailsa
10, aimee
1, ainsleah
1, ainslee
2, ainsleigh
30, ainsley
1, ainslie
2, airika
7, aisha
1, aishlinn
1, aishwaria
1, aislan
3, aislin
3, aislinn
2, aislyn
1, aislynn
1, aiya
2, aiyana
1, aiyeesha
1, aiyeh
3, aja
1, ajia
1, akaesha
1, akasha
1, akaysha
1, akech
1, akeira
1, akela
2, akesha
1, akhila
2, akira
1, al-yasa
3, alaina
10, alana
1, alanah
2, alandra
1, alaney
7, alanna
3, alannah
1, alara
1, alasia
2, alaura
1, alaya
4, alayna
1, alaynah
1, alaysha
1, alaysha-raine
1, alea
7, aleah
1, aleara
4, alecia
1, alecsa
4, aleena
1, aleesha
1, aleia
1, aleigha
1, aleighsha
1, aleiha
1, aleisha
1, aleiya
1, alek
2, aleksandra
1, aleksija
1, alemma
3, alena
1, aleri
1, alese
2, alesha
2, alessandra
1, alessia
1, aleta
9, alex
49, alexa
1, alexander
81, alexandra
1, alexandra-juliette
1, alexandra-lee
1, alexandra-raine
1, alexandrea
18, alexandria
1, alexandrine
1, alexanne
1, alexas
6, alexi
8, alexia
83, alexis
1, alexs
1, alexsis
1, alexus
2, alexzandra
1, aleya
1, aleyah
1, aleysha
4, ali
5, alia
4, aliah
1, alianna
1, aliannah
1, alias
1, aliaya
9, alice
23, alicia
2, alicja
1, alika
6, alina
1, aline
7, alisa
1, alisan
13, alisha
15, alison
14, alissa
3, alivia
3, alix
1, alixandra
1, alixandria
11, aliya
11, aliyah
1, aliye
1, aliysha
1, alla
2, allana
1, allayah
1, allayna
1, allecia
2, allegra
1, allese
2, alli
2, alliah
1, allicyn
5, allie
1, allisen
34, allison
2, allissa
1, alliyanah
3, ally
1, allycha
3, allysa
1, allysan
12, allyson
2, allyssa
2, alma
1, almas
1, alona
3, alora
1, alorah
1, alos
1, alta
1, aluk
2, aly
2, alycia
1, alyeah
1, alyia
1, alyna
1, alynn
6, alysa
1, alyse
11, alysha
2, alyshia
1, alysia
1, alysia-amanda
6, alyson
1, alyson-lee
98, alyssa
1, alysse
1, alyssia
1, alyta
1, alyza
1, amaia
1, amakobe
4, amal
1, amala
3, amalia
58, amanda
1, amandeep
1, amani
2, amanpreet
1, amanvir
7, amara
2, amaris
1, amatul
48, amber
1, amber-lee
1, amberlise
1, amberly
1, ambika
1, ambreen
2, ameena
1, ameenah
1, ameera
1, ameera-baig
27, amelia
1, amelie
1, amell
1, amera
2, amethyst
2, ami
1, amia
1, amica
5, amie
2, amilia
4, amina
1, aminah
1, amine
2, amira
1, amirah
5, amisha
1, amiyah
1, ammarah
2, amna
1, amoni
1, amoryn
1, amouni
1, amreen
1, amrit
1, amrita
66, amy
1, amy-lynn
1, amythyst
5, ana
1, ana-maria
1, ana-trinity
1, anabel
2, anabelle
1, anacely
1, analisa
2, analise
1, analyse
1, anassa
2, anastacia
8, anastasia
1, andee
1, andersen
1, andi
2, andie
1, andraya
23, andrea
1, andreane
2, andreanna
1, andree
1, andreya
1, andy
2, aneesha
1, aneeza
1, aneka
1, aneta
1, aneysha
1, ange
21, angel
1, angel-lynn
16, angela
1, angelia
1, angelic
10, angelica
1, angelica-jade
2, angelika
39, angelina
4, angeline
5, angelique
1, angelisse
1, angelita
1, angell
1, angellana
1, angely
1, angelyn
2, angie
1, angsley
2, anh
1, ani
1, aniela
1, anik
22, anika
1, aniko
1, anileah
4, anisa
1, anisah
1, anisha
1, anissa
10, anita
7, anja
1, anjaline
1, anjelika
1, anjeline
1, anjelle
1, anjolie
1, anjum
3, anmol
1, ann
1, ann-frances
68, anna
1, anna-belle
1, anna-gabriela
1, anna-maria
1, anna-marrie
1, annabel
2, annabella
7, annabelle
1, annabrita
1, annah
1, annaka
1, annaleise
1, annalies
1, annaliesse
6, annalise
1, annalisse
1, annalyn
1, annamae
1, annamaria
1, annamarie
11, anne
1, anne-marie
2, anneke
1, anneleise
1, annette
8, annie
26, annika
1, annisa
1, annissa
1, anthia
1, antoinette
2, antonia
1, anuiah
1, anupal
1, anupreet
2, anya
1, anysa
1, anza
1, aoife
1, aprelle
14, april
1, aprilrose
1, arabella
1, arabelle
1, aradna
1, araea
1, arantza
1, araya
1, arbnora
1, archer
2, areeba
1, areil
1, aressana
4, aria
2, arial
14, ariana
2, ariann
21, arianna
6, arianne
1, aribeth
1, arie
9, ariel
4, arielle
1, arina
1, arinelle
3, arisha
1, arissa
2, arizona
1, armeria
1, arooba
1, aroosa
1, arrielle
1, arshdeep
1, artesia
1, arveen
1, arwa
5, arwen
2, arwyn
2, aryana
1, aryn
1, arynn
1, aryssa
1, asala
4, asha
1, asha-mohamed
1, ashandre
1, ashantea
10, ashanti
2, ashaya
5, ashlee
1, ashleen
8, ashleigh
1, ashlene
145, ashley
1, ashley -ann
2, ashlie
1, ashliegh
5, ashlin
18, ashlyn
1, ashlyn-jean
11, ashlynn
1, ashmeet
1, ashok
1, ashonti
1, ashtin
4, ashton
1, ashton-leigh
1, ashtra
3, ashtyn
1, ashtyn-don
1, ashuza
9, asia
1, asia-lee
3, asiah
1, aslihan
6, aspen
1, aspyn
1, assia
1, aston-leigh
1, astrid
1, asya
4, athena
1, atiana
1, atiya
1, atlanta
1, aubree
4, aubrey
2, aubrie
1, audra
9, audrey
1, audreyaa
2, august
1, augusta
11, aurora
4, austin
3, austyn
1, autum
1, autume
33, autumn
41, ava
1, avalin
1, avalon
1, avani
2, avary
1, avdeep
1, averee
2, averi
1, averie
48, avery
1, avi
1, avianna
1, aviva
1, avjeet
2, avneet
1, avonlea
1, avrie
3, avril
1, awstyn
7, aya
1, ayaat
