Freq, Name
1, a'keira
1, a'lerah
1, a'shea
1, aadhya
1, aadvika
1, aadya
1, aaesha
1, aafarida
2, aahana
1, aahna
1, aaiana
2, aaira
1, aaisha
1, aalaiyah
1, aaleen
2, aaleyah
5, aaliya
42, aaliyah
1, aaliyah-faye
1, aamina
3, aaminah
2, aamna
9, aanya
1, aara
3, aaradhya
1, aaralee
1, aaralynn
1, aaria
1, aarieanna
1, aarika
4, aarna
1, aarohi
1, aarushi
5, aarya
1, aaseas
1, aashna
1, aasia
1, aasiya
1, aavry
1, aayah
1, aayat
1, aayla
1, aazeen
1, abagael
2, abagail
1, abaigeal
4, abbey
1, abbi
3, abbie
1, abbiegale
7, abbigail
1, abbigaile
1, abbigale
1, abbigayl
1, abbrianna
17, abby
3, abbygail
2, abbygale
1, abeeha
1, abeera
2, abegail
1, abelia
1, abemael
1, aberdeen
1, abha
1, abhitha
2, abi
1, abiah
3, abigael
164, abigail
1, abigail-crystal
2, abigale
1, abigayl
4, abigayle
1, abigia
1, abiha
1, abira
1, abisatou
1, abisha
3, abrianna
1, abrie
1, abriela
2, abriella
7, abrielle
1, abril
1, abryanna
1, abul
1, aby
1, abyelle
2, abygail
1, abygeil
3, acacia
3, acadia
1, acelin
1, acelynn
1, achad
1, achan
1, achette
1, achiraya
1, achoi
1, achok
1, achols
1, acil
1, acrom
18, ada
1, adabell
1, adahlia
1, adair
1, adalaya
1, adalayne
2, adalee
1, adaleyah
1, adali
4, adalia
1, adalina
1, adaline
17, adalyn
19, adalynn
4, adalynne
2, adama
1, adamay
1, adan
3, adanna
3, adara
1, adarah
1, adasyn
1, adaya
2, addalyn
1, addalynn
1, addasyn
1, addelinn
1, addelyn
3, addie
1, addiemae
1, addilia
1, addiline
2, addilyn
1, addin
1, addington
1, addisen
74, addison
7, addisyn
3, addley
11, addyson
1, adeeb
3, adeena
1, adeife
2, adela
1, adelaida
13, adelaide
8, adele
1, adelie
1, adelin
5, adelina
10, adeline
1, adella
1, adellah
1, adelle
28, adelyn
6, adelynn
1, aden
1, adena
1, adeola
1, adeoluwa
1, adesola-oluwa
1, adha
1, adi
1, adia
1, adiak
1, adijona
1, adileigh
1, adilynn
2, adina
1, adinah
2, adison
1, adissyn
1, aditi
1, adiya
2, adlee
2, adleigh
3, adley
3, adora
1, adorah
1, adrea
1, adreana
4, adria
17, adriana
18, adrianna
1, adrianne
1, adriaunna
1, adriele
1, adrielle
1, adrienna
2, adrienne
2, adrina
1, adrionna
1, adut
1, advaita
1, adya
4, adyson
1, aefa
2, aela
1, aemilia
1, aerian
1, aeriona
5, aeris
1, aerisara
1, aerish-leona
1, aerith
1, aevriel
1, aevyn
1, afiya
1, afrah
1, afsa
1, afshan
1, afsheen
1, afunwi
1, agam
2, agamjot
1, agamnoor
1, agampreet
3, aganetha
5, agatha
1, aggie
1, agnes
1, ahaana
1, ahana
1, ahla
1, ahlam
1, ahleeya
1, ahmya
2, ai
2, aicha
3, aida
1, aidalaine
1, aidia
2, aiesha
1, aiin
1, aikamjot
5, aila
1, aileen
1, ailey
2, aili
1, ailish
1, ailsa
1, aima
1, aime
4, aimee
1, aimi
1, aimie
1, ainsleigh
28, ainsley
3, ainslie
2, aira
1, airdyn
1, airia
1, airiana
1, airissa
1, airlea
23, aisha
2, aishah
2, aishani
1, aishman
1, aishmun
1, aislee
1, aisley
1, aislin
2, aisling
1, aislinn
3, aislynn
1, aissata-ibrahim
1, aiva
1, aivah
1, aivly
4, aiyana
1, aiysis
5, aiza
1, aizah
1, aizel
1, aizenosa
1, aizley
1, ajack
1, ajah
1, ajanae
1, ajla
4, ajok
3, ajooni
1, ajuni
1, ajwa
1, akakos
1, akalia
1, akam
1, akasha
1, akayla
2, akeelah
1, akeisha
1, akesha
1, akhasha
1, akiko
1, akila
1, akilah
1, akina
1, akita
1, akiva
1, akout
2, akshara
1, akuach
1, akuocha
1, akuol
1, akyra
1, ala
1, alaa
1, alaca
1, alacia
1, alah
1, alaia
10, alaina
1, alainia
1, alainna
1, alair
1, alaiya
1, alamea
12, alana
1, alanda
1, alandra
1, alandria
2, alanna
2, alannah
2, alara
1, alasia
1, alauk
1, alaura
2, alaya
4, alayah
1, alayiah
10, alayna
1, alaynah
1, alaysha
1, alaysia
2, alba
1, albina
11, aleah
2, aleaha
1, aleana
1, aleeda
4, aleen
12, aleena
1, aleenah
2, aleera
1, aleesah
1, aleescia
1, aleesia
2, aleeya
4, aleeza
1, aleezah
1, aleezay
1, alefiyah
1, aleida
1, aleira
1, aleiya
1, aleiyha
1, aleja
1, alejandra
1, alek
1, alekhya
1, alekni
4, aleksandra
1, aleksandra-valentina
1, alekx
3, alena
1, alenah
1, alera
1, alese
1, alesha
1, aleska
1, alessa
8, alessandra
2, alessandria
5, alessia
2, aletheia
1, alevtina
3, alex
46, alexa
1, alexa-jae
1, alexana
50, alexandra
1, alexandrea
12, alexandria
1, alexi
10, alexia
2, alexie
76, alexis
1, alexius
1, alexsandra
1, alexsis
1, alexstrasza
3, alexus
1, alexxia
1, alexxis
1, alexy
1, alexzandria
1, aleya
3, aleyah
1, aleyjrah
1, alganesh
1, algere
4, ali
12, alia
1, aliana
4, alianna
49, alice
10, alicia
1, alicianna
1, alida
1, alieana
1, alieza
2, alika
1, aliki
21, alina
4, alisa
11, alisha
1, alishah
5, alishba
8, alison
4, alissa
1, alita
1, alitzia
1, alivea
17, alivia
1, aliviah
1, alix
13, aliya
22, aliyah
1, aliyah-maria
1, aliyana
4, aliza
1, alizaah
2, alizah
1, allaine
1, allana
1, allannah
1, allayha
3, allegra
1, alleigh
1, alleiza
1, allerie
1, allessandra
1, allexis
1, alli
1, alliah
1, allicia
11, allie
1, allie-anne
26, allison
1, allissa
1, alliyah
6, ally
1, ally-anna
1, allyah
1, allysa
1, allysen
4, allyson
2, allyssa
1, allyssandra
1, allyus
1, allyza
8, alma
1, alondra
5, alora
6, althea
1, altheya
1, alu
2, aluel
1, aluet
1, aluong
1, alva
2, alvina
1, alwyn
1, alya
1, alyaa
2, alyah
2, alyana
3, alyanna
1, alyce
1, alyia
1, alyka
3, alyna
2, alynna
1, alyria
1, alys
1, alysandra
5, alyse
1, alysen
4, alysha
1, alysia
7, alyson
45, alyssa
1, alyssa-bella
1, alyssandra
1, alyssea
1, alythia
6, alyvia
1, alyx
1, alyxanderia
2, alyza
1, alyzah
1, alzeah
2, amaanat
1, amaaya
1, amaiah
1, amaira
5, amalia
2, amalie
1, amama
2, amanat
14, amanda
1, amandeep
1, amanosi
1, amanpreet
5, amara
1, amara-lynn
1, amarachi
1, amarachukwu
1, amarah
1, amaraya
2, amari
1, amarie
1, amaryllis
1, amaryn
1, amath
1, amay
17, amaya
1, amayah
1, amayiah
1, amaylia
1, amayra
28, amber
2, amberly
1, amberlynn
2, ambria
2, ambriella
3, ameena
3, ameera
1, ameerat
132, amelia
1, amelia-ray
1, ameliah
1, amelianna
8, amelie
1, amen
2, amena
1, amenah
1, amerah
1, ameran
2, amerie
1, ameris
1, amerylis
2, amethyst
1, ameyah
1, ami
3, amia
1, amika
1, amilah
1, amilea
3, amilia
1, amily
8, amina
3, aminah
2, aminata
16, amira
3, amirah
1, amirlan
2, amisha
1, amity
2, amiya
2, amiyah
4, amna
1, amnawit
1, amouikan
1, amra
2, amran
2, amreen
4, amreet
1, amrielle
3, amrit
2, amrita
1, amsley
1, amtinan
1, amtul-noor
1, amtul-saboor
31, amy
1, amygreil
1, amylia
1, amylie
1, amyra
1, an
8, ana
1, ana-sofia
1, anabel
1, anabell
2, anabella
4, anabelle
3, anabia
1, anagi
1, anaiah
2, anais
1, anaiyah
1, analea
1, anam
2, anamika
1, anand
1, ananya
2, anara
1, anashantall
1, anashe
1, anastacia
1, anastaisa
15, anastasia
1, anastazia
1, anatakii
1, anathalia
1, anaum
1, anavya
10, anaya
1, anayah
1, anbupriya
1, andee
1, andi
1, andi-lee
2, andia
2, andie
1, andilyn
1, andisha
1, andjela
1, andraste
22, andrea
1, andrea-elyza
1, andrelyn
1, andreya
1, andromeda
2, aneet
1, aneilia
1, anek
1, aneleh
1, anelisa
1, anesa
1, anfa
1, anfisa
29, angel
12, angela
1, angelah
8, angelica
1, angelika
11, angelina
1, angeline
2, angelique
1, angelita
1, angelyn
1, angeni
4, angie
1, anhaar
4, ania
2, anica
1, anica-maria
1, aniela
18, anika
1, anikka
1, anir
2, anisa
1, anisah
2, anisha
3, anissa
1, aniston
1, anistyn
4, anita
6, aniya
2, aniyah
1, aniyah-leigh
1, anizah
5, anja
1, anjal
3, anjali
1, anjani
1, anjolaoluwa
1, anjulie
3, ann
88, anna
1, anna-belle
1, anna-beth
1, anna-kimberly
1, anna-lynne
1, anna-maria
8, annabel
1, annabell
7, annabella
43, annabelle
2, annabeth
1, annadine
2, annalea
1, annalee
1, annaleese
1, annaleia
2, annaleigh
1, annaleise
1, annalex
1, annalie
3, annaliese
10, annalise
1, annalyn
1, annalyse
1, annalyziea
1, annamaria
1, annant
3, annastasia
1, annastyn
1, annavey
1, anndee
2, anne
1, anne-julie
4, anneka
2, anneke
1, annelia
1, annelie
2, annelies
1, annelisa
3, annelise
1, annenoreen
2, annette
2, annica
1, annick
12, annie
29, annika
2, anniston
1, anntoinette
2, anny
1, annzy
2, anoop
1, anoosha
1, anora
1, anouk
1, anshi
1, anshika
1, anshmeen
1, antaea
3, anthea
2, antoinette
1, antonella
3, antonia
1, antoniette
3, anum
3, anureet
2, anushka
2, anvi
1, anvika
1, anwen
1, anwyn
12, anya
3, aoife
1, aowyn
1, apaarjot
1, aphrodite
1, apiew
1, apiphany
1, apout
13, april
1, aqila
1, aqosua
1, aqsa
1, aquila
3, ara
1, arabel
14, arabella
1, arabella-elin
3, arabelle
1, aradessa
1, aradhya
1, araianna
1, aralina
1, aralyn
1, aralynn
1, aram
1, aramis
1, arani
1, aravis
5, araya
1, arayah
1, archa
3, arden
2, ardyn
1, ardynn
1, areah
2, areeba
3, areej
2, arella
1, arena
1, aresema
1, areya
5, arfa
1, arhyanne
1, ari
83, aria
1, aria-grace
1, aria-rose
3, ariah
3, ariam
1, ariame
43, ariana
60, arianna
6, arianne
