Freq, Name
6, .
1, aa'niyah
1, aadra
1, aaema
1, aailah
2, aaina
1, aaira
1, aaiyla
1, aalaya
1, aaleyah
1, aaliya
28, aaliyah
1, aaliyan
1, aaliyha
1, aalliyah
1, aamani
1, aan
1, aanick
2, aanya
1, aaralyn
1, aaralynn
1, aaryn
1, aasha
1, aatiqa
2, abagail
1, abang
1, abany
1, abbagail
1, abbegail
1, abbegayle
1, abbella
12, abbey
1, abbeygail
1, abbeygayle
4, abbie
2, abbiegail
1, abbiegayle
1, abbigael
9, abbigail
1, abbigale
43, abby
4, abbygail
2, abbygale
1, abbylynn
1, abiageal
1, abigael
155, abigail
1, abigail-masengu
1, abigal
1, abigale
8, abigayle
1, abigia
1, abir
1, abiya
1, abrar
2, abrianna
1, abriella
3, abrielle
3, abuk
2, abygail
1, abygale
4, acacia
1, acel
2, achan
6, achol
6, ada
1, adain
1, adalee
2, adalia
1, adaline
1, adalynn
1, adanaya
1, adania
1, adanya
2, adara
1, adarsh
1, adasyn
1, adau
1, adda
1, addelai
1, addelyn
1, addi
1, addisen
49, addison
5, addisyn
1, addler
1, addrita
6, addyson
1, adeen
1, adeena
1, adeja
1, adelae
4, adelaide
1, adele
1, adelia
3, adeline
1, adelisa
5, adelle
2, adelyn
1, adelynn
1, aden
1, adena
1, adessa
1, adetutu
1, adhya
4, adia
1, adia-lyn
1, adianna
1, adikuor
2, adina
1, adinna
1, adisen
11, adison
1, adlea
1, adleigh
1, adley
1, adna
1, adorra
1, adreanna
3, adria
1, adrian
8, adriana
13, adrianna
1, adriel
2, adrienne
1, adriyana
1, adryanna
2, adysen
6, adyson
1, adysonne
1, aelyn
2, aeris
1, aerya
1, aeryn
1, aesha
1, aeshah
2, aeva
1, aeysha
1, affaf
1, afshan
4, agatha
1, ageil
1, agel
1, agner
2, agnes
1, agnus
1, aguil
1, ahemiyat
1, ahlam
1, ahloura
1, ahna
1, ahtym
1, aiah
4, aida
2, aidan
3, aiden
1, aidyn
1, aiko
1, aila
1, ailee
1, aileen
1, ailey
1, ailie
1, ailish
1, aima
1, aime
11, aimee
1, aimey
1, ainayat
1, ainslea
1, ainslee
1, ainsleigh
15, ainsley
1, airanna
1, airianna
1, airse
1, airyana
1, aisceln
16, aisha
1, aishadeep
1, aishwinder
1, aislen
1, aisley
1, aislin
1, aisling
6, aislinn
3, aislyn
1, aislynne
2, aiva
1, aivee
1, aivry
3, aiyana
1, aiyanna
1, aiza
3, aizah
3, aja
1, ajaiah
1, ajaira
1, ajak
1, ajana
1, ajanga
1, ajza
1, akacia
1, akaisha
1, akaiyah
1, akam
1, akane
1, akari
1, akasha
1, akaycia
2, akaydia
1, akeelah
1, akeer
1, akellis
2, akira
1, akita
1, akiva
1, akivah
1, akosua
1, akpene
3, akual
1, akuch-charle
1, akum
1, akuoit
1, ala
1, ala'a
1, alaiah
4, alaina
1, alaira
1, alaire
1, alakiir
14, alana
1, alanah
1, alanca
6, alandra
1, alandrea
1, alani
4, alanna
3, alannah
1, alanta
3, alara
1, alaya
11, alayna
1, alayna-adel
1, albany
1, albatool
3, alberta
1, aldia
1, aleada-marie
8, aleah
1, alease
2, aleasha
1, aleccandra
1, alecia
1, alee
1, aleea
1, aleeah
1, aleeana
1, aleece
1, aleen
8, aleena
1, aleesa
1, aleese
1, aleesha
1, aleeya
1, aleeyah
1, aleia
1, aleigha
1, alejandra
2, aleksandra
1, aleksey
2, aleksia
3, alena
1, alene
1, alesasia
1, alesha
1, alessa
9, alessandra
2, alessia
2, alethea
1, alethia
1, aletta
5, alex
48, alexa
85, alexandra
16, alexandria
1, alexane
2, alexcia
1, alexee
2, alexi
12, alexia
