Freq, Name
1, a.
1, aa'ishah-amina
1, aaliah
1, aaliyaa
23, aaliyah
1, aamina
1, aamna
1, aanem
1, aaralyn
1, aashna
1, aatifah
1, aayah
1, abagael
4, abagail
1, abaigeal
1, abang
1, abbe
1, abbegale
18, abbey
1, abbeygael
1, abbi-gayle
10, abbie
1, abbigael
6, abbigail
1, abbigale
1, abbigayle
1, abbriela
40, abby
5, abbygail
4, abbygale
1, abegail
3, abigael
114, abigail
1, abigail-semira
2, abigale
5, abigayle
1, abok
1, abrey
1, abrial
3, abrianna
2, abrielle
1, abril
1, abuk
1, abul
1, aby-gail
4, acacia
1, acadia
1, acel
1, achai
1, achal
1, achint
2, achol
1, aciec
1, acikila
5, ada
1, adalyn
1, adalynn
1, adanna
3, adara
1, adarah
1, adasyn
1, adau
5, addison
1, adeana
5, adelaide
1, adelaine
2, adele
1, adelina
1, adeline
1, adelle
1, adelyn
1, adeng
1, adhel
1, adian
1, adina
1, adison
1, aditi
1, adjani
1, adra
1, adreanne
1, adri
1, adria
1, adrian
9, adriana
17, adrianna
1, adrieanna
4, adrienne
2, adut
1, adya
1, aerianna
1, aerin
1, aeyalovia
1, afeni
1, afia
1, afnan
1, afra
1, afton
1, agak
1, agamjot
1, agape
2, agatha
1, agnes
1, agwiel
1, ahava
1, ahniya
1, ahudiya
6, aidan
2, aiden
1, aiden-marie
1, aiesha
1, aiko
1, aila
1, aileen
1, ailey
1, aili
1, ailsa
12, aimee
1, aina
19, ainsley
1, ainslie
1, airen
1, airiel
3, aisha
1, aishwarya
1, aisika
1, aisley
1, aislin
1, aisling
2, aislinn
1, aislyn
1, aivlynn
2, aiyana
1, aizlee
1, aizlynne
1, aja
1, ajaleigh
1, akaizsha
2, akasha
1, akaysha
1, akayshia
1, akemini
1, akiera
3, akira
1, akuc
3, alaa
8, alaina
1, alaker
1, alamaiya
7, alana
1, alandra
1, alanis
6, alanna
2, alannah
1, alauna
1, alaycia
4, alayna
1, alaysia
1, alaythea
1, alberta
