Freq, Name
1, aadra
1, aanchalpreet
1, aaron
1, abalene
5, abbey
1, abbeygael
1, abbie
4, abbigail
2, abbigale
10, abby
2, abbygail
1, abbygail-ann
1, abbygale
1, abi
19, abigail
2, abigayle
1, abrielle
1, acacia
1, acadia
1, adara
1, addie
1, addie-jane
1, addison
1, adelaide
1, adelheid
2, adeline
1, adell
7, adelle
1, adelyn
1, adena
3, adina
1, adora
5, adriana
5, adrianna
4, adrianne
1, adriel
1, adrienna
4, adrienne
1, aelita
1, afsha-raveena
2, afshan
1, afton
2, aganetha
1, agata
3, agatha
3, agnes
1, agnieszka
1, aiah
3, aidan
1, aiden
1, aileen-vu
1, ailine
1, ailis
1, ailisha
13, aimee
1, ainsleigh
4, ainsley
1, airelle
1, airieanna
7, aisha
1, aisia
1, aiya
1, aiyana
1, aiza
1, akasha
1, akela-lynn
1, akeyla
1, akina
1, akira
1, aksana
1, alaa
2, alaina
23, alana
1, alana-sue
1, alanah
1, alandra
2, alanis
26, alanna
8, alannah
1, alanndra
1, alanne
1, alaura
1, alayna
2, alayne
1, alaynna
1, alaysha
1, alda
1, alea
4, aleah
1, aleaha
1, aleasha
2, alecia
1, aleesha
1, aleia
1, aleigha
1, aleksey
5, alesha
1, alessandra
1, alessia
1, aleta
4, alex
1, alex-anne
21, alexa
1, alexadra
149, alexandra
1, alexandras
1, alexandre
3, alexandrea
28, alexandria
1, alexcene
3, alexi
2, alexia
46, alexis
1, alexsis
1, alexus
1, aleysha
1, alham
2, ali
5, alia
1, alia-terrae
6, alice
2, alicen
37, alicia
1, alida
1, aliesha
6, alina
1, aline
4, alisa
1, alisar
1, alisen
22, alisha
26, alison
5, alissa
1, alita
1, alithia
1, alitta
6, alix
2, alixandra
3, aliya
1, aliza
3, allana
1, allandra
1, allannah
1, allayna
2, allegra
1, allessandra
1, allexis
1, alley
1, alliah
1, allicia
2, allie
3, allisa
1, allishia
43, allison
1, allix
2, ally
4, allysa
4, allysha
5, allyson
5, allyssa
2, alma
1, almira
4, alora
1, alyanna
1, alyce
1, alychia
3, alycia
1, alyda
2, alyna
1, alynna
1, alynne
1, alysa
1, alyse
16, alysha
4, alyshia
2, alysia
6, alyson
127, alyssa
1, alyssa-marie
1, alysse
1, alyssha
4, alyx
1, alyxandria
1, amadea
1, amadew
2, amal
1, aman
170, amanda
1, amanda-joy
1, amandeep
2, amani
2, amanie
1, amansat
3, amara
1, amaris
1, amarjot
95, amber
1, amber-lee
1, amber-lynn
1, amberleigh
2, amberly
2, amberlynn
1, ambreah
1, ambrosia
1, ameera
16, amelia
1, ameliea
1, ami
4, amie
1, amina
1, aminah
1, amira
1, aml
1, amneet
1, amrinder
1, amrit
2, amrita
94, amy
1, amy-lynn
2, an
1, ana-andrijana
1, ana-maria
1, anabel
1, anah
1, analisa
1, anastacia
7, anastasia
2, andi
1, andie
1, andra
43, andrea
1, andreana
1, andreannah
1, andreea
1, andria
1, andriana
1, aneesha
1, aneisha
1, aneishah
1, anelise
1, anessa
2, anfisa
6, angel
55, angela
1, angela-unwana
1, angele
1, angeli
12, angelica
1, angelika
9, angelina
1, angeline
6, angelique
1, angelyn
3, angie
1, anh
1, ania
1, anica
4, anika
1, aniko
1, anila
1, anisa
1, anisah
3, anisha
4, anissa
11, anita
1, anita-marie
1, anjali
1, anjela
1, ankica
2, anmol
1, anmoljot
3, ann
1, ann-marie
42, anna
3, anna-marie
1, anna-marisa
1, annalena
1, annalies
1, annaliese
2, annalise
1, annamaria
1, annamarie
12, anne
4, anne-marie
5, annelise
1, annemaire
1, annesha
12, annie
1, annigje
2, annika
1, annisha
1, annmarie
1, anny
1, anreen
3, antonia
1, anupreet
1, anurag
3, anya
1, anyssa
1, apolinaria
1, appaloni
25, april
1, aquielle
1, aralyn
3, arden
1, ardo
1, aren
2, aretha
1, arezu
1, ariah
3, ariana
1, ariane
5, arianna
2, arianne
9, ariel
1, ariele
1, ariella
5, arielle
1, arista
1, arizza
1, arleen
3, arlene
1, arlynn
1, armine
1, arpin
1, arreanna
1, arrianna
1, arvind
1, aryn
1, arynn
1, ash-lee
1, asha
1, ashana
1, ashely
3, ashlea
16, ashlee
1, ashlee-lynn
1, ashleen
45, ashleigh
1, ashlen
1, ashlene
287, ashley
1, ashley-ann
1, ashley-marie
1, ashli
4, ashlie
1, ashlin
2, ashly
1, ashly-lynn
7, ashlyn
4, ashlynn
1, ashlynne
1, ashna
1, ashten
1, ashtin
1, ashtinn
11, ashton
3, ashtyn
2, asia
1, asialee
1, asma
4, aspen
1, assma
1, assmaa
2, astrid
2, ataya
1, athaley
3, athena
1, atia
1, atlanta
1, aubrey
3, audra
2, audrey
1, audreyona
1, augustina
1, aulora
1, aureanna
1, aurelia
2, aurora
6, autumn
3, ava
1, avalon
1, avari
1, aveen
1, averi
12, avery
1, avigail
1, avital
3, ayah
1, ayan
1, aydan
1, ayden
1, ayeisha
2, ayesha
1, ayisha
5, ayla
1, aylannah
1, ayleigh
1, ayllissa
1, aymara
1, ayrin
4, aysha
1, ayushi
1, ayushie
1, azia
3, azra
1, azure
23, baby
5, bailee
39, bailey
1, bailey-anne
1, baillee
1, baillie
2, baily
1, baljeet
1, balkeerat
1, baneet
1, bao
1, bara
1, barayah
9, barbara
1, basia
1, basma
1, baylee
2, bayley
2, baylie
1, bearwon
1, beatriz
1, becki
5, becky
1, beejal
1, beenish
1, behir
1, bekky
1, belinda
1, bella
1, belle
1, belle-lana
1, bellecia
1, bennita
1, berina
3, bernadette
1, bernadine
2, bernice
2, bertha
1, bertha-lyn
8, beth
1, bethan
1, bethann
15, bethany
1, bettiel
2, bettina
2, betty
1, bettyel
1, beverley
1, beverly
1, bhaavna
1, bhan
2, bhavneet
10, bianca
1, bianka
1, billee
2, billi
1, billi-jean
2, billie
1, billie-jo
1, birken
1, bismilla
2, blaine
1, blair
2, blaire
1, blanche
1, blare
1, blossom
6, bobbi
2, bobbi-jo
1, bobbi-lee
1, bobbie
1, bobby
1, bobi
1, bobi-sue
1, bohdahna
11, bonnie
1, braden
1, bradi
1, brady
1, braedan-elysse
1, braelene
1, braelyn
1, braelynn
3, brandee
10, brandi
1, brandilyn
1, brandon
13, brandy
1, brandyn
1, braunwyn
1, brayanna
1, braydel
1, brayden
1, braydi
1, braye
1, breagh
4, breana
3, breann
38, breanna
39, breanne
1, breawna
1, brecken
7, bree
2, bree-anna
2, bree-anne
1, breeanna
1, bregane
1, brein
1, brenam
10, brenda
1, brenley
10, brenna
2, breton
6, brett
1, brettany
1, brette
1, brettnee
1, brettney
1, bretton
2, bria
1, bria-anne
9, briana
2, briane
2, briann
49, brianna
1, briannam
19, brianne
1, briar
1, bricklyn
5, bridget
1, bridgette
1, brieana
1, brieann
2, brieanne
2, brielle
1, briena
2, brienna
2, brienne
2, brigid
3, brigitte
1, briley
2, brina
1, brinda
1, brinita
1, brinn
2, brita
1, britani
1, britanny
3, britany
1, briten
1, britnee
12, britney
3, britni
1, britny
3, brittaney
4, brittani
1, brittani-paige
1, brittania
3, brittanie
187, brittany
1, brittany-jean
1, brittene
1, brittina
1, brittine
1, brittini
1, brittnee
1, brittnei
49, brittney
1, brittney-ann
3, brittni
1, brittnie
1, brittny
1, brocho
2, broghan
1, bromlynn
1, bronson
2, bronte
3, bronwen
6, bronwyn
1, bronya
1, brook
64, brooke
2, brookelyn
1, brookelynn
17, brooklyn
1, brooklyne
2, brooklynn
1, browyn
1, brttany
10, bryanna
1, bryanne
1, brycal
1, bryce
2, bryden
1, bryn
3, brynn
2, brynne
1, bunny
1, bushra
1, buthiena
1, cabrini
1, caelan
1, caelea
1, caely
1, cailah
3, caileigh
2, cailey
1, cailin
1, cailyn
2, cairo
59, caitlin
1, caitlind
1, caitlinn
25, caitlyn
3, caitlynn
1, caitrin
1, cala
3, caleigh
1, calene
2, caley
2, cali
1, calista
2, calla
1, calli
2, callie
1, calsea
1, calsy
1, calyca
1, cam
2, cambria
2, cameo
1, camie
1, camila
1, camilla
11, camille
1, camillia
1, cammie
2, camrie
1, camryn
16, candace
1, candalyn
9, candice
1, candle
19, cara
1, caralyn
1, caren
1, caressa
1, caresse
1, carey
1, carey-lyn
2, cari
1, carianne
1, carien
2, carina
11, carissa
1, carita
7, carla
1, carlae
1, carleah
1, carleana
10, carlee
3, carleen
1, carlena
3, carlene
17, carley
6, carli
5, carlie
1, carlin
1, carlina
1, carline
2, carling
1, carlissa
1, carlita
50, carly
1, carlyn
1, carlyn-toby
1, carlyna
1, carman
1, carmella
24, carmen
3, carol
1, carol-ann
1, carolina
7, caroline
13, carolyn
1, carri
1, carrianne
8, carrie
1, carrie-lynn
1, carrieann
1, carrington
1, caryn
1, caryna
7, casandra
1, casaundra
1, cascara
1, casera
15, casey
1, casey-jo
1, casha
1, casi
107, cassandra
1, cassandria
1, cassara-dawn
1, cassi
1, cassia
2, cassidee
41, cassidy
7, cassie
3, catharine
30, catherine
1, cathlene
1, cathrine
1, cathryn
1, cathryn-rose
5, cathy
1, catlin
5, catrina
1, catriona
1, caussandra
4, cayla
4, caylee
1, cayleigh
1, caylen
8, cayley
1, caylynn
1, cayman
1, cazandra
1, ce'nedra
2, ceanna
1, cecelia-jean
3, cecilia
1, cecillia
3, cecily
1, ceilidh
1, ceinwen
1, celena
2, celene
5, celeste
1, celestina
2, celia
5, celina
17, celine
1, centaine
1, cera
1, cerys
1, cezanne
1, chadya
1, chai
1, chailene
1, chaitra
1, chalene
1, challyn
2, chalsea
1, chance
1, chandani
1, chandel
1, chandler
1, chandni
4, chandra
1, chandyn
8, chanel
1, chanell
7, chanelle
1, chanen
1, chanice
1, chanis
1, chanisse
1, chanmany
1, channa
2, channel
1, channelle
1, channsomaley
1, chanrethy
23, chantal
1, chantaye
1, chantayne
1, chante
1, chantee
22, chantel
1, chantele
2, chantell
33, chantelle
1, chantina
1, chanting
1, charae
1, charieis
1, charise
5, charissa
1, charisy
4, charity
1, charity-dawn
1, charla
1, charlaine
2, charlee
9, charlene
2, charley
2, charlie
19, charlotte
1, charly
1, charly-jean
1, charlye
1, charlyn
1, charlynn
2, charmain
3, charmaine
2, charmayne
1, charnel
1, charry
1, chasidy
5, chasity
1, chastyn
1, chayenne
2, chayla
1, chaylane
