Baby Girl Names Registered in 1995,
1,Bobbe
3,Bobbi
1,Bobbie
1,Bobbie-Jo
1,Bobbijo
1,Bobbi-Lynn
1,Bona
6,Bonnie
1,Bozena
1,Braedan
1,Braede
3,Braeden
1,BraeLee
1,Braelene
1,Braelyn
1,Braelynn
1,Braiden
11,Brandi
3,Brandie
1,Brandis
9,Brandy
1,Breah
1,Breana
5,Breann
57,Breanna
#,Baby Girl Names
27,Breanne
1,Bre-Anne
2,Breeann
4,Breeanna
1,Bree-Anna
1,Breeanne
1,Breelyn
1,Bree-Lynn
1,Breeta
1,Breiana
1,Breianne
1,Breigh
1,Breighanne
7,Brenda
21,Brenna
1,Brennen
3,Brett
2,Brette
1,Brettlyn
1,Brettnee
1,Bria
17,Briana
2,Briann
1,Bri-Ann
77,Brianna
20,Brianne
5,Bridget
4,Bridgette
2,Brie
4,Brieann
2,Brieanna
2,Brieanne
1,Brie-Anne
2,Brielle
1,Brienna
1,Brienne
1,Brigette
2,Brigitte
1,Briony
1,Britain
2,Britany
1,Britany-Marie
1,Britini
1,Britlynn
1,Britnee
12,Britney
3,Britni
2,Britt
1,Britta
1,Brittaine
1,Brittan
#,Baby Girl Names
1,Brittaney
4,Brittani
2,Brittanie
1,Brittannie
168,Brittany
1,Brittany-Rae
1,Brittany-Rose
1,Britteny
1,Brittlyn
2,Brittnee
55,Brittney
1,Brittneylynne
3,Brittni
1,Brittny
1,Brityn
1,Brizah
2,Brodie
1,Brodie-Lyn
1,Brodie-Lynn-Leslie
2,Brogan
1,Brogen
3,Bronte
4,Bronwyn
1,Bronwynn
4,Brook
65,Brooke
1,Brooke-Lyn
2,Brooke-Lynn
1,Brook-Kynne
41,Brooklyn
2,Brooklyne
5,Brooklynn
2,Brook-Lynn
1,Brooklynn-Daisy
2,Brooklynne
1,Brooks
2,Browen
3,Bryanna
6,Bryanne
3,Bryce
1,Bryer
1,Bryn
1,Bryna
6,Brynn
1,Brynne
1,Burgandy
1,Byllie
1,Cacey
1,Cadi
1,Cady
1,Caelidh
#,Baby Girl Names
1,Caelyn
1,Caida
1,Cailean
1,Cailee
