Baby Boy Names Registered in 1999,
#,Baby Boy Names
1,A.J.
1,Aaden
1,Aaqil
1,Aarin
81,Aaron
1,Aarondeep
1,Aaryn
1,Aash
1,Aashish
1,Aazib
1,Abbas
1,Abbey
1,Abdalla
1,Abdelqader
1,Abdo
3,Abdul
1,Abdulaziz
3,Abdullah
1,AbdulRahman
1,Abdulrashid
1,Abdurhman
1,Abdurrahman
1,Abdurrehman
1,Abe
2,Abel
1,Abhijeet
1,Abhikaran
1,Abhimeet
1,Abhneek
1,Abneet
3,Abraham
1,Abraheem
7,Abram
1,Abrar
1,Absolam
1,Ace
1,Achebiu
1,Achilles
128,Adam
1,Adam-Arafat
2,Adan
5,Addison
1,Adell
4,Aden
1,Adil
1,Adisen
1,Adison
5,Adnan
#,Baby Boy Names
1,Adong
1,Adrain
1,Adrean
31,Adrian
2,Adriano
1,Adrianus
1,Adriel
3,Adrien
1,Aedan
1,Agafonik
1,Agah
1,Agnon
1,Ahad
1,Ahbid
8,Ahmad
9,Ahmed
1,Ahmer
1,Ahren
81,Aidan
30,Aiden
1,Aidin
1,Aidon
1,Ailesh
4,Ajay
2,Ajaypal
1,Ajaypaul
1,Ajit
1,Akaldeep
1,Akalsaajan
2,Akash
1,Akashdeep
1,Akif
1,Akil
1,Akira
1,Akito
1,Akiva
1,Akrama
1,Akshaye
1,Akum
1,Ala'a
2,Aladdin
1,Alain
10,Alan
1,Alaric
1,Alarion
3,Alastair
11,Albert
2,Alberto
#,Baby Boy Names
1,Albhen
1,Albie
2,Albin
1,Alden
1,Aldo
1,Aldovino
2,Aldrich
13,Alec
1,Alec-Nathan
1,Aleczander
1,Aleem
4,Alejandro
3,Aleksandar
1,Alen
1,Alessandro
1,Alessio
32,Alex
2,Alexandar
160,Alexander
1,Alexander-Peter
1,Alexandr
11,Alexandre
1,Alexandro
1,Alexis
1,Alexzander
1,Alfonso
1,Alfred
22,Ali
13,Allan
3,Allen
1,Allister
1,Ally
1,Alon
1,Alonso
1,Alphonsus
1,Alry
1,Alton
1,Alvan
6,Alvin
1,Alwin
1,Alwyn
1,Aly
1,Alykhan
1,Alysis
5,Amaan
1,Amaar
2,Amadeus
1,Amal
#,Baby Boy Names
2,Aman
1,Amarpal
1,Amaury
1,Ambros
1,Amedeo
1,Ameet
1,Amen
1,Amer
2,Amin
1,Amir
1,Ammar
2,Ammon
1,Amol
1,Amrinder
1,Amrit
1,Amritpal
1,Amyn
1,Anakin
1,Andino
6,Andre
1,Andrea
9,Andreas
1,Andrei
1,Andres
131,Andrew
1,Andrey
1,Andria
2,Andruw
14,Andy
1,Aneesh
1,Angelo
8,Angus
1,Anis
1,Ankit
1,Anmol
1,Anokh
1,Anoop
6,Anson
1,Ante
1,Anthoni
85,Anthony
1,Antoine
5,Anton
1,Antoni
12,Antonio
1,Antuan
1,Anuj
1,Aodhan
1,Apostolos
#,Baby Boy Names
1,Aram
1,Arbaaz
1,Arcangelo
1,Archie
1,Arden
2,Aric
1,Arick
1,Arie
3,Ariel
1,Arif
1,Aris
2,Arjan
6,Arjun
1,Arlen
1,Arlo
2,Armaan
2,Arman
