Baby Boy Names Registered in 2005,
#,Baby Boy Names
1,A.J.
1,A.S.M.
1,Aadam
1,Aaden
1,Aad-Ty
1,Aadyn
1,Aahil
1,Aaliaan
1,Aalt
3,Aarav
1,Aarij
62,Aaron
1,Aaryan
2,Aaryn
1,Aayan
1,Aayden
1,Aazmir
1,Aban
3,Abbas
1,Abd
1,Abdallah
1,Abdelkader
1,Abderrahman
1,Abdessamed
1,Abdifatah
1,Abdigani
1,Abdikafi
1,Abdinoor
1,Abdiqafar
1,Abdirahman
1,Abdoul
10,Abdul
2,Abdulaziz
1,Abdul-Kareem
1,Abdullaahi
7,Abdullah
1,Abdullahi
1,Abdulmalik
1,Abdulrahman
1,Abdulrehman
1,Abed
1,Abeeng
3,Abel
1,Abhijeet
1,Abhijit
1,Abhinandan
1,Abishai
1,Abith
#,Baby Boy Names
5,Abraham
1,Abrahim
3,Abram
1,Abreu
1,Abrom
1,Abyaan
2,Ace
1,Aceton
1,Achilles
1,Achim
1,Acoy
1,Adain
1,Adal
129,Adam
1,Adan
6,Addison
1,Addy
2,Adeeb
1,Adel
2,Adem
12,Aden
1,Ader
1,Adesh
1,Adeyemi
1,Adham
1,Adhurim
3,Adil
3,Adin
3,Aditya
1,Adler
3,Adnan
3,Adonis
24,Adrian
2,Adriano
1,Adriel
4,Adrien
1,Adryan
1,Adyn
6,Aedan
2,Aeden
3,Aedyn
1,Affan
1,Afraz
1,Agamjot
1,Agamroop
1,Agape
1,Agron
1,Agustin
#,Baby Boy Names
1,Agustus
2,Ahad
1,Ahamed
10,Ahmad
17,Ahmed
2,Ahmer
1,Ahmet
1,Ahmmad
1,Ahreez
1,Aidain
136,Aidan
1,Aidan-James
127,Aiden
1,Aidin
4,Aidon
1,Aidyn
1,Ainsleigh
1,Aitazaz
1,Aitsam
4,Ajay
1,Ajitesh
1,Akaash
1,Akec
2,Akhil
2,Akira
1,Akoon
3,Akram
1,Akshat
1,Akshdeep
1,Alaa
1,Alador
1,Alain
6,Alan
1,Alasdair
2,Alastair
7,Albert
1,Alberto
1,Albion
1,Aldin
1,Aldred
1,Aldric
1,Aldrik
1,Aldwin
7,Alec
1,Aleck
1,Aleczander
2,Aleem
9,Alejandro
#,Baby Boy Names
1,Alejandro-Michael
1,Aleksa
1,Aleksandar
4,Aleksander
1,Alekzander
5,Alessandro
30,Alex
1,Alexadros
178,Alexander
1,Alexander-Jaden
5,Alexandre
1,Alexandros
1,Alexey
1,Alexis
1,Alexsander
1,Alfie
1,Alfonso
1,Alford
4,Alfred
37,Ali
2,Alier
1,Alijah
1,Alimadi
1,Alishan
2,Alistair
1,Alister
1,Alix
1,Aljon
6,Allan
2,Allen
1,Allias
1,Allister
1,Alonzo
1,Alozie
1,Alperen
1,Alphonse
4,Alvin
1,Alvir
2,Amaan
1,Amadeo
1,Aman
1,Amanallah
1,Amankrishan
1,Amanveer
2,Amar
1,Ambery
1,Ambrose
1,Amen
1,Amery
#,Baby Boy Names
1,Amethyst
1,Amin
1,Amine
4,Amir
1,Amit
1,Amitesh
1,Ammar
2,Ammon
1,Amon
3,Amos
1,Amrik
