Baby Boy Names Registered in 1996,
#,Baby Boy Names
2,Aadil
113,Aaron
1,Aaron-Conrad
1,Aashir
2,Abdallah
1,Abdolsalam
1,Abdu
2,Abdul
6,Abdullah
1,Abdullahe
1,Abdulmalek
1,Abdul-Rahman
1,Abdulrazak
1,Abel
1,Abhinav
1,Abhishek
1,Abid-Ali
3,Abraham
1,Abrahim
4,Abram
2,Ace
103,Adam
1,Adam-Magdi
2,Addison
1,Adeem
4,Aden
1,Adian
2,Adin
1,Aditya
1,Adler
1,Adon
1,Adonia
2,Adonis
1,Adrain
18,Adrian
2,Adriel
1,Adriel-Jed
4,Adrien
1,Ady
1,Aeddan
6,Ahmad
12,Ahmed
36,Aidan
15,Aiden
1,Aidon
1,Aidyn
1,Aisah
1,Ajax
#,Baby Boy Names
3,Ajay
1,Ajeetpal
2,Akash
1,Akeel
1,Akos
1,Akrit
2,Akshay
1,Alaa
1,Aladdin
1,Alaeh
1,Alahdin
2,Alain
1,Alaister
12,Alan
13,Albert
2,Alden
1,Aldo
12,Alec
1,Alejandro
1,Alek
1,Aleksandar
2,Aleksander
2,Alen
38,Alex
1,Alexandar
214,Alexander
9,Alexandre
1,Alexandros
1,Alexie
1,Alexis
2,Alexzander
11,Ali
1,Alif
1,Ali-Khan
1,Alim
1,Alimohamed
1,Alin
1,Alistair
1,Aljon
1,Alla
14,Allan
4,Allen
1,Allistir
1,Alphonse
1,Alston
8,Alvin
1,Alx
1,Alxis-John
#,Baby Boy Names
1,Aly
1,Alzias
1,Amadeus
1,Amador
1,Amanda
1,Amanjeet
1,Amanjot
1,Amarpal
1,Amarpreet
2,Amarvir
2,Ameen
1,Amer
2,Amir
1,Amit
1,Amitoj
2,Ammar
1,Ammon
2,Amos
1,Amr
1,Amreet
1,Amrit
1,Anan
1,Anand
1,Anass
1,Anatole
4,Anders
14,Andre
8,Andreas
1,Andres
192,Andrew
1,Andrew-Phillip
1,Andrin
1,Andriy
1,Andronik
10,Andy
1,Aneet
1,Aness
1,Angel
2,Angelo
1,Angelo-Deen
9,Angus
1,Ankur
1,Ankush
1,Anmol
1,Anson
1,Anthoney
78,Anthony
2,Antoine
#,Baby Boy Names
1,Anton
1,Antoni
11,Antonio
1,Anurag
1,Aquina
3,Aran
2,Archie
1,Arden
1,Arek
2,Aren
1,Ares
3,Aric
2,Arik
2,Arin
1,Aris
5,Arjun
3,Arlen
1,Arlis
1,Arlyn
1,Arlyss
2,Armaan
1,Arman
2,Armand
1,Arndeep
1,Arnel
9,Arnold
4,Aron
3,Arron
1,Arrow
1,Arshdeep
5,Arthur
1,Arun
1,Arvin
1,Arvind
1,Aryck
1,Aryn
3,Asa
2,Ashar
1,Ashby
1,Asher
3,Ashley
2,Ashneil
1,Ashok
2,Ashtin
18,Ashton
1,Aspen
1,Athanasios
1,Athar
1,Atlanta
#,Baby Boy Names
1,Atlas
1,Atley
1,Attila
1,Atul
2,Aubrey
1,August
1,Aureon
13,Austen
295,Austin
1,Austin-Jake
1,Auston
9,Austyn
1,Austyne
14,Avery
1,Avineet
1,Avneel
1,Avrey
1,Awab
1,Awais
1,Axcel
3,Axel
1,Ayaz
2,Aydan
4,Ayden
1,Aydrian
1,Ayman
1,Azan
1,Azaria
23,Baby
1,Badr
31,Bailey
1,Baily
1,Bakas
1,Balraj
1,Banon
1,Bao
1,Barian
1,Barnabas
3,Barry
1,Basel
1,Basem
2,Basil
1,Bassit
1,Battista
1,Baxter
1,Bayley
1,Beau
1,Beaudon
1,Beau-Ray
#,Baby Boy Names
1,Beck
1,Belal
6,Ben
2,Benedict
1,Benhur
2,Benjaman
1,Benjamen
147,Benjamin
1,Bennet
5,Bennett
2,Benny
1,Benoit
1,Benson
1,Bentley
1,Benton
1,Berkley
3,Bernard
1,Bernie
1,Bertram
1,Berwin
1,Bestt
1,Bhavrit
1,Biagio
5,Bilal
4,Bill
4,Billy
1,Bishop
2,Blade
1,Blaide
3,Blain
14,Blaine
9,Blair
3,Blaise
2,Blaize
56,Blake
2,Blayne
2,Blue
3,Bo
1,Boaz
2,Bobby
1,Bojan
1,Bora
1,Borar
1,Bosco
1,Boston
1,Bovey
1,Bowen
1,Boyce
1,Braaden
#,Baby Boy Names
1,Brace
6,Brad
49,Braden
1,Bradeus
1,Bradey
1,Bradford
1,Bradin
79,Bradley
4,Bradly
4,Bradon
38,Brady
1,Brady-Jo-Robbie
4,Bradyn
7,Braedan
21,Braeden
1,Braedn
7,Braedon
2,Braedyn
11,Braiden
1,Braidon
1,Brailey
1,Bralen
1,Bram
6,Brandan
1,Branddyn
22,Branden
4,Brandin
1,Brando
339,Brandon
2,Brandt
5,Brandyn
1,Brannigan
1,Brannon
4,Branson
7,Brant
1,Braunson
6,Braxton
1,Braxtyn
1,Braydan
73,Brayden
1,Braydin
18,Braydon
1,Brayson
1,Brechen
1,Bredney
1,Brednor
71,Brendan
26,Brenden
2,Brendin
#,Baby Boy Names
12,Brendon
1,Brendyn
21,Brennan
1,Brenndan
10,Brennen
3,Brennon
1,Brensley
19,Brent
3,Brenton
10,Bret
128,Brett
1,Bretten
1,Brett-Julian
7,Bretton
1,Breylan
1,Brhy
31,Brian
1,Brice
1,Brien
1,Brion
1,Britt
1,Britton
17,Brock
2,Broden
3,Broderick
1,Brodey
9,Brodie
43,Brody
1,Brogan
1,Bronsen
4,Bronson
2,Brook
2,Brooke
1,Brooks
1,Brosnon
10,Bruce
1,Bruen
1,Brulan
23,Bryan
4,Bryant
1,Bryar
1,Bryatt
43,Bryce
3,Brycen
1,Brydan
5,Bryden
3,Brydon
7,Bryn
1,Bryndon
#,Baby Boy Names
1,Brynn
3,Bryson
1,Bryten
3,Bryton
1,Buck
1,Buckley
1,Burton
1,Buzz
1,Byron
1,C.
1,Cache
5,Cade
4,Caden
1,Cadence
1,Caeden
3,Cael
3,Caelan
1,Caelin
1,Caiben
1,Caiden
1,Caige
1,Cailin
1,Cailum
1,Cain
3,Caine
1,Cal
1,Calahan
1,Calder
11,Cale
42,Caleb
1,Calen
1,Calib
1,Calin
1,Callaghan
5,Callum
1,Calum
33,Calvin
1,Camden
85,Cameron
1,Canaan
1,Cannon
1,Canten
