Baby Boy Names Registered in 2002,
#,
1,A.J.
1,Aabid
1,Aadam
1,Aaijay
1,Aaqil
1,Aaren
1,Aarif
75,Aaron
1,Aaryan
1,Aasen
1,Aashan
1,Aayush
1,Aazab
1,Abbas
2,Abdelrahman
1,Abdel-Salam
1,Abdi
1,Abdimalik
2,Abdirahman
2,Abdul
1,Abdulbasid
1,Abdul-Kareem
4,Abdullah
4,Abdullah
1,Abdul-Latif
1,Abdul-Rahman
1,Abe
5,Abhay
1,Abhijit
1,Abhiraam
1,Abhishek
1,Abishek
2,Abraham
5,Abram
1,Abrar
1,Absalom
1,Abye
122,Adam
1,Adam-Jay
1,Adar
1,Addis
4,Addison
1,Adeel
4,Aden
1,Adhill
2,Adian
1,Adil
#,
1,Adin
1,Adisson
1,Adley
1,Adly
5,Adnan
20,Adrian
2,Adriano
1,Adriel
6,Adrien
2,Aedan
2,Aeden
1,Aemon
1,Afzal
1,Agamjot
1,Agustus
1,Ahamed
14,Ahmad
9,Ahmed
1,Ahmed-Rada
1,Ahmet
1,Ahstyn
139,Aidan
1,Aideen
73,Aiden
1,Aidon
1,Ainsley
1,Aisen
1,Aithan
1,Aivan
1,Aizik
1,AJ
1,Ajáni
1,Ajay
1,Ajitpal
1,Ajou
2,Akaash
1,Akash
4,Akashdeep
1,Akiff
1,Akiva
1,Akol
1,Akshat
1,Akshay
1,Akson
1,Akumcha
1,Akwasi
2,Alaa
#,
1,Alain
1,Alajandro
3,Alan
1,Alastair
12,Albert
2,Alden
1,Aldin
10,Alec
1,Aleczander
4,Alejandro
3,Aleksander
1,Aleksandr
5,Alessandro
1,Alessio
47,Alex
164,Alexander
1,Alexandr
8,Alexandre
1,Alexandru
3,Alexis
1,Alfons
2,Alfred
26,Ali
1,Alin
1,Alireza
1,Alistair
1,Alister
1,Aljes
3,Allan
1,Allard
7,Allen
1,Almeo
1,Alpha
2,Alton
4,Alvin
3,Aly
1,Amaan
1,Amadeus
3,Aman
2,Amandeep
2,Amar
2,Amar
1,Amardeep
1,Amari
1,Amarjot
1,Amarpreet
1,Ambros
#,
1,Amen
2,Amer
1,Aminja
6,Amir
2,Amit
1,Amjad
1,Amman
1,Ammanuel
1,Ammar
1,Amonté
1,Amr
1,Amrik
1,Amrinder
5,Amrit
4,Anakin
1,Anand
1,Anderson
2,Andre
4,André
7,Andreas
2,Andrei
1,Andrej
1,Andreus
136,Andrew
1,Andrew-James
1,Andries
1,Andrzej
11,Andy
1,Aneel
1,Aneeq
1,Aneil
2,Angad
7,Angelo
1,Angle
5,Angus
1,Anikit
1,Anil
1,Anish
1,Ankit
1,Anmol
1,Anoopdeep
1,Ansen
2,Ansh
8,Anson
1,Anthonie
99,Anthony
1,Anthony -Huynh
1,Anthonyi
#,
3,Antoine
11,Anton
2,Antoni
1,Antonie
1,Antonino
21,Antonio
2,Antony
1,Antwon
1,Anuj
1,Anvil
1,Anwar
1,Aonghus
1,Apollo
1,Aqeel
1,Arac
1,Aralex
1,Aramus
1,Arashdeep
1,Arber
1,Archie-Kenneth
1,Ardan
1,Arham
2,Ari
1,Arib
1,Aric
1,Ariel
