Baby Girl Names Registered in 2001                       A,
GOVERNMENT  SERVICES,
#,Girl  Names 
1,Jaella
1,Jaelle
3,Jaelyn
1,Jaelyse
1,Jagrit
1,Jahmika
1,Jahnae
1,Jai
4,Jaida
15,Jaiden
1,Jaidin
1,Jaidra
1,Jaidy-Joan
3,Jaidyn
1,Jailynn
3,Jaime
2,Jaimee
1,Jaime-Lynn
6,Jaimie
2,Jaina
1,Jaira
1,Jakayla
1,Jaklyn
1,Jakobe
1,Jala
1,Jalaina
1,Jalayna
4,Jalen
1,Jalene
1,Jalisan
3,Jalyn
2,Jami
#,Girl  Names 
24,Jamie
1,Jamila
4,Jana
9,Janae
1,Janan
2,Janay
3,Janaya
17,Jane
2,Janeen
1,Janella
22,Janelle
11,Janessa
6,Janet
1,Janette
3,Janice
1,Janie
6,Janine
1,Janiva
1,Jann
5,Janna
1,Janny
1,Jantiena
1,Jany
1,Japleen
1,Japsharan
1,Jaquelyn
1,Jara
1,Jarkudu
1,Jasdeep
1,Jasha
1,Jashanvir
1,Jaskiran
1,Jaskirat
8,Jasleen
1,Jaslyn
1,Jasmeen
2,Jasmeet
10,Jasmin
53,Jasmine
3,Jasmyn
1,Jasmyne
1,Jasneet
1,Jasper
4,Jaspreet
1,Jassleen
1,Jasslyn
1,Jay
3,Jaya
5,Jayce
4,Jaycee
1,Jayci
1,Jaycob
2,Jayd
17,Jayda
#,Girl  Names 
1,Jaydalyn
5,Jayde
32,Jayden
1,Jaydene
1,Jaydon
1,Jaydyn
1,Jayeden
1,Jayhan
3,Jayla
1,Jaylaa
1,JayLee
1,Jaylee
1,Jayleigh
5,Jaylene
1,Jaylin
4,Jaylynn
5,Jayme
2,Jaymee
1,Jayme-Lee
2,Jaymie
1,Jaymie-Lee
2,Jayna
5,Jayne
3,Jazlyn
3,Jazmin
5,Jazmine
1,Jazmyn
1,Jazmyne
1,Jazzlyn
1,Jazzlynn
1,Jazzmin
1,Jazzy
1,Jean
1,Jeanie
1,Jeanne
1,Jeanny
1,Jehan
1,Jelena
1,Jelinda
1,Jelisa
1,Jelissa
1,Jemila
1,Jemini
2,Jemma
1,Jemoriah
7,Jena
2,Jenae
1,Jenaha
1,Jenaia
1,Jenan
5,Jenaya
1,Jenaye
1,Jenda
1,Jeneaya
#,Girl  Names 
3,Jenelle
7,Jenessa
1,Jeneva
6,Jenica
1,Jenifer
1,Jenika
1,Jenissa
1,Jenita
108,Jenna
1,Jennacã
1,Jennafer
2,Jennah
1,Jenna-Lee
1,Jennavieve
1,Jennaya
1,Jennekah
1,Jennessa
3,Jennie
1,Jennielyn
52,Jennifer
1,Jennilyn
11,Jenny
1,Jennyfer
1,Jensen
1,Jentje
1,Jenzelle
1,Jerah
2,Jerica
1,Jerika
1,Jerilyn
1,Jermaine
1,Jerri
1,Jerrica
4,Jersey
1,Jerzie
1,Jeshvina
1,Jesica
1,Jess
3,Jessa
1,Jessalyn
1,Jessalynn
1,Jessamy
2,Jessamyn
1,Jessca
1,Jesscia
4,Jesse
1,Jessenia
1,Jessi
139,Jessica
1,Jessica-Lee
10,Jessie
1,Jessie-Lynn
4,Jessika
1,Jessina
#,Girl  Names 
1,Jessiqua
3,Jessy
1,Jessye
1,Jessyka
1,Jestice
1,Jesveen
2,Jetta
1,Jeunesses
1,Jeveena
1,Jevlynn
8,Jewel
1,Jeweliet
1,Jhamilia
1,Jhenna
1,Jihan
3,Jill
1,Jilleah
33,Jillian
1,Jillie
1,Jinan
1,Jinelle
1,Jinessa
1,Jing
1,J'Lee
1,J'Lyn
1,J-Lyn
1,Jne
1,Jo
1,Joah
1,Joaniann
1,Joann
3,Joanna
3,Joanne
1,JoAnne
1,Jocelin
15,Jocelyn
1,Jocelyne
1,Jocharel
1,JoDee
1,Jodee
3,Jodi
1,Jodie
1,Jodielyn
1,Jody
1,Joeleigh
3,Joelle
1,Joéllé
1,Joely
1,Johané
6,Johanna
1,John
1,Johnett
2,Johnna
1,Jo-Layne
#,Girl  Names 
1,Joleen
1,Jo-Leigh
4,Jolene
3,Jolie
1,Jonelle
1,Joni
1,Joniesha
63,Jordan
3,Jordana
1,Jordann
1,Jordanna
1,Jordanya
2,Jorden
1,Jordon
31,Jordyn
1,Jordyne
1,Jorgia
1,Jori
1,Jorianna
4,Jorja
1,Josaias
1,Joscelin
1,Joscelynn
1,Joseé
1,Josée
1,Joselynn
1,Joselynne
13,Josephine
1,Josetta
1,Josey
1,Josi
1,Josianne
10,Josie
1,Josie-Mae
1,Josselyn
1,Josslyn
1,Joulene
1,Journie
1,Jovhana
1,Jovi
2,Jovita
9,Joy
6,Joyce
1,Joyceline
1,Juan
1,Juanita
1,Juanita-Jean
1,Jubith
1,Juby-Anne
1,Judah-Ann
1,Judith
5,Judy
1,Juli
95,Julia
#,Girl  Names 
1,Julia-Ann
2,Julian
9,Juliana
1,Juliane
2,Juliann
19,Julianna
1,Julian-Nadite
8,Julianne
24,Julie
1,Julieahnnah
1,Julie-Anne
1,Julie-Ann-Nellie
1,Julie-Mei
1,Julien
6,Juliet
2,Juliette
1,Julita
1,Julitta
1,Julliana
3,June
2,Junia
1,Jurnee
1,Jurni
1,Juru
1,Justeen
4,Justice
1,Justin
8,Justina
16,Justine
2,Justis
1,Justiss
1,Justus
1,Jyllian
1,Jynelle
1,Kaamla
1,Kacee
7,Kacey
1,Kacianne
2,Kacie
1,KacKinley
1,Kadeijah
2,Kaden
1,Kadey
1,Kadie
3,Kady
1,Kae
1,Kaela
2,Kaelan
1,Kaelea
1,Kaeleah
2,Kaeleigh
1,Kaeley
1,Kaelie
1,Kaella
#,Girl  Names 
1,Kaellan
1,Kaely
9,Kaelyn
1,Kaelynn
1,Kahja
1,Kahlan
1,Kahlia
1,Kahmiwin
3,Kaia
1,Kaidyn
2,Kaila
1,Kailan
1,Kailee-Ann
3,Kaileigh
16,Kailey
1,Kaili
1,Kaillym
4,Kailyn
1,Kailynn
1,Kaisha
1,Kaitlan
32,Kaitlin
96,Kaitlyn
14,Kaitlynn
3,Kaiya
1,Kajal
1,Kalahya
1,Kalani
2,Kalaya
3,Kalea
2,Kalee
1,Kaleeah
1,Kaleena
8,Kaleigh
1,Kalena
1,Kalesta
5,Kaley
11,Kali
3,Kalia
1,Kalie
1,Kalilah
1,Kali-Lynn
3,Kalina
1,Kalista
1,Kalita
1,Kaliya
1,Kaliyah
1,Kalli
2,Kallie
1,Kallin
1,Kallista
1,Kaly
1,Kalyka
1,Kalyn
#,Girl  Names 
1,Kalysa
2,Kalyssa
1,Kalysta
1,Kalysten
1,Kamar
2,Kamden
1,Kamdyn
1,Kamea
1,Kamilia
1,Kamira
1,Kamljit
1,Kamran
1,Kamren
6,Kamryn
1,Kamrynn
1,Kamya
1,Kana
1,Kandelise
1,Kandyce
1,Kansas
13,Kara
1,Karah
1,Kara-Lee
1,Karalyn
1,Karamdeep
1,Kareena
9,Karen
1,Karena
2,Kari
1,Karianne
1,Karilyn
1,Kari-Lynn
1,Karin
7,Karina
2,Karis
1,Karisma
5,Karissa
1,Karissa-Lynn
1,Karla
1,Karlaine
4,Karlee
1,Karleigh
2,Karlene
2,Karley
1,Karli
7,Karlie
1,Karlin
4,Karly
1,Karlyn
2,Karma
1,Karman
1,Karma-Rae
2,Karmen
1,Karneet
#,Girl  Names 
1,Karol-Anne
1,Karolina
1,Karoline
2,Karra
1,Karsen
1,Karsyn
1,Kary
1,Kasandra
1,Kascha
4,Kasey
1,Kashaye
1,Kashley
1,Kashmere
1,Kashmira
1,Kasi
3,Kasia
1,Kasidy
1,Kasmira
14,Kassandra
1,Kassi
1,Kassidey
25,Kassidy
1,Kassondra
1,Kassy
1,Kasundra
1,Kasy
1,Kata
2,Katana
6,Katarina
1,Katauna
24,Kate
4,Katelin
56,Katelyn
10,Katelynn
1,Katelynne
1,Kateri
1,Katerie
2,Katerina
1,Katey
1,Katharena
5,Katharina
2,Katharine
1,Katherina
60,Katherine
21,Kathleen
2,Kathrene
3,Kathrine
22,Kathryn
1,Kathryne
6,Kathy
3,Katia
43,Katie
1,Katija
1,Katilyn
#,Girl  Names 
3,Katlyn
1,Katlyne
2,Katlynn
1,Katriana
1,Katriena
31,Katrina
2,Katriona
1,Katryna
1,Katy
1,Katya
1,Kaur
1,Kavita
1,Kavreet
1,Kawthar
1,Kay
10,Kaya
1,Kaycie
3,Kayden
1,Kaydence
1,Kaydn
1,Kaydreanna
1,Kayia
93,Kayla
1,Kayla-Marie
1,Kaylan
2,Kayle
2,Kaylea
35,Kaylee
1,Kay-Lee
1,Kay-lee
1,Kaylei
3,Kayleigh
1,Kaylene
8,Kayley
1,Kayli
8,Kaylie
8,Kaylin
1,Kaylun
2,Kayly
5,Kaylyn
1,Kaylyne
5,Kaylynn
3,Kaylynne
1,Kaysey
1,Kayta-Alaira
1,Kaythynn
1,Kaytin
3,Kaytlin
2,Kaytlyn
1,Kaytlynn
1,Kazhmira
2,Kazia
2,Keagan
1,Kealey
#,Girl  Names 
2,Keana
1,Keandra
9,Keanna
1,Keanu
7,Keara
2,Kearra
1,Kedest
2,Keeanna
1,Keelee
6,Keeley
1,Keeli
2,Keelie
1,Keelin
5,Keely
1,Keelynn
1,Keerat
1,Keeri-Aunnah
2,Keesha
1,Keeva
1,Kegan
1,Kehanna
2,Kehli
1,Keiana
1,Keianna
1,Keiara
1,Keighden
2,Keighly
1,Keili
9,Keira
1,Keiri
3,Keirsten
9,Keisha
1,Keisjah
1,Keita
1,Kéja
1,Kelani
1,Kelby
1,Kelcey
1,Kelle
2,Kelley
3,Kelli
1,Kellie
1,Kellin
1,Kelli-Rai
1,Kellsey
19,Kelly
1,Kelsea
1,Kelsee
24,Kelsey
3,Kelsi
4,Kelsie
1,Kelsy
1,Kelti
2,Keltie
#,Girl  Names 
1,Kenadi
1,Kenaysha
1,Kenda
4,Kendall
2,Kendell
1,Kendeyl
1,Kendi
1,Kendle
41,Kendra
1,Kendrea
1,Kendyl
1,Kenesia
1,Kenidee
2,Kenisha
1,Kenita
2,Kenna
2,Kennady
1,Kenndra
1,Kennedi
1,Kennedie
61,Kennedy
1,Kensey
2,Kenya
9,Kenzie
1,Kenzy
2,Keona
1,Keonna
2,Kera
1,Kerdessa
1,Keri
1,Keriann
1,Kerigan
1,Kerra
2,Kerri
1,Kerrigain
1,Kerri-Lynn
1,Kerry
1,Kerstyn
1,Keshi
1,Kess
1,Kessa
1,Kessler
1,Kestrel
1,Kestyn-Shae
1,Ketara
2,Kevyn
1,Keyaira
2,Keyana
3,Keyanna
1,Keyara
1,Keyarra
1,Keyaundra
1,Keyaura
2,Keyra
#,Girl  Names 
1,Keysha
1,Khadija
1,Khaila
1,Khalee
1,Khalena
1,Khatija
1,Khawala
1,Khiana
2,Khloe
1,Khya
1,Khya-Rayne
18,Kiana
1,Kianah
3,Kiandra
10,Kianna
29,Kiara
3,Kiarah
1,Kiara-Lynn
8,Kiarra
1,Ki'aura
1,Kieana
1,Kieanna
1,Kielyn
1,Kienna
22,Kiera
1,Kierah
3,Kieran
1,Kierik
1,Kierla
1,Kiernan
11,Kierra
1,Kierson
3,Kiersten
1,Kierstin
1,Kierstyn
1,Kieryn
1,Kieta
1,Kieyanna
1,Kila
1,Kilee
4,Kiley
3,Kimberlee
3,Kimberley
23,Kimberly
1,Kimika
1,Kimiya
1,Kinana
1,Kinane
3,Kindra
3,Kinley
1,Kinsee
2,Kinsey
1,Kinsley
2,Kinza
#,Girl  Names 
1,Kionna
21,Kira
3,Kiran
2,Kirandeep
1,Kirena
2,Kirra
20,Kirsten
1,Kirstina
3,Kirstyn
1,Kisha
3,Kitana
1,Kitanna
1,Kiva
1,Kiyomi
1,Klarissa
1,Kloe
1,Koaye
1,Koda
3,Kodi
1,Kojo
1,Kolbi
2,Kolbie
2,Kolby
1,Kolei
1,Kolette
2,Komal
1,Komalpreet
1,Komalpuneet
1,Kora
1,Kora-Lee
2,Kori
1,Korinna
1,Kortnee
1,Koryn
1,Korynn
3,Kourtney
1,Kreiden
1,Krisanna
1,Krislyn
6,Krista
2,Kristal
26,Kristen
1,Kristi
1,Kristian
1,Kristi-anna
2,Kristie
10,Kristin
6,Kristina
6,Kristine
2,Kristy
4,Kristyn
1,Kristyna
1,Krushi
3,Krysta
#,Girl  Names 
5,Krystal
1,Krysteena-Marie
1,Krystelle
1,Krystyn
1,Kuilmar
1,Kulsoom
1,Kulvir
1,Kwanita
6,Kya
2,Kyaira
2,Kyanna
23,Kyla
1,KylaRae
8,Kylee
5,Kyleigh
1,Kyler
1,Kyli
25,Kylie
1,Kylie-Ann
1,Kymber
1,Kymber-Lee
1,Kymberly
1,Kynlie
29,Kyra
1,Kyrah
1,Kyra-Lee
1,Kyria
1,Kyrie
1,Kyrsten
1,Kyrstin
1,Kyssa
1,Ky'Tia
1,Lacandra-Dee
14,Lacey
1,Lachelle
1,Lachlan
2,Lacie
1,Ladan
2,Laila
1,Laina
2,Laine
2,Lainey
1,Lairisa
2,Lakeisha
1,Laken
1,Lakisha
2,Lakota
1,Lakweisha
1,Lalaine
1,Lamar
1,Lamia
6,Lana
1,Lanae
1,Lanaya
#,Girl  Names 
1,Laney
1,Lanina
10,Lara
1,Larado-Lyn
1,Larah
1,Lareesa
17,Larissa
1,Larkin
1,Laryn
1,Lasha
1,LaShiya
1,Latasha
1,Latavia
5,Latisha
3,Latoya
1,Latrell
1,Latycia
35,Laura
2,Lauralee
1,Laura-Lynn
4,Laurel
85,Lauren
1,Laurin
1,Laurisha
1,Laurissa
1,Laurren
8,Lauryn
1,Lavender
2,Layal
1,Layan
7,Layla
1,Layna
1,Layne
1,Laynee
1,Laynie
1,Lazraiah
1,Lea
32,Leah
1,Lea-Marie
4,Leandra
1,Leann
4,Leanna
1,Leanna-Raye
14,Leanne
1,Leda
1,Lee
1,Lee-Ann
1,LeeAnne
3,Leena
1,Leetisha
1,Leeying
1,Legacy
1,Lei
1,Leianne
#,Girl  Names 
3,Leigh
1,Leighanna
1,Leigh-Anne
1,Leila
1,LeiLynn
1,Leisha
1,Lejla
6,Lena
1,Lenaya
1,Lene
1,Lenéya
1,Lennisha
4,Leona
1,Leondra
1,Leonie
1,Leorisa
1,Leslee
1,Lesley
5,Leslie
1,Leticia
1,Lettisia
1,Letycia
1,Levi
8,Lexi
1,Lexia
6,Lexie
4,Lexis
2,Lexus
1,Lexyn
1,Leya
1,Lezlie
2,Lia
1,Lian
1,Liana
1,Lianne
2,Libby
1,Liberté
2,Liberty
1,Liddy
1,Lila
1,Lilah
1,Lili
3,Lilian
1,Lilla
1,Lillawhin
1,Lillea
2,Lilli
14,Lillian
1,Lillianna
1,Lillian-Natalia
1,Lillith
1,Lilly
19,Lily
1,Lina
#,Girl  Names 
1,Linay
7,Linda
1,Linde
1,Linden
17,Lindsay
6,Lindsey
3,Lindy
1,Linh
2,Linnaea
1,Linnea
1,Linzeii
1,Linzi
20,Lisa
1,Lisanne
1,Lisette
1,Lison
3,Lita
1,Litany
1,Livia
1,Liya
2,Liza
1,Lizethe
1,Lobna
5,Logan
2,Lois
2,Lola
2,Loni
1,Lorea
2,Lorelei
2,Lorena
1,Lorenn
2,Loretta
1,Lorez
2,Lori
1,Lorilyn
1,Lorissa
1,Lorlita
1,Lorna
3,Lorraine
1,Lorretta
1,Lorrie
1,Lorrie-Anne
1,Louanne
1,Louisa
1,Louise-Ann
1,Lourdes
1,Loveleen
1,Lovely
2,Lucia
1,Lucija
3,Lucille
1,Lucretia
8,Lucy
1,Luka
#,Girl  Names 
3,Luna
1,Luul
12,Lydia
1,Lydia-Naomi
1,Lynaya
2,Lynda
1,Lyndi
1,Lyndsay
3,Lyndsey
1,Lyndzie
1,Lyneah
1,Lynel
1,Lynette
2,Lynn
1,Lynsey
1,Lynsi
1,Lyntesha
1,Lyonesse
1,Lyrah
1,Lyric
1,Lyta
1,Ma.
1,Macaella
1,Macaria
1,Macauleigh
2,Macenzie
2,Macey
2,Machaela
1,MacKaela
2,Mackayla
1,Mackena
6,Mackenna
2,MacKenna
1,Mackensie
1,MacKenzee
1,Mackenzi
138,Mackenzie
26,MacKenzie
1,Mackenzie-Dawn
2,Mackenzy
1,MacKenzy
1,Mackinnly
1,Mackynna
8,Macy
1,Macynne
1,Madalina
1,Madaline
4,Madalyn
1,Maddaline
1,Maddie
24,Maddison
1,Maddyson
7,Madelaine
20,Madeleine
#,Girl  Names 
1,Madelene
1,Madelin
27,Madeline
15,Madelyn
1,Madelynn
1,Madeson
1,Madhurie
1,Madigan
1,Madiha
1,Madilen
1,Madilin
3,Madilyn
2,Madilynn
2,Madisen
254,Madison
3,Madisson
6,Madisyn
1,Madylann
2,Madysen
4,Madyson
1,Madysun
3,Mae
5,Maegan
1,Maeghan
6,Maeve
2,Magaretha
1,Magda
1,Magdalena
1,Magen
14,Maggie
1,Maggie-Lee
1,Maggy
2,Maha
1,Maheesha
1,Mahekjot
12,Maia
1,Maicee
1,Maigenn
1,Maija
1,Maïka
1,Maira
1,Mairead
1,Mairéad
1,Mairi
1,Mairin
1,Máirín
1,Mairyn
1,Mais
3,Maisy
1,Mai-Thao
1,Maitri
3,Maiya
1,Maizie
1,Maja
#,Girl  Names 
2,Majida
1,Majken
2,Makaila
1,Makala
1,Makara
46,Makayla
1,Makayli
22,Makenna
2,MaKenna
1,Makenzi
5,Makenzie
2,Malaika
3,Malak
1,Malana
1,Malarie
1,Maleah
1,Malerie
2,Malia
1,Malika
1,Malin
2,Malina
1,Malinda
1,Maliyah
1,Malkiya
1,Mallarie
1,Mallary
1,Mallorie
3,Mallory
1,Mally
1,Malvina
1,Manaal
3,Manal
1,Manasi
1,Mandalynn
1,Mandeep
1,Mandi
6,Mandy
1,Maneica
1,Manelle
1,Mang
1,Manisha
2,Manjot
1,Manleen
3,Manmeet
1,Mannat
1,Manon
1,Manon-Erin
1,Manoor
1,Mansimran
2,Mara
2,Marah
1,Marajade
1,Maranda
1,Marcail
#,Girl  Names 
1,Marden
9,Maren
1,Marena
13,Margaret
1,Margaret-Ann
1,Margaretha
1,Margo
1,Margret
1,Marguerite
37,Maria
10,Mariah
7,Mariam
2,Mariana
1,Marianne
1,Maribel
1,Mariddie
12,Marie
1,Marieca
1,Marie-Jeanne
1,Mariel
1,Mariela
1,Marie-Laure
1,Mariesha
1,Marijka
2,Marika
4,Marilyn
2,Marin
7,Marina
1,Marion
1,Maris
5,Marisa
1,Marisha
1,Mariska
1,Marisol
1,Marison
11,Marissa
1,Maritta
1,Mariya
1,Marja
1,Markee
1,Markita
2,Marla
2,Marlayna
2,Marlee
4,Marlene
3,Marley
1,Marlissa
1,Marni
1,Marrah
1,Marrin
1,Marsha
1,Mart a
1,Marteena
6,Martha
#,Girl  Names 
1,Martie
4,Martina
1,Martyna
2,Marwa
27,Mary
2,Maryanne
1,Mary-Elisabeth
1,Maryelle
2,Mary-Jane
1,Maryjun
1,Marylou
2,Maryn
2,Masha
3,Mason
1,Mataea
4,Mataya
3,Matea
1,Mathilde
1,Matia
4,Matilda
4,Mattea
1,Matteia
1,Mattye
1,Maura
2,Maxine
1,May
36,Maya
1,Mayah
1,Mayanne
1,Mayar
1,Maybelle
1,Mayce
2,Maycee
1,Maycie
1,Mayeling
1,Maysa
1,Maysaá
2,Mayson
1,McKarthy
7,McKayla
1,Mckayla
24,McKenna
6,Mckenna
1,McKenzi
10,McKenzie
3,Mckenzie
1,McKinlee
1,McKinley
1,McKinly
1,Mckinnley
1,McKynlee
1,McKynna
6,Meadow
15,Meagan
#,Girl  Names 
6,Meaghan
2,Meara
1,Mechelle
1,Meddyna
3,Medina
1,Meena
1,Meera
1,Meg
170,Megan
1,Meggie
33,Meghan
2,Meghna
1,Megumi
1,Mehar
1,Meilin
1,Meira
1,Mekailla
1,Melaine
1,Melak
21,Melanie
1,Melena
3,Melina
1,Melisa
38,Melissa
2,Mélissa
1,Meliza
1,Mellisa
1,Mélodie
7,Melody
1,Melynah
1,Melyssa
1,Mena
1,Menyka
1,Merasia
1,Mercadies
1,Mercede
12,Mercedes
1,Mercedez
1,Mercy
4,Meredith
1,Merissa
1,Mersadies
1,Meryck
1,Mesa
1,Mesha
1,Mesina
1,Metallea
1,Metaya
1,Metayle
1,Meteghan
1,Mette
23,Mia
1,Miah
1,Miakayla
#,Girl  Names 
1,Micaela
1,Micaelin
5,Micah
1,Micaiah
3,Micayla
30,Michaela
4,Michaella
2,Michaila
1,Michal
1,Michala
1,Michanda
2,Michayla
1,Micheal
1,Michela
2,Michele
47,Michelle
1,Mickaila
2,Mickayla
1,Mickyla
1,Mico
2,Midori
3,Mika
13,Mikaela
5,Mikaila
1,Mikaili
40,Mikayla
1,Mikaylee
1,Mikeala
1,Mikeeli
1,Mikelle
1,Mikenna
1,Mikhayla
1,Mikhel
2,Mikyla
2,Mila
1,Milah
2,Milan
1,Milayna
1,Mildred
1,Milena
1,Miliana
1,Milica
1,Milla
1,Millena-Millennium
2,Mina
1,Minea
1,Mir
3,Mira
28,Miranda
7,Miriam
1,Mirielle
1,Mirisha
1,Mirna
1,Mirysa
#,Girl  Names 
1,Mishala
1,Missy
2,Miya
1,Miyah
1,Moeisha
1,Mohita
2,Mokhaben
1,Mollie
23,Molly
1,Mona
1,Monet
1,Monét
1,Monic
15,Monica
1,Monike
5,Monique
1,Moniquepreet
2,Monisha
1,Monroe
1,Monserrat
1,Monsserrat
9,Montana
1,Montanna
84,Morgan
1,Morgann
1,Morganna
1,Morgen
1,Morgyn
2,Moria
3,Moriah
1,Morningstar
1,Mosetta
1,Mrittika
1,MultibaAisha
1,Muna
1,Muneera
1,Munnat
1,Muskaan
3,Muskan
34,Mya
8,Myah
1,Myana
1,Myckenna
1,Myckenzie
1,Myenna
1,Myka
1,Mykaela
1,Mykayla
1,Mykenzi
1,Myla
1,Myra
2,Myranda
1,Myrissa
1,Myrna
#,Girl  Names 
1,Myrriah
1,Mysti
1,Nabiha
1,Nabihah
1,Nacera
2,Nada
1,Nadah
1,Nadalea
2,Nadeen
1,Nadein
20,Nadia
6,Nadine
1,Nadya
1,Nagam
1,Nahtisha
1,Naioka
1,Naiya
1,Najla
1,Najma
1,Nakita
1,Nakomis
3,Nancy
1,Nancy-Ruby-Francis
1,Naoka
25,Naomi
2,Nardos
1,Nariman
1,Narishma
1,Narissa
1,Narmeen
1,Narysse
1,Nassrein
1,Nastasha
1,Nastasia
1,Nataja
11,Natalia
36,Natalie
1,Nataly
6,Natalya
1,Natanis
33,Natasha
1,Nataya
1,Natayah
3,Nathalie
1,Natkay
1,Naveen
4,Navjot
1,Navneet
1,Navnoor
1,Navolee
1,Navpreet
3,Navreet
1,Navya
1,Naya
#,Girl  Names 
1,Nayha
2,Nazreen
1,Neasha
1,Neavy
1,Nebiat
1,Neelofer
1,Neely
1,Neeru
3,Neha
1,Neisa
1,Neleha
3,Nellie
3,Nerissa
1,Neta
1,Netanis
1,Netisha
1,Netty
1,Nevada
1,Nevara
1,Nevia
1,Neyla
1,Nftaliam
1,Ngoc
1,Nguyen
1,Nhi
1,Nhu
1,Nhya
3,Nia
1,Niaria
1,Nicelle
4,Nichole
1,Nickayla
1,Nickia
1,Nickisha
3,Nicola
101,Nicole
1,Nicoletta
1,Nicolette
1,Nicolle
1,Nidhi
1,Niem
1,Nihal-Ande
1,Nika
1,Nikaela
1,Nikaya
2,Nikayla
1,Nikida
16,Nikita
6,Nikki
1,Nikkia
1,Nikola
1,Nikolina
1,Nilüfer
1,Nima
#,Girl  Names 
1,Nimra
2,Nimrit
6,Nina
1,Ninita
1,Niomi
1,Nionceá
1,Nisa
1,Nishta
1,Nisreen
1,Nita
1,Nnya
1,Noah-Dawn
4,Noelle
2,Noemi
3,Nola
1,Noon
5,Noor
1,Noorzia
1,Nora
1,Noraa
1,Noriah
1,Norjine
1,Nouhad
3,Nour
1,Novalee
1,Nova-Leigh
2,Nya
1,Nyachang
3,Nyah
1,Nyakong
1,Nyanbeny
1,Nyanen
1,Nyanuer
1,Nyaruac
1,Nyatoang
1,Nyatuach
1,Nyayany
1,Nyehoth
1,Nyewal
1,Nykala
1,Nykita
1,Nyla
1,Nylee
1,Nyomi
1,Nyshia
1,Nyssa
1,Oakley
2,Ocean
2,Oceana
1,Océane
1,Oceanna
1,Octavia
1,Oddessa
1,Odessa
#,Girl  Names 
1,Ogechi
1,Ola
1,Olava
1,Olenka
1,Olidia
119,Olivia
1,Olivya
1,Oliwia
1,Olum
1,Oluwafisayo
1,Oluwakemi
1,Omaya
1,Omega
1,Onesha
1,Onisty
1,Onna
1,Orisha
1,Oshianna
1,Otayah
1,Oyeala
1,Oymoon
1,Pacey
1,Pacifica
1,Paden
1,Paege
1,Paetyn
1,Page
75,Paige
1,Paignton
1,Paij
5,Paisley
1,Paisly
1,Paiten
3,Paityn
1,Palehswan
1,Pamela
1,Panayota
1,Paradise
1,Paramjot
1,Pardeep
14,Paris
4,Parker
1,Parton
2,Pascale
1,Pasqualle
1,Patience
1,Patience-Rayne
1,Patil
9,Patricia
1,Patricia-Gianna
1,Patsy
1,Paula
3,Paulina
4,Pauline
#,Girl  Names 
3,Payden
1,Paynter
4,Payten
24,Payton
1,Paytyn
1,Pearl
1,Peggy
1,Pei
1,Peighton
1,Pelin
1,Pennelope
1,Peri
1,Peris
1,Peters
1,Peytan
10,Peyton
1,Peytra
1,Phalynn
2,Pheonix
3,Phoebe
5,Phoenix
1,Phoinix
1,Phullis
1,Pietra
13,Piper
1,Piper-Lynn
1,Po
1,Poppy
1,Porsha
2,Porshia
4,Portia
1,Portline
1,Prabhjot
1,Prabhreet
1,Prabprit
1,Praise
3,Precious
1,Preese
2,Preet
1,Prerana
1,Prescilla
1,Preslea
1,Preslee
7,Presley
1,Priadeep
1,Prinaaz
1,Princess
6,Priscilla
1,Prisylla
1,Prix
7,Priya
3,Priyanka
1,Providence
1,Puneet
#,Girl  Names 
1,Puruvi
1,Pyper
1,Qiana
1,Qudsia
1,Queara
1,Queenie
2,Quiana
1,Quiara
1,Quierra
1,Quinelle
11,Quinn
1,Quinn-Leslie
1,Quin-Tanah
1,Quintanna
1,Rabia
19,Rachael
4,Racheal
99,Rachel
2,Rachele
13,Rachelle
1,Rachelyn
2,Racquel
1,Rae
1,Raeah
2,Raeann
1,Rae-ann
1,Raeanna
2,Raeanne
1,Raechal
1,Raedynne
5,Raegan
1,Raegen
1,Raeghan
1,Raegyn
2,Raelee
2,Raeleigh
2,Raelene
1,Raelle
6,Raelyn
2,Raelynn
2,Raena
1,Rafaela
1,Rafaella
1,Raiha
2,Rain
5,Raina
1,Raine
1,Rainey
1,Rainia-Zona
1,Raja
2,Rajpreet
1,Rama
1,Ramah
1,Raman
#,Girl  Names 
2,Ramandeep
1,Ramanpreet
1,Ramea
3,Ramneet
2,Rana
1,Randell
3,Randi
2,Rane
1,Raneem
1,Ranell
1,Ranelle
2,Rania
1,Ranim
1,Raphaëlle
5,Raquel
1,Rasha
1,Ravanna-Raine
9,Raven
1,Raven-Sky
1,Ravin
2,Ravleen
2,Ravneet
1,Ravnit
2,Rawan
1,Raya
3,Rayan
2,Rayann
2,Rayanna
7,Rayanne
1,Ray-anne
1,Raycheal
1,Raychel
1,Raye
1,Rayel
1,Raygan
1,Rayleen
4,Raylene
1,Raylyn
1,Raylynn
6,Rayna
5,Rayne
1,Rayney
1,Rayvan
1,Rayven
1,Razan
1,Razia
9,Reagan
2,Reaghan
1,Reagon
1,Reanjelica
1,Reann
7,Reanna
6,Reanne
1,Reata
#,Girl  Names 
1,Reba
99,Rebecca
2,Rebecka
2,Rebeka
6,Rebekah
1,Rebekka-Rae
4,Reece
4,Reegan
2,Reeghan
6,Reem
1,Rees
3,Reese
8,Regan
1,Regena
3,Regina
1,Regine-Dawn
1,Reid
1,Reigen
1,Reigha
