Baby Boy Names Registered in 1991,
#,Baby Boy Names
2,A.
1,Aantyn
1,Aarin
147,Aaron
1,Aaron-Dean
1,AaronLee
1,Aaron-Lee
1,Aarron
1,Aashish
1,Aazan
1,Abbass
1,Abdallah
1,Abdal-Rahman
1,Abdel-Tawab
1,Abdo-El-Muttaulib
1,Abdu
2,Abdul
1,Abdulghani
1,Abdulkadir
1,Abdullah
2,Abdul-Rahman
1,Abdu-Rahman
1,Abel
1,Abey
2,Abid
1,Abiola
2,Abraham
3,Abram
1,Aceah
1,Ackle
171,Adam
1,Adan
3,Addison
1,Adeel
2,Adel
1,Adib
1,Adil
1,Adnaan
1,Adnan
1,Adonis
1,Adreian
22,Adrian
2,Adriel
4,Adrien
1,Adyn
1,Aerlan
1,Afshin
1,Aftab
#,Baby Boy Names
1,Agassi
5,Ahmad
3,Ahmed
1,Ahren
12,Aidan
1,Aitash
3,Ajay
1,Ajaz
1,Ajeet
1,Akeem
1,Akeem-Jamal
1,Akshay
4,Alain
18,Alan
1,Alasdair
1,Alastair
1,Alaxander
11,Albert
3,Alberto
1,Alden
1,Aldin
2,Alec
1,Aleem
3,Alejandro
1,Alek
37,Alex
200,Alexander
1,Alexander-John
2,Alexandre
1,Alexendre
1,Alexi
1,Al-Fahd
5,Alfred
2,Alfredo
10,Ali
1,Alistair
1,Alister
2,Alix
1,Allaa-Dean
20,Allan
1,Allan-Michael
14,Allen
1,Allias
1,Allison
1,Alois
1,Alonso
2,Alonzo
1,Altaf
#,Baby Boy Names
1,Alvaro
6,Alvin
2,Aly
1,Alykhan
2,Amadeus
2,Aman
1,Amanbir
1,Amar
2,Amardeep
2,Amarveer
1,Ameer
3,Amin
2,Amir
1,Amis
2,Amit
1,Amitoj
2,Amitpal
1,Amogh
3,Amos
1,Amos-Moses
1,Amr
1,Amrik
1,Amrinder
1,Amrit
1,An
3,Anders
1,Anderson
1,Andin
11,Andre
3,Andreas
1,Andreaus
3,Andrei
1,Andres
317,Andrew
1,Andrew-James
1,Andries
2,Andrij
12,Andy
4,Angelo
9,Angus
1,Anil
1,Anish
1,Ankhit
1,Ankur
1,Anson
1,Anthoney
112,Anthony
5,Anton
#,Baby Boy Names
9,Antonio
6,Antony
1,Anup
1,Anwar
1,Aodhan
1,Apollo
1,Aquilla
1,Aral
1,Arash
1,Arashdeep
1,Archie
1,Ardel
1,Arick
2,Ariel
1,Aries
1,Arjun
1,Arlan
1,Arland
1,Arlen
1,Arlie
2,Arlo
2,Armando
1,Armanjot
1,Arnel
6,Arnold
6,Aron
3,Arron
1,Arshan
1,Arta
1,Arther
10,Arthur
1,Arvin
1,Aryeh
1,Asa
1,Asaad
1,Asad
1,Asheesh
1,Asher
1,Ashley
1,Ashneel
1,Ashok
13,Ashton
2,Asif
1,Asim
1,Asnil
1,Atinderpal
1,Atomu
1,Atul
2,Aubrey
#,Baby Boy Names
1,Aubyii
1,Audrius
2,August
1,Augustin
1,Augustus
1,Aurey
2,Austen
48,Austin
3,Avery
1,Avinesh
2,Avneet
1,Awebre
2,Axel
1,Axle
1,Axyl
1,Ayman
1,Aymen
1,Ayoub
1,Ba
25,Baby
1,Bachan
1,Bahi
1,Bakshi
1,Baldwin
1,Baljinder
1,Baljit
1,Baljot
1,Balmore
1,Balram
2,Baltej
1,Barett
1,Barnabas
1,Barret
6,Barrett
1,Barron
9,Barry
1,Bart
1,Bartek
2,Bartholomew
1,Bartosz
1,Basem
1,Bashar
1,Basheer
1,Basil
1,Baston
1,Batam
1,Baxter
1,Beatah
9,Beau
#,Baby Boy Names
1,Beau-Justice
1,Becker
1,Beelal
1,Behzad
3,Belal
1,Bellal
9,Ben
1,Benedict
1,Benen
3,Benjamen
132,Benjamin
4,Bennett
2,Benny
1,Benoit
2,Benson
2,Bentley
2,Benton
1,Berkley
7,Bernard
1,Bernhort
2,Bevan
2,Bilal
5,Bill
3,Billy
1,Billyjoe
1,Biong
1,Bivash
2,Blain
14,Blaine
20,Blair
2,Blaire
2,Blaise
35,Blake
1,Blandon
1,Blane
6,Blayne
3,Blayze
3,Blaze
4,Bo
6,Bobby
1,Boleslaw
1,Bond
1,Borden
1,Boris
1,Borna
1,Boston
1,Bowdrie
1,Boyvin
4,Brad
#,Baby Boy Names
50,Braden
1,Bradford
1,Bradlee
130,Bradley
5,Bradly
1,Bradon
15,Brady
1,Braedan
9,Braeden
4,Braedon
2,Braiden
1,Braidon
2,Braidy
5,Brandan
14,Branden
2,Brandin
185,Brandon
1,Brandt
6,Brandyn
1,Branigan
5,Brant
1,Brantin-James
1,Brantley
1,Braunt
1,Braven
1,Braxton
29,Brayden
5,Braydon
1,Brayten
1,Brecken
88,Brendan
11,Brenden
1,Brendin
21,Brendon
25,Brennan
6,Brennen
4,Brennon
1,Brenon
52,Brent
1,Brenton
1,Brentt
12,Bret
135,Brett
1,Bretten
4,Bretton
63,Brian
1,Brian-Thang-Vo
1,Brice
1,Brien
#,Baby Boy Names
1,Brigham
1,Brinder
13,Brock
1,Brockton
1,Brodey
13,Brodie
17,Brody
6,Bronson
2,Brook
1,Brooke
10,Bruce
1,Bruno
32,Bryan
3,Bryant
53,Bryce
1,Brycin
3,Brydon
7,Bryn
1,Bryndin
1,Bryndon
2,Bryon
1,Bryor
1,Bryre
1,Brysen
4,Bryson
5,Bryton
1,Brytton
1,Buchanan
1,Buddy
1,Burgess
1,Burton
16,Byron
1,C.
1,Cade
2,Caden
1,Cadmar
2,Cael
1,Cahl
1,Caidan
1,Cain
2,Caine
2,Cal
1,Calan
1,Calder
7,Cale
24,Caleb
1,Calen
1,Calin
1,Callahan
#,Baby Boy Names
1,Callan
2,Callen
2,Callum
4,Calum
25,Calvin
1,Cam
1,Camden
1,Camdyn
112,Cameron
1,Camil
1,Camron
1,Caoinleain
6,Carey
1,Carik
18,Carl
2,Carlin
1,Carlisle
1,Carlo
5,Carlos
1,Carlton
1,Carlyle
1,Carmelo
1,Carmen
1,Carmichael
1,Carmine
31,Carson
14,Carter
2,Cary
21,Casey
1,Cash
1,Cashton
1,Cason
1,Caspian
4,Cass
4,Cassidy
1,Catlen
7,Catlin
1,Caton
1,Cayl
2,Caylan
1,Cayle
1,Caylen
3,Cecil
1,Cein
1,Centrone
2,Cesar
1,Chace
79,Chad
1,Chadd
#,Baby Boy Names
1,Chadi
2,Chadwick
1,Chadwin
1,Chai
1,Chaim
1,Chaise
26,Chance
1,Chancelor
1,Chandeep
4,Chandler
2,Chane
1,Chaney
1,Channce
2,Channing
1,Chanse
1,Charan
1,Charanjit
1,Charbel
24,Charles
3,Charlie
1,Charlo
1,Chas
59,Chase
1,Chason
2,Chayse
1,Chaz
1,Chee
1,Chester
1,Chett
1,Chetwynn
3,Chevy
1,Chewynn
1,Chirag
3,Chris
1,Christafer
1,Christapher
1,Christen
38,Christian
1,Christofer
1,Christoffer
1,Christon
1,Christoper
1,Christophe
372,Christopher
2,Christophor
1,Chu
2,Chuck
1,Chun
2,Cian
#,Baby Boy Names
2,Ciaran
1,Cieran
2,Clancy
4,Clarence
1,Clark
2,Clarke
2,Claude
6,Clay
1,Clayborne
39,Clayton
9,Clifford
1,Clifton
4,Clint
21,Clinton
1,Clive
1,Clyde
1,Clyson
1,Coady
3,Codi
1,Codi-James
245,Cody
1,Cody-James
1,Cody-Lee
1,Cogan
1,Cohen
1,Colan
1,Colben
1,Colbey
1,Colbie
33,Colby
72,Cole
7,Coleman
1,Coleton
81,Colin
9,Collin
1,Colt
1,Coltan
14,Colten
4,Colter
2,Coltin
58,Colton
1,Colwyn
1,Conan
1,Conar
1,Conlynn
1,Connaire
6,Conner
83,Connor
1,Connors
#,Baby Boy Names
9,Conor
13,Conrad
1,Conroy
1,Conroyd
1,Constandinos
1,Constantine
1,Conyn
5,Cooper
1,Corban
1,Corbett
10,Corbin
2,Cord
7,Cordell
50,Corey
1,Corim
1,Corleone
1,Corneleus
1,Cornelis
2,Cornelius
1,Cornell
1,Corson
1,Cortlan
1,Corwin
62,Cory
1,Cote
2,Coty
1,Cougar
1,Coulee
1,Courtland
2,Courtney
65,Craig
1,Crawford
1,Creedence
2,Creighton
1,Creseijner
1,Cris
1,Cristen
2,Cristian
1,Cristino
1,Cristobal
2,Cristopher
1,Crosby
1,Croydon
1,Cruz
1,Cullen
1,Curran
3,Curt
96,Curtis
1,Cy
#,Baby Boy Names
3,Cyle
1,Cyril
5,Cyrus
1,D.
1,Dacen
2,Dacota
2,Daelan
1,Daemion
1,Daerio
1,Daimon
2,Dain
1,Dainen
2,Dakoda
40,Dakota
1,Dakotah
16,Dale
3,Dalen
1,Dallan
40,Dallas
3,Dallen
8,Dallin
1,Dallon
22,Dalton
1,Dalyce
1,Dalyn
1,Damain
1,Daman
1,Damein
13,Damian
6,Damien
4,Damion
5,Damon
4,Dan
5,Dana
1,Danan
1,Dancin
15,Dane
1,Danial
278,Daniel
1,Daniell
1,Daniel-Paul
1,Dannis
14,Danny
1,Dante
1,Danten
5,Danton
1,Dara
1,Dararasmey
2,Darby
#,Baby Boy Names
1,Darcey
25,Darcy
2,D'Arcy
1,Darek
1,Daren
4,Darian
2,Darien
2,Darin
5,Dario
2,Darion
4,Darius
1,Darnel
1,Darnell
5,Darrel
2,Darrell
41,Darren
1,Darrian
1,Darrick
3,Darrin
1,Darris
9,Darryl
2,Darwin
4,Daryl
1,Daryle
1,Daryn
1,Dashiel
1,Dat
1,Daton
1,Daven
294,David
1,David-Iain
6,Davin
5,Davis
1,Dawiane
1,Dawood
2,Dawson
1,Dax
2,Daxton
1,Dayce
5,Daylan
1,Dayle
1,Daylen
1,Daylon
1,Daymon
1,Daymond
2,Dayn
1,Dayna
6,Dayne
1,Dayten
#,Baby Boy Names
10,Dayton
31,Dean
1,Decklin
1,Deigan
1,Deihl
1,Deion
1,Deiryk
2,Deiter
1,Dekoda
1,Delain
1,Delamar
3,Delaney
1,Delby
1,Dellas
1,Delman
1,Deltin
2,Delvin
1,Delwyn
1,Demerius
2,Denis
1,Denni
19,Dennis
1,Dennon
2,Denny
1,Densa
2,Denton
4,Denver
1,Denzel
1,Derec
2,Dereck
102,Derek
1,Derence
4,Derick
1,Derik
1,Derreck
1,Derrian
34,Derrick
1,Derron
1,Deryk
1,Deshane
9,Desmond
1,Desmund
1,Destin
1,Detton
7,Devan
4,Deven
1,Devery
62,Devin
1,Devinder
#,Baby Boy Names
2,Devlin
74,Devon
4,Dexter
1,Deyved
1,Dharminder
1,Dick
2,Dickson
2,Diedrich
1,Diego
1,Dieter
1,Dietmar
1,Dilawar
3,Dillan
1,Dillian
1,Dillin
1,Dillion
45,Dillon
1,Dimitri
2,Dimitrios
3,Dion
1,Dionne
1,Dirk
1,Dixon
1,Dmetri
2,Domenico
19,Dominic
1,Dominique
4,Don
25,Donald
1,Donavin
4,Donavon
1,Donnelly
11,Donovan
1,Donovin
1,Donovon
3,Dorian
1,Dorin
31,Douglas
1,Dragan
7,Drake
1,Draper
1,Drayden
1,Draytin
1,Drayton
26,Drew
1,Dru
1,Dryden
1,Duall
4,Duane
#,Baby Boy Names
1,Duc
1,Dugald
2,Dugan
1,Duglas
1,Duke
1,Du-Khang
17,Duncan
1,Dunne
1,Duran
1,Durant
1,Durrell
1,Durrill
1,Dushyant
3,Dustan
1,Dusten
1,Dustie
126,Dustin
1,Dustine
1,Dustin-Lee
4,Dusty
5,Dustyn
1,Duy-Khiem
6,Dwayne
7,Dwight
194,Dylan
2,Dylon
2,Dyson
7,Earl
1,Earnest
1,Eassa
1,Ebrahim
1,Edai
2,Eddie
1,Eddy
2,Edmond
1,Edmund
1,Edrihan
1,Edrin
1,Eduardo
20,Edward
8,Edwin
2,Eirik
1,Elden
1,Eldon
1,Eldrin
2,Eli
13,Elias
1,Eliezer
10,Elijah
#,Baby Boy Names
1,Eliot
1,Eliott
1,Elisha
10,Elliot
4,Elliott
2,Ellis
2,Elton
2,Elvis
1,Emad
1,Emele
1,Emerson
4,Emil
2,Emilio
1,Emmanuel
4,Emmett
1,Emory
1,Emri
1,Enrico
1,Enrique
1,Ercole
1,Erek
144,Eric
3,Erich
6,Erick
1,Eric-Kieth
34,Erik
4,Ernest
1,Ernie
4,Errol
1,Ershad
2,Erwin
1,Eryn
1,Ethain
56,Ethan
1,Ethan-Allan
1,Ethen
2,Etienne
4,Eugene
1,Eugenio
130,Evan
7,Everett
1,Evyn
3,Ezra
1,Faddei
1,Faisal
1,Faiz-Ali
1,Farren
1,Farris
1,Farzeen
#,Baby Boy Names
1,Farzin
1,Fayiz
5,Felix
1,Feras
2,Fergus
4,Fernando
1,Ferris
1,Fidel
1,Filmon
1,Finn
1,Fionn
1,Flint
1,Floyd
2,Forest
4,Forrest
2,Foster
2,Fouad
2,Francesco
7,Francis
1,Francisco
1,Franco
2,Francois
10,Frank
2,Franklin
1,Franklyn
1,Franky
3,Fraser
1,Frazer
1,Fred
2,Freddie
2,Frederic
5,Frederick
1,Fredric
3,Fredrick
1,Frisco
1,Fuk
1,Fulton
1,Fung
1,Futa
16,Gabriel
1,Gaelen
1,Gagandeep
5,Gage
1,Gaian
1,Galen
1,Galvin
1,Gared
3,Gareth
6,Garett
#,Baby Boy Names
1,Garin
1,Garitt
4,Garnet
1,Garnett
1,Garon
12,Garret
54,Garrett
2,Garrick
1,Garrin
1,Garrit
1,Garry
8,Garth
19,Gary
1,Garyn
1,Gates
1,Gauge
1,Gauhar
1,Gaurav
14,Gavin
1,Gavyn
1,Gearard
1,Geesteranus
1,Gene
1,Genesis
3,Geoff
2,Geoffery
19,Geoffrey
2,Geordan
1,Geordi
1,Geordie
23,George
1,Georges-Jhon
13,Gerald
2,Gerard
1,Gerardo
1,Gergely
1,Gerhard
1,Gerrett
1,Gerrin
1,Gerrit
1,Gerritt
1,Gerrold
1,Gerry
1,Ghais
2,Ghassan
1,Gia
1,Giacomo
1,Gian
1,Giancarlo
#,Baby Boy Names
1,Gianpiero
1,Gibreal
5,Gideon
1,Gilbert
1,Giles
1,Gillian
1,Gillis
1,Gilmore
1,Gino
4,Giovanni
1,Giuliano
1,Giuseppe
14,Glen
12,Glenn
1,Godwin
1,Gorden
18,Gordon
1,Gradey
4,Grady
10,Graeme
35,Graham
26,Grant
1,Graydon
5,Grayson
4,Greg
1,Gregery
4,Gregg
1,Gregorie
1,Gregorios
82,Gregory
1,Gryphon
1,Gui
1,Gunnar
1,Gurbir
1,Gurdeep
1,Gurdev
2,Gurinder
1,Gurjot
1,Gurman
2,Gurpaul
2,Gurpreet
1,Gurprince
1,Gurveer
1,Gurvier
1,Guy
1,Hadi
1,Hadley
1,Hai-Y
1,Halen
#,Baby Boy Names
1,Hall
1,Halley
1,Halvard
1,Hamed
1,Hamish
1,Hamza
3,Hans
1,Harbir
1,Hardeep
2,Hardy
1,Haris
1,Harjot
1,Harjup
1,Harkaran
4,Harlan
1,Harlee
2,Harlen
14,Harley
1,Harly
2,Harman
1,Harmanbir
3,Harold
1,Harpreet
1,Harreson
11,Harrison
6,Harry
1,Harsimran
1,Hartley
5,Harvey
1,Hasaan
1,Hashim
4,Hassan
1,Haven
1,Havok
1,Hawkin
1,Hawkins
18,Hayden
1,Haydon
1,Heath
1,Hector
1,Heesoo
1,Heike
1,Heinz
1,Hendrik
3,Henri
19,Henry
1,Herbert
3,Herman
1,Hermes
#,Baby Boy Names
1,Hersh
1,Hidenori
1,Hieth
1,Hilary
1,Hisam
1,Hoang
1,Holden
2,Hong
2,Horace
1,Horus
4,Houston
3,Howard
1,Howie
3,Hubert
1,Hudson
2,Hugh
1,Hugo
2,Hunter
4,Hussein
3,Hussien
2,Huu
1,Huu-Tuan
1,Huy
1,Hyrum
5,Iain
70,Ian
1,Ibraham
1,Ibraheem
1,Ibrahim
1,Ignacy
1,Ignazio
1,Ihem
1,Imran
1,Imrandeep
1,Inder
1,Inderjot
1,Inderpaul
1,Iosip
1,Iqbal
2,Ira
1,Irin
1,Irvin
1,Irwin
13,Isaac
1,Isaac-Victor
1,Isaak
1,Isaiah
1,Ishrat
1,Ismael
#,Baby Boy Names
1,Issa
1,Istvan
1,Itai
8,Ivan
1,Iveson
1,J.
7,Jace
9,Jack
1,Jackie
8,Jackson
2,Jacky
87,Jacob
2,Jacobus
3,Jacques
2,Jad
2,Jade
3,Jaden
1,Jade-William
1,Jaedan
1,Jaffar
2,Jagdeep
1,Jagger
1,Jagman
1,Jagmohan
1,Jagveer
1,Jahimba
1,Jahtra
1,Jaiden
2,Jaime
1,Jaith
34,Jake
1,Jake-Amazariah
2,Jakob
1,Jakub
1,Jamaal
1,Jamael
6,Jamal
1,Jamall-Ciro
1,Jaman
1,Jamar
2,Jameel
1,Jamen
266,James
1,Jameson
1,Jamey
1,Jami
51,Jamie
1,Jamiel
1,Jamie-Lee
#,Baby Boy Names
2,Jamieson
2,Jamin
1,Jamir
3,Jan
1,Jann
1,Jantz
1,Jarad
92,Jared
1,Jarek
5,Jaret
2,Jareth
3,Jarett
4,Jarid
1,Jarmanjeet
1,Jarod
4,Jaron
4,Jarred
7,Jarret
12,Jarrett
3,Jarrod
1,Jarron
1,Jarryd
5,Jarvis
1,Jaryd
1,Jaryn
1,Jas
1,Jasen
1,Jasjeeven
1,Jaskarn
1,Jasman
2,Jasmeet
1,Jasminder
152,Jason
1,Jason-Leigh
1,Jaspal
1,Jaspaul
3,Jasper
1,Jaspreet
1,Jasraj
1,Jastinder
1,Jasvinder
1,Jatinder
1,Javaid
2,Javan
