Baby Boy Names Registered in 1993,
#,Baby Boy Names
1,A.
1,Aadarsh
1,Aakash
1,Aaqil
1,Aaren
1,Aarohan
142,Aaron
1,Abdallah
1,Abdelhakim
1,Abdimalik
1,Abdon
1,Abdul
1,Abdul-Karim
1,Abdulkhalak
2,Abdullah
1,Abdullah-Abdelfatah
1,Abdulsalam
1,Abdusaed
1,Abe
2,Abel
1,Abhay
2,Abhijeet
1,Abir
5,Abraham
1,Abram
1,Accom
161,Adam
1,Adamo
5,Addison
1,Adil
1,Adilio
1,Adithya
1,Admir
2,Adnan
1,Adon
1,Adonis
1,Adrain
20,Adrian
1,Adriano
1,Adriean
2,Adriel
5,Adrien
5,Ahmad
13,Ahmed
1,Ahmedmahir
18,Aidan
5,Aiden
1,Aiman
#,Baby Boy Names
1,Ainslie
1,Ajay
1,Akaash
1,Akbar
1,Akeam
1,Akram
1,Al
13,Alan
1,Alasdair
17,Albert
3,Alberto
1,Alden
1,Aldis
9,Alec
1,Alekander
1,Aleksandar
32,Alex
247,Alexander
11,Alexandre
2,Alexandros
1,Alexie
1,Alfred
18,Ali
1,Ali-Ahmed
1,Alick
1,Alie
2,Alim
1,Alison
1,Alla
13,Allan
11,Allen
1,Allex
1,Allistair
1,Allister
1,Ally
1,Almahdi
2,Alphonse
1,Al-Qaim
1,Alriguez
1,Altaf
1,Alton
4,Alvin
1,Alvis
2,Aly
1,Alykhan
1,Amaan
1,Amadeus
1,Amanda
#,Baby Boy Names
1,Amandeep
1,Amanpal
1,Amardeep
1,Amarprett
1,Ambroise
1,Ambrose
1,Ambry
1,Amgad
1,Amil
1,Amillio
1,Amindeep
1,Amit
1,Amole
2,Amos
1,Amulpreet
1,Amyn
1,Anand
1,Anant
2,Anas
1,Anden
2,Anders
1,Anderson
1,Andras
10,Andre
4,Andreas
1,Andrej
1,Andre-Phillipe
1,Andres
216,Andrew
1,Andrew-William
1,Andrtew
1,Andrzej
10,Andy
1,Aneil
1,Anes
1,Angelo
3,Angus
1,Anh
1,Anil
1,Anmol
1,Anshul
94,Anthony
1,Anthony-Lee
1,Antoine
5,Anton
9,Antonio
4,Antony
1,Anwar
#,Baby Boy Names
1,Apneet
1,Apostolos
1,Araien
3,Archie
1,Arden
2,Aren
3,Aric
3,Arie
1,Ariel
1,Arik
1,Arin
2,Arion
2,Arjun
1,Arken
2,Arlen
1,Arley
1,Arlyn
2,Arman
1,Armun
1,Arnold
2,Aron
1,Arounyadade
5,Arron
2,Arshdeep
1,Art
11,Arthur
1,Artur
3,Arvin
1,Aryson
1,Asa
1,Ashir
1,Ashish
1,Ashkerin
1,Ashleigh
2,Ashley
1,Ashneel
1,Ashneil
1,Ashten
19,Ashton
1,Ashton-Lee
1,Asif
1,Assmar
2,Aubrey
1,Audulio
1,Augustus
1,Aurangzeb
1,Auriel
1,Aurthur
1,Ausim
#,Baby Boy Names
7,Austen
153,Austin
1,Austn
1,Auston
2,Austyn
1,Austynn
1,Avereigh
11,Avery
1,Avin
2,Avinash
1,Awasis
2,Axel
1,Axsivier
1,Axton
1,Ayden
1,Aydon
1,Ayodeji
1,Ayoub
1,Ayyub
1,Azad
1,Azhar
1,Ba
36,Baby
2,Bailey
1,Balkar
1,Balraj
1,Banjamin
1,Bao
1,Bao-Nguyen
1,Barjinder
6,Barrett
3,Barry
1,Bartosz
1,Basam
1,Basil
1,Bassam
1,Bassem
1,Baxter
1,Bayan
1,Bazler
8,Beau
1,Beaudry
1,Beay
1,Becker
1,Belal
1,Belall
1,Bellal
8,Ben
1,Benjaman
#,Baby Boy Names
118,Benjamin
1,Benjamin-Ephraim
1,Benjemin
1,Benjerman
4,Bennett
4,Benny
3,Benson
1,Benton
1,Bernard
1,Bernhard
1,Berton
2,Bevan
1,Bevyn
1,Beyar
1,Bhavjot
1,Bhrair
1,Bhupender
1,Bhuphinder
1,Biancci
1,Bijaan
1,Bilal
1,Bill
1,Billal
6,Billy
1,Billy-Jack
1,Binh
1,Bipanjot
1,Bird
1,Bishal
1,Bishop
2,Bjorn
2,Blade
1,Bladyn
1,Blain
11,Blaine
21,Blair
1,Blaise
43,Blake
1,Blane
1,Blayd
2,Blaze
4,Bo
1,Bobbi
2,Bobby
2,Boden
1,Bodey
2,Bodie
1,Bohdan
1,Bohdi
#,Baby Boy Names
1,Booker
1,Bo-Rham
1,Boru
1,Bosten
1,Boston
1,Bourne
1,Bowdrie
2,Boyd
6,Brad
55,Braden
2,Bradey
1,Bradford
2,Bradie
1,Bradin
1,Bradlee
90,Bradley
4,Bradly
1,Bradon
55,Brady
2,Bradyn
6,Braedan
24,Braeden
1,Braedin
7,Braedon
1,Braedy
1,Braedyn
1,Braetel
1,Braidan
8,Braiden
1,Brakkas
1,Bram
6,Brandan
34,Branden
5,Brandin
1,Brandin-Lee
411,Brandon
7,Brandt
5,Brandyn
1,Brannon
1,Branson
3,Brant
1,Branton
1,Brantt
1,Brantyn
1,Braxt0n
1,Braxton
38,Brayden
13,Braydon
1,Braydyn
#,Baby Boy Names
1,Braylon
2,Brayton
1,Brenan
1,Brenard
93,Brendan
17,Brenden
1,Brendin
18,Brendon
1,Brendy
2,Brendyn
1,Brenen
18,Brennan
8,Brennen
28,Brent
1,Brenten
2,Brenton
1,Brenyn
1,Breon
6,Bret
1,Breton
137,Brett
1,Brettan
1,Bretten
1,Bretton
56,Brian
3,Briar
4,Brice
1,Brighton
1,Brillian
1,Brin
1,Brittan
12,Brock
1,Brodan
1,Brodey
14,Brodie
1,Brodric
15,Brody
1,Brogan
3,Bronson
3,Brook
1,Brooke
1,Brooker
1,Brooks
1,Browdy
8,Bruce
34,Bryan
1,Bryan-Paul
51,Bryce
2,Brycen
#,Baby Boy Names
2,Brydan
3,Bryden
3,Bryn
1,Brynndan
2,Bryson
1,Bryten
6,Bryton
1,Buck
1,Bud
1,Buldavith
2,Burke
1,Burton
9,Byron
2,Cabe
1,Cache
4,Cade
1,Caden
1,Caelan
1,Caiden
1,Cailean
1,Cajun
1,Cal
3,Cale
37,Caleb
1,Calen
1,Cali
5,Callum
1,Calson
3,Calum
31,Calvin
1,Calvyn
1,Cam
1,Camaron
101,Cameron
1,Campbell
1,Camron
1,Canseco
2,Carey
8,Carl
1,Carl-Christian
1,Carlin
1,Carlo
5,Carlos
1,Carlynn
1,Carmello
1,Carsen
21,Carson
1,Carsten
24,Carter
#,Baby Boy Names
2,Cary
1,Case
11,Casey
2,Cash
1,Cashman
1,Cashton
1,Casper
1,Cassian
7,Cassidy
1,Cassius
1,Caston
2,Catlen
1,Catlin
1,Catlyn
2,Cayden
1,Cayle
1,Cayson
1,Cedrid
1,Cees
1,Cesar
66,Chad
1,Chadd
1,Chadwick
1,Chady
2,Chaise
1,Chaisson
1,Chak-Heng
22,Chance
1,Chancery
3,Chandler
1,Chandrashekar
1,Chanin
1,Channce
3,Chanse
1,Chantz
30,Charles
1,Charlie
1,Charnjot
56,Chase
1,Chaunte
1,Chavez
1,Chaveze
1,Chavves
1,Chay
1,Chayse
6,Chaz
1,Che
1,Chess
5,Chester
#,Baby Boy Names
1,Cheyenne
1,Cheyenno
1,Chhaya
1,Chi
1,Chih
1,Chinmay
1,Chirstopher
1,Chivez
1,Chon-ji
9,Chris
1,Christefur
49,Christian
1,Christian-James
1,Christifer
2,Christofer
1,Christoph
1,Christophe
281,Christopher
1,Christos
1,Chrystyan
1,Chung
1,Chuol
1,Ciaran
1,Clancy
3,Clarence
3,Clark
1,Clarke
1,Claudio
10,Clay
1,Clayborne
39,Clayton
1,Cleighton
3,Clement
1,Cleve
3,Clifford
1,Clinson
6,Clint
1,Clinten
18,Clinton
2,Clyde
1,Coale
1,Coben
2,Codey
4,Codi
3,Codie
232,Cody
1,Cody-Lee
3,Cohen
1,Colbey
#,Baby Boy Names
1,Colbin
34,Colby
121,Cole
7,Coleman
1,Coletin
5,Coleton
74,Colin
12,Collin
1,Collington
1,Colm
1,Colman
1,Colson
2,Colt
4,Coltan
19,Colten
6,Coltin
113,Colton
3,Coltyn
1,Colyn
1,Conlin
1,Connal
12,Conner
1,Connie
148,Connor
13,Conor
13,Conrad
1,Conroy
9,Cooper
1,Corban
1,Corben
13,Corbin
1,Corbin-James
1,Corbyn
7,Cordell
33,Corey
1,Cornelis
4,Cornelius
1,Corny
1,Cortlon
2,Corwin
38,Cory
1,Coryden
1,Coryell
1,Cotey
1,Coty
1,Coulter
1,Coulton
1,Court
1,Courtney
#,Baby Boy Names
1,Covy
1,Coy
1,Cozmo
40,Craig
1,Craige
1,Creighton
1,Cristan
2,Cristian
1,Cristo
1,Cristofer
1,Cruz
3,Cullen
2,Curran
76,Curtis
2,Cyle
6,Cyrus
1,Dace
1,Dacs
1,Daeman
1,Daemon
2,Dagan
1,Dailyn
1,Dakoda
33,Dakota
1,Dalas
17,Dale
1,Dalen
1,Daley
1,Dalin
47,Dallas
1,Dallen
7,Dallin
1,Dallion
1,Dallon
2,Dalon
1,Dalraj
1,Dalten
30,Dalton
1,Dalvir
1,Damek
2,Damen
9,Damian
9,Damien
1,Damion
18,Damon
6,Dan
4,Dana
1,Danan
12,Dane
#,Baby Boy Names
1,Dani
8,Danial
258,Daniel
1,Daniel-Oscar
10,Danny
1,Danson
1,Dante
1,Danton
1,Danyal
2,Dara
2,Darby
1,Darcey
31,Darcy
2,D'Arcy
1,Dardin
1,Darek
7,Darian
1,Dariane
1,Daric
3,Darien
1,Darin
1,Dario
1,Darion
1,Daris
5,Darius
2,Darnell
2,Darrel
4,Darrell
29,Darren
3,Darrian
1,Darrien
1,Darrieun
3,Darrin
1,Darrio
1,Darris
4,Darryl
1,Darryn
2,Darshan
2,Darton
3,Darwin
1,Darwyn
1,Daryan
4,Daryl
2,Dat
1,Dathan
3,Daulton
1,Daur-Jehiah
1,Dausen
1,Davey
#,Baby Boy Names
230,David
1,Davien
3,Davin
15,Davis
9,Dawson
1,Dax
6,Daylan
1,Dayle
2,Daylen
2,Daylon
1,Daymond
2,Dayne
1,Daynen
12,Dayton
1,Daytona
1,Dazzmin
1,De
17,Dean
1,Deane
1,Declan
1,Deedar
1,Deion
1,Dekker
1,Delali
1,Delane
2,Delaney
2,Delbert
1,Deleted
1,Delorna
1,Delroy
1,Delsin
1,Delston
1,Demetrio
1,Demetrius
1,Demien
2,Denis
1,Denner
15,Dennis
2,Denny
1,Dentin
4,Denton
1,Denver
1,Denys
1,Denzel
3,Deon
1,Deondre
2,Dereck
88,Derek
3,Derian
#,Baby Boy Names
2,Derik
1,Derin
1,Derrek
15,Derrick
1,Derrick-Lyle
1,Derriston
1,Derry
6,Desmond
1,Destin
1,Detrick
1,Deval
9,Devan
2,Deven
1,Deveon
1,Devereaux
47,Devin
59,Devon
1,Devontae
3,Devyn
1,Dex
5,Dexter
1,Dhanial
1,Dhanvant
2,Diamond
1,Diason
4,Diego
1,Dieter.Holger
2,Dilan
4,Dillan
2,Dillion
49,Dillon
1,Dilon
1,Dimitri
1,Dimitrios
2,Dinh
1,Dino
2,Dion
1,Dionysios
2,Dixon
2,Dolan
1,Dolphus
11,Dominic
2,Dominik
3,Dominique
5,Don
1,Donal
12,Donald
1,Donaldson
2,Donavan
#,Baby Boy Names
1,Donaven
6,Donavin
1,Donavon
2,Donivan
1,Donnelly
1,Donnie
1,Donny
6,Donovan
1,Donovon
1,Dorian
28,Douglas
1,Douglas-Gordon
1,Dow
1,Dow-Ching
1,Doyle
9,Drake
1,Dray
2,Drayton
15,Drew
2,Dryden
3,Duane
1,Duchesne
20,Duncan
1,Durwin
101,Dustin
1,Duston
3,Dusty
1,Dutton
1,Dwaine
3,Dwayne
1,Dwier
7,Dwight
1,Dwyght
1,Dyce
254,Dylan
6,Dyllan
1,Dyllinn
1,Dyllon
3,Dylon
1,Dymar
1,Dyson
