Baby Girl Names Registered in 1997,
#,Baby Girl Names
1,Aaliyah
1,Aalyiah
1,Aaneli
1,Aarika
1,Aaron
1,Abbe
8,Abbey
1,Abbi
1,Abbie
4,Abbigail
1,Abbilynn
13,Abby
1,Abbydean
1,Abeer
1,Abegail
1,Aber
3,Abigael
45,Abigail
1,Abigaile
1,Abigayle
1,Abra
1,Abria
1,Abrielle
1,Abril
1,Abroo
1,Aby
1,Acacia
3,Ada
1,Adalia
2,Adanna
1,Addison
1,Adecia
1,Adeela
2,Adela
1,Adele
1,Adelheid
1,Adeline
1,Adelisa
1,Adena
1,Adene
1,Adhiti
1,Adoncia
1,Adriah
2,Adrian
9,Adriana
22,Adrianna
1,Adrianne
1,Adrien
9,Adrienne
1,Adryana
#,Baby Girl Names
1,Aerial
1,Aerin
1,Aeysha
1,Afimia
1,Afton
4,Aganetha
1,Agata
2,Agatha
2,Agnes
1,Ah-Chi
1,Ahmi
6,Aidan
1,Aiden
1,Aija
1,Aileen
1,Ailene
1,Ai-Lien
1,Aillee
1,Ailysh
1,Aimbree
8,Aimee
1,Aimie
1,Ainsleigh
2,Ainsley
1,Ainslie
6,Aisha
1,Aishah
1,Aislin
1,Aislind
1,Aisling
2,Aislinn
1,Aislyn
2,Aitana
1,Aiyana
1,Akaisha
1,Akeesha
1,Akira
1,Alacia
1,Alaethia
6,Alaina
1,Alalandra
18,Alana
1,Alanah
2,Alandra
1,Alanis
12,Alanna
6,Alannah
1,Alannis
1,Alaska
1,Alaura
#,Baby Girl Names
1,Alayna
1,Alaysha
1,Alcina
1,Alda
1,Alea
2,Aleah
1,Aleaha
1,Aleasha
1,Alecia
1,Aleena
1,Aleesa
1,Aleese
4,Aleesha
1,Aleeza
1,Aleigha
1,Aleiha
1,Aleisha
1,Aleithia
2,Alejandra
2,Aleksa
4,Aleksandra
1,Alesha
2,Alesia
5,Alessandra
1,Alessia
2,Alex
32,Alexa
109,Alexandra
3,Alexandrea
22,Alexandria
1,Alexandrya
1,Alexanndra
1,Alexi
4,Alexia
38,Alexis
1,Alexis-Jewel
1,Alexsandra
1,Alexys
1,Alexzandra
1,Aleysha
3,Ali
4,Alia
1,Alias
5,Alice
52,Alicia
1,Alie
1,Aliesha
6,Alina
1,Ali-Rae
5,Alisa
#,Baby Girl Names
1,Alisanne
1,Aliscia
1,Alise
1,Alisen
9,Alisha
1,Alishia
25,Alison
5,Alissa
1,Alita-Ann
1,Alivia
4,Alix
1,Alixandria
3,Aliya
1,Aliza
4,Allana
1,Allandra
1,Allanis
1,Allannah
2,Allecia
1,Allegra
1,Alleli
1,Allicya
3,Allie
35,Allison
1,Ally
1,Allysa
2,Allysha
4,Allyson
3,Allyssa
1,Allyster
2,Alma
1,Almaze
1,Alona
2,Alora
1,Alvina
2,Alyce
1,Alyceea
6,Alycia
1,Alycia-Mae
1,Alyissa
1,Alys
1,Alysa
1,Alysen
16,Alysha
1,Alysha-Khanu
2,Alyshia
4,Alysia
3,Alyson
111,Alyssa
1,Alyssabeth
1,Alyssa-Lynn
#,Baby Girl Names
1,Alysse
5,Alyssia
3,Alyx
1,Alyxia
1,Alyza
2,Amal
1,Amalie
139,Amanda
3,Amandeep
1,Amane
1,Amanihe
1,Amanpreet
1,Amany
1,Amar
1,Amara
1,Amarpreet
1,Amarra
52,Amber
1,Amberelyn
1,Amber-Lee
1,Amberlie
1,Amberlin
1,Amberly
1,Amber-Rachel
1,Ambika
1,Ambriella
1,Ameena
19,Amelia
1,Amera
3,Amethyst
4,Amie
2,Amiee
1,Amielia
1,Amii
1,Amilee
4,Amina
6,Amira
1,Amny
1,Amrit
1,Amrita
96,Amy
1,Amy-Eliza
1,Amy-Jo
2,Ana
1,Anabela
1,Anabelle
1,Anas
5,Anastasia
1,Anastassia
1,Anastazia
1,Anchal
#,Baby Girl Names
1,Anda
1,Andelina-Marie
1,Andi
2,Andie
1,Andjela
1,Andra
40,Andrea
1,Andree-Anne
1,Andreia
1,Andrena
5,Andria
1,Anecia
1,Aneesa
1,Anesia
1,Anfal
15,Angel
23,Angela
1,Angele
1,Angelea
1,Angelia
6,Angelica
7,Angelina
4,Angelique
1,Angella
1,Angelle
1,Angellyn
2,Angie
1,Anica
1,Anicsha
1,Aniela
12,Anika
1,Anindita
1,Anique
1,Anisa
1,Anissa
1,Anistasia
9,Anita
1,Anja
1,Anjali
1,Ankanaa
1,Anmol
53,Anna
3,Annabelle
1,Annais
1,Anna-Jane
1,Anna-Jean
1,Annalea
1,Annalie
2,Annalisa
1,Annalise
1,Anna-Mae
#,Baby Girl Names
1,Annamaria
1,Anna-Maria
2,Anna-Marie
5,Anne
1,Anneli
1,Anneliese
1,Annelyse
3,Anne-Marie
2,Anne-Sophie
1,Annetta
1,Annia
1,Annica
2,Annick
9,Annie
11,Annika
1,Annikka
1,Anny
1,Anouk
2,Ansley
1,Antanida
1,Anthonel
3,Antonia
1,Anusha
3,Anya
1,Anyah
1,Anysa
11,April
1,Apryl
1,Apurba
1,Aqilah
1,Arabella
1,Arashroop
1,Arcana
1,Arcassa
1,Ardelle
3,Arden
1,Areesha
1,Aria
6,Ariana
7,Arianna
1,Arianne
1,Ariba
6,Ariel
1,Arin
1,Arina
1,Aris
1,Arisma
1,Arizona
1,Arlean
1,Arlene
1,Arles
#,Baby Girl Names
1,Arnell
1,Aroha
1,Arooba
1,Arosha
1,Arpandeep
1,Arrah
2,Arshdeep
1,Arshmeet
1,Arshpreet
1,Arti
1,Aryka
2,Aryn
2,Aryssa
1,Asahi
3,Asha
1,Ashah
1,Ashana
1,Ashanti
1,Asheena
3,Ashika
9,Ashlee
10,Ashleigh
1,Ash-Leigh
163,Ashley
1,Ashli
1,Ashliegh
1,Ashlin
3,Ashly
8,Ashlyn
6,Ashlynn
1,Ashlynne
1,Ashna
1,Ashnita
1,Ashtika
1,Ashtin
8,Ashton
3,Ashtyn
1,Ashtynn
1,Ashwini
2,Asia
1,Asifa
1,Asima
2,Asma
1,Asmah
3,Aspen
1,Assala
1,Astari
1,Aster
2,Astrid
1,Ataya
1,Atayah
#,Baby Girl Names
4,Athena
1,Athene
1,Atiya
1,Atlanta
1,Attiya
3,Aubrey
1,Aubrie
1,Audessa
1,Audray
7,Audrey
1,Audrey-Ann
1,Augusta
1,Augustine-
1,Aura
1,Aurelea
1,Auria
6,Aurora
2,Austyn
1,Autum
18,Autumn
1,Autumn-Lee
3,Ava
3,Avalon
1,Avegail
1,Averee
1,Averi
2,Averie
12,Avery
1,Avieana
4,Avneet
1,Avonlie
1,Avrey
1,Avril
1,Awura
1,Ayah
1,Ayak
1,Ayana
1,Ayanoh
4,Ayden
1,Ayieh
3,Ayla
3,Aysha
1,Ayslynn
1,Ayza
1,Ayzhia
1,Azana
1,Azaria
1,Azeria
1,Azley
1,Azlyn
1,Azmaira
#,Baby Girl Names
1,Azra-Ann
1,Azrael
1,Babbanpreet
1,Babette
24,Baby
1,Baeley
11,Bailee
1,Bai-Lee
75,Bailey
1,Bailie
1,Baillie
2,Baily
2,Balpreet
1,Banveet
3,Barbara
1,Basia
1,Batul
1,Batule
1,Baula
1,Bayle
8,Baylee
1,Bayleigh
3,Bayley
1,Beatrice
1,Beatrix
2,Becca
2,Becky
3,Belinda
1,Bella
2,Benita
1,Berklee
1,Bernice
1,Bertha
1,Bessie
9,Beth
1,Bethania
20,Bethany
2,Bethel
1,Betthany
1,Bettina
1,Beverly
1,Beyata
1,Bhawanpreet
12,Bianca
1,Bianka
1,Bianne
2,Billi
3,Billie
1,Billieanne
1,Billie-Anne
1,Binisha
#,Baby Girl Names
1,Birgitte
2,Blair
5,Blaire
1,Blakely
1,Blanca
1,Blayre
1,Blayse
1,Blessing
2,Bobbi
1,Bobbie-Ann
1,Bobbie-Jean
1,Bobbie-Jo
1,Bonita
3,Bonnie
1,Bradie
1,Brady
1,Bradyne
1,Braedyn
1,Braelin
1,Branagh
1,Brandalynn
1,Brandee
7,Brandi
1,Brandi-Dawn
2,Brandie
1,Brandis
1,Brandon
8,Brandy
1,Brayden
2,Braylen
1,Braylene
1,Braylin
1,Brea
4,Breana
7,Breann
43,Breanna
33,Breanne
5,Bree
1,Breeanne
1,Breece
1,Breena
1,Breeze
1,Breigh-An
1,Breighanna
1,Breina
1,Brekk-Lyn
9,Brenda
1,Brendalyn
18,Brenna
1,Brennan
1,Bret
#,Baby Girl Names
1,Bretany
7,Brett
1,Brettany
1,Brettelle
1,Bretton
1,Breyanna
1,Brey-Anna
4,Bria
12,Briana
1,Briane
1,Briann
1,Bri-Ann
58,Brianna
1,Bri-Anna
1,Brianna-Lynne
25,Brianne
1,Bri-Anne
1,Bricklin
4,Bridget
2,Bridgette
1,Bridgit
1,Bridie
2,Brie
1,Brieana
3,Brieanna
1,Brie-Anne
1,Briel
1,Briella
3,Brielle
2,Brienne
1,Brieze
1,Brinkley
1,Brionna
1,Brionnae
1,Britain
1,Britanny
1,Britany
1,Britley
1,Britlyn
6,Britney
1,Britnie
1,Britt
1,Britta
3,Brittaney
1,Brittani
1,Brittanie
109,Brittany
1,Britten
1,Brittin
4,Brittnee
32,Brittney
#,Baby Girl Names
1,Brittni
1,Brittny
1,Brittyne
1,Brogan
1,Broklyn
1,Bronte
5,Bronwyn
2,Brook
73,Brooke
1,Brookelan
1,Brooke-Lyn
1,Brooke-Lynn
49,Brooklyn
2,Brooklyne
6,Brooklynn
2,Brook-Lynn
2,Brooklynne
1,Broolklyn
11,Bryanna
3,Bryanne
2,Bryce
1,Bryden
1,Brydon
1,Brylie
2,Bryn
1,Bryna
1,Brynelle
6,Brynn
2,Brynna
2,Brynne
1,Brytney
