Baby Boy Names Registered in 1990,
#,Baby Boy Names
1,A.
163,Aaron
1,Aasim
1,Abayomi
1,Abdalla
1,Abdallah
2,Abdul
1,Abdulbari
2,Abdullah
3,Abdulrahman
1,Abdulrhman
1,Abdurazak
1,Abel
1,Abhayjeet
1,Abhinav
1,Abhishek
6,Abraham
1,Abrahim
3,Abram
1,Ace
221,Adam
1,Addison
1,Addlore
1,Adedamola
2,Adeel
1,Adel
1,Aden
3,Adil
1,Adnaan
1,Adonia
1,Adrean
38,Adrian
1,Adriano
1,Adriel
3,Adrien
1,Aedan
1,Afif
1,Afolabi
1,Afton
1,Afzal
1,Ahmad
10,Ahmed
7,Aidan
2,Aiden
1,Aime
1,Ainsley
1,Ajay
1,Ajit
#,Baby Boy Names
1,Akash
1,Akeem
5,Alain
23,Alan
1,Alancin
1,Alan-Michael
1,Alannis
18,Albert
1,Alberto
1,Alden
1,Aldon
7,Alec
1,Aleksander
2,Alessandro
36,Alex
1,Alexandar
193,Alexander
2,Alexandre
1,Alexi
3,Alexis
1,Alexzander
1,Alfonso
4,Alfred
1,Alfredo
15,Ali
1,Alias
1,Alick
2,Alim
1,Alisdair
3,Alistair
1,Allaine
23,Allan
11,Allen
1,Allen-Kai
1,Allison
1,Allister
1,Almerick
1,Alvaro
5,Alvin
1,Alwood
1,Aly
1,Alykhan
1,Alyn
1,Aman
1,Amancio
5,Amandeep
1,Amarpreet
1,Ambrose
#,Baby Boy Names
1,Ameer
1,Amelio
3,Amin
1,Aminder
3,Amir
2,Amit
1,Ammar
4,Ammon
1,Amoldeep
1,Amory
1,Amos
1,Amrit
1,Amro
2,Anas
1,Anastacio
3,Anders
1,Anderson
12,Andre
1,Andreas
1,Andre-Michel
2,Andres
1,Andreus
322,Andrew
1,Andrey
11,Andy
1,Angad
3,Angelo
2,Angus
1,Anil
1,Anis
1,Anit
1,Anmol
1,Ansley
1,Anson
110,Anthony
1,Anthony-Curtis
1,Anto
1,Antoine
3,Anton
4,Antonio
3,Antony
1,Anuraag
1,Anuvir
1,Aram
1,Archie
1,Arek
1,Arick
3,Arie
#,Baby Boy Names
1,Ariel
1,Aris
1,Arjun
2,Arlen
2,Arlo
1,Armand
1,Armando
1,Armin
1,Arnie
1,Arnold
3,Aron
1,Arrol
1,Arron
1,Arshaan
6,Arthur
2,Arvind
1,Arwin
3,Ashley
1,Ashlin
1,Ashneil
1,Ashniel
1,Ashraf
1,Ashraff
17,Ashton
1,Asik
1,Astin
1,Atilla
1,Attekra
5,Aubrey
1,Audencio
1,Augustus
1,Aundene
2,Austen
41,Austin
2,Avery
1,Avrian
1,Avtar
1,Axel
1,Axil
1,Axl
1,Aylan
1,Ayoub
1,Azaad
1,Azan
1,Azfar
1,Azim
1,Azisclo
2,Ba
20,Baby
#,Baby Boy Names
1,Bahader
1,Bahram
3,Bailey
1,Baldwin
1,Baljit
1,Balpartap
1,Barclay
3,Barret
4,Barrett
9,Barry
1,Bartholomew
1,Bartley
1,Barton
1,Bartosz
1,Bazel
6,Beau
1,Behn
5,Belal
1,Belisarius
6,Ben
1,Bence
1,Benford
2,Benito
1,Benjamen
147,Benjamin
1,Benjimen
1,Benn
1,Bennet
2,Bennett
1,Benno
1,Benny
1,Benoit
2,Benson
3,Bernard
1,Bernardo
3,Bernhard
1,Bernis
1,Bertie
4,Bevan
1,Bevin
1,Bevis
1,Bhavnish
1,Bhawanjot
1,Bikramjit
4,Bilal
1,Bill
2,Billie
2,Billy
1,Bishop
#,Baby Boy Names
1,Bjorn
4,Blade
26,Blaine
22,Blair
2,Blaire
23,Blake
1,Blakeney
3,Blayne
1,Blayze
1,Blaze
4,Bo
1,Boaz
1,Bobbi
7,Bobby
1,Bobby-Lee
1,Boe
1,Boris
1,Bo-Ty
2,Bowen
2,Boyd
3,Brad
1,Bradan
31,Braden
1,Bradford
1,Bradlee
139,Bradley
4,Bradly
3,Bradon
18,Brady
2,Bradyn
3,Braedan
7,Braeden
4,Braedon
1,Braiden
1,Braidon
1,Braidy
1,Bram
3,Brandan
12,Branden
189,Brandon
3,Brandt
1,Brandy
3,Brandyn
1,Brandy-Neilson
1,Brannan
1,Brannon
1,Branon
6,Brant
2,Brantley
#,Baby Boy Names
1,Branton
1,Braun
1,Braxton
19,Brayden
5,Braydon
1,Braylan
1,Brayton
1,Brenan
76,Brendan
1,Brendann
16,Brenden
16,Brendon
1,Brendyn
25,Brennan
10,Brennen
4,Brennon
1,Brenon
1,Brenrich
43,Brent
2,Brenton
6,Bret
1,Bretan
1,Breton
154,Brett
1,Brettan
4,Bretton
90,Brian
1,Briar
1,Brice
1,Britt
1,Broagan
1,Broc
16,Brock
1,Broden
1,Broderick
1,Brodgerick
2,Brodi
5,Brodie
6,Brody
3,Bronson
1,Brook
1,Brooke
1,Brooklyn
1,Brooks
9,Bruce
1,Bruno
34,Bryan
1,Bryant
47,Bryce
#,Baby Boy Names
3,Bryden
3,Brydon
1,Bryer-Dallas
1,Bryler
2,Bryn
3,Bryson
1,Bryton
1,Buck
1,Budd
3,Buddy
1,Burke
1,Burton
12,Byron
1,Byryn
1,Cabot
3,Cade
2,Cael
1,Caeton
1,Caid
1,Cain
1,Caine
1,Caith
1,Cal
5,Cale
24,Caleb
1,Calen
1,Cali
1,Calin
1,Callahan
1,Callan
2,Callen
4,Callum
1,Calorado
2,Calum
38,Calvin
1,Calyn
1,Calynn
3,Cam
1,Camden
105,Cameron
1,Camil
1,Camille
1,Camron
5,Carey
17,Carl
1,Carlington
3,Carlo
6,Carlos
1,Carlyle
#,Baby Boy Names
1,Carmen
31,Carson
9,Carter
1,Carver
1,Carwyn
2,Cary
22,Casey
1,Casey-Lee
1,Cashus
1,Casper
3,Cassidy
1,Cassie
8,Catlin
1,Cattlen
1,Cavan
1,Caveh
1,Cavin
1,Caycee
2,Cayden
1,Cayl
1,Caylan
2,Cayle
1,Caylen
1,Cayne
1,Cecil
1,Cedric
1,Cejay
1,Cesare
97,Chad
1,Chadd
3,Chadwick
1,Chadwyck
1,Challen
1,Chalse
17,Chance
3,Chancellor
1,Chancelor
2,Chandler
1,Channing
2,Chanse
1,Chan-Ung
41,Charles
1,Charles-Jordon
3,Charlie
1,Charnjot
43,Chase
1,Chasten
1,Chau
1,Chawki
#,Baby Boy Names
1,Chay
1,Chayce
1,Chayde
2,Chayse
1,Chaz
1,Chazz
1,Che
1,Cheltin
2,Chester
2,Chet
1,Chett
1,Cheyann
1,Cheyanne
1,Cheyenne
1,Cheyney
2,Chi
1,Chico
1,Chien
1,Chilton
1,Chiu
8,Chris
1,Christer
40,Christian
2,Christien
2,Christofer
1,Christoph
1,Christophe
427,Christopher
1,Christophre
1,Chun
1,Chun-Hung
1,Ciaran
1,Cillian
1,Clancy
1,Clare
4,Clarence
2,Clark
1,Clarke
1,Claude
6,Clay
1,Clayten
43,Clayton
1,Clement
1,Clenton
1,Cleve
1,Cleyon
8,Clifford
2,Clifton
7,Clint
#,Baby Boy Names
19,Clinton
2,Codi
4,Codie
241,Cody
1,Cody-William
1,Coen
1,Cohen
19,Colby
68,Cole
11,Coleman
1,Colen
1,Coleson
5,Coleton
81,Colin
9,Collin
1,Colt
2,Coltan
18,Colten
5,Colter
2,Coltin
74,Colton
2,Coltyn
1,Conal
1,Conar
1,Conayn
1,Cong
1,Conlan
1,Connan
3,Conner
1,Connlan
45,Connor
8,Conor
1,Conor-Patrick
17,Conrad
2,Conroy
1,Constantin
1,Constantine
1,Constantino
1,Conway
4,Cooper
2,Corben
1,Corbett
13,Corbin
1,Corbyn
3,Cord
4,Cordell
1,Cordick
75,Corey
1,Cori
#,Baby Boy Names
2,Corin
3,Cornelius
1,Corny
1,Correy
1,Cort
1,Cortlan
1,Cortland
1,Cortt
1,Corwin
84,Cory
2,Coty
1,Coulten
3,Coulton
1,Courtnall
1,Courtney
1,Cowan
1,Coy
85,Craig
1,Creed
1,Crieg
1,Croft
1,Cruise
1,Cruz
3,Cullen
1,Curran
3,Curt
107,Curtis
1,Cuyler
1,Cyal
1,Cyle
1,Cyler
1,Cyril
1,Cyrus
1,Czestian
1,D.
1,Dabin
1,Daffyd
1,Dahl
1,Dailen
1,Dain
1,Dakoda
17,Dakota
24,Dale
2,Dalen
1,Daley
1,Dalin
49,Dallas
5,Dallin
2,Dallyn
#,Baby Boy Names
1,Dalon
27,Dalton
1,Dalveer
3,Dalyn
2,Damen
10,Damian
1,Damiano
10,Damien
1,Damion
1,Dammian
11,Damon
4,Dan
8,Dana
10,Dane
3,Danial
344,Daniel
1,Daniele
1,Daniyel
1,Dannen
14,Danny
1,Dany
1,Danyel
1,Dar
2,Darby
1,Darcey
1,Darci
32,Darcy
1,D'Arcy
1,Darek
1,Daren
2,Darian
1,Daric
3,Darien
5,Darin
2,Dario
1,Darion
2,Daris
3,Darius
1,Darnell
1,Daron
2,Darrel
8,Darrell
50,Darren
1,Darrian
3,Darrin
2,Darron
10,Darryl
1,Darryll
2,Darwin
#,Baby Boy Names
1,Darwish
11,Daryl
3,Daryn
2,Dat
1,Daton
2,Dave
298,David
1,Davien
1,Davies
6,Davin
4,Davis
1,Davon
1,Davud
7,Dawson
1,Dayden
2,Daylan
2,Daylen
1,Dayln
1,Daylon
1,Dayna
1,Dayne
7,Dayton
23,Dean
1,Deane
1,Deavon
1,Declan
1,Deedee
1,Deepak
1,Deiter
1,Delaine
2,Delaney
1,Delbert
1,Delee
1,Delton
1,Delvin
1,Demar
1,Demetrios
1,Demontre
1,Denby
1,Deneb
1,Denesh
6,Denis
29,Dennis
3,Denny
3,Denton
1,Denver
1,Denzel
1,Denzil
2,Deon
#,Baby Boy Names
1,Deonn
123,Derek
1,Deric
2,Derick
1,Derik
1,Dermot
23,Derrick
2,Derrik
1,Derwin
1,Deryk
5,Desmond
1,Destarday
4,Devan
2,Deven
54,Devin
1,Devjeet
63,Devon
1,Devyn
1,Dex
10,Dexter
1,Deyvis
1,Dezi
1,Diab
2,Diedrich
4,Diego
1,Digney
1,Dijon
2,Dilan
1,Dilbir
1,Dillan
3,Dillion
25,Dillon
1,Dimitrios
4,Dion
1,Dipesh
1,Direk
1,Dirk
1,Doan
1,Domenico
2,Dominic
1,Dominique
1,Dominque
1,Dominyck
8,Don
27,Donald
2,Donavan
1,Donavon
1,Donesh
1,Donnely
#,Baby Boy Names
1,Donnivin
1,Donny
22,Donovan
2,Doran
2,Dorian
1,Dorin
1,Dorran
60,Douglas
1,Dover
1,Doyle
1,Draiden
4,Drake
1,Drayden
1,Drayton
1,Drever
29,Drew
1,Dru
1,Drue
1,Dryden
4,Duane
1,Duc
1,Duell
13,Duncan
1,Duong
1,Duran
1,Durant
1,Durrel
1,Durward
1,Dustan
1,Dusten
155,Dustin
4,Dusty
4,Dustyn
1,Duvane
1,Duwayne
1,Duy
8,Dwayne
10,Dwight
131,Dylan
1,Dylin
1,Dylon
1,Dyson
2,Earl
1,Easton
1,Ebenzer
3,Eddie
2,Edgar
1,Edison
1,Edmond
#,Baby Boy Names
2,Edmund
1,Eduard
23,Edward
1,Edward-Vern
6,Edwin
1,Efay
1,Efrem
1,Eijaz
1,Elden
1,Eldon
5,Eli
7,Elias
14,Elijah
1,Eliot
1,Elisha
1,Ellie
8,Elliot
9,Elliott
3,Elmer
1,Elorm
1,Elston
2,Elvis
1,Elzie
1,Emad
3,Emery
1,Emil
3,Emilio
1,Emmanuel
1,Emmett
1,Enrico
1,Enrique
161,Eric
5,Erich
2,Erick
1,Ericlee
39,Erik
1,Erin
8,Ernest
1,Esmaeel
1,Esmond
1,Esteban
2,Estevan
59,Ethan
2,Etienne
1,Euan
3,Eugene
1,Eugenio
115,Evan
1,Evander
#,Baby Boy Names
2,Evann
1,Everest
9,Everett
1,Everette
1,Evhen
1,Evin
1,Evraj
1,Evrett
1,Ewald
1,Eyce
