Baby Boy Names Registered in 1997,
#,Baby Boy Names
2,A.
1,Aahad
1,Aahil
1,Aaran
1,Aarik
87,Aaron
1,Aarondeep
1,Aaron-Minassie
1,Aaton
1,Abdallah
1,Abdessatar
1,Abdu
3,Abdul
1,Abdul-Aleem
5,Abdullah
1,Abdul-Rahime
1,Abdul-Rahman
1,Abdurahman
1,Abdurrahman
1,Abe
1,Abed
2,Abel
1,Abhisek
1,Abhishek
1,Abner
6,Abraham
2,Abram
108,Adam
5,Addison
1,Adem
3,Aden
1,Adham
1,Adison
1,Admir
1,Adnan
1,Adonay
1,Adonis
1,Adreece
18,Adrian
1,Adriano
2,Adrien
1,Aedan
1,Aeron
1,Afrasiab
1,Agoth
1,Aharon
11,Ahmad
9,Ahmed
#,Baby Boy Names
1,Ahren
50,Aidan
15,Aiden
1,Aimen
1,Ajaybeer
1,Ajit
1,Ajitpaul
1,Ajitrashpal
1,Akaljot
1,Akash
1,Akashdeep
1,Akashvir
1,Akeem
1,Akel
1,Akhilesh
1,Akil
1,Alaeddeen
1,Alain
9,Alan
1,Alangelio
1,Alaric
1,Alasdair
1,Alastair
11,Albert
2,Alden
11,Alec
1,Aleck
1,Alek
1,Aleksa
2,Aleksandar
2,Aleksander
1,Alekzander
2,Alen
30,Alex
171,Alexander
1,Alexandr
4,Alexandre
1,Alexandro
1,Alexaner
1,Alexei
1,Alexi
1,Alexis
1,Alexzander
2,Alfonso
2,Alfred
1,Alfredo
16,Ali
1,Alisdair
#,Baby Boy Names
1,Alix
1,Alixander
10,Allan
5,Allen
1,Allistair
2,Allister
1,Aloysious
1,Altamish
1,Altamiz
2,Alton
4,Alvin
1,Alwyn
2,Aly
1,Alyasaa-Tarek
1,Amandeep
1,Amanjot
1,Amar
1,Amardeep
1,Amarjyot
1,Ambrose
1,Amed
1,Ameen
2,Ameer
1,Ameet
1,Amery
1,Amik
1,Amileo
1,Amin
3,Amir
1,Amir-Hossein
2,Amit
1,Amitpal
1,Amjed
1,Ammon
1,Amneet
2,Amninder
1,Amonte
1,Amos
1,Amran
1,Amreet
3,Amrit
1,Amritpal
1,Anand
1,Anastasios-Taso
5,Anders
13,Andre
3,Andreas
4,Andrei
#,Baby Boy Names
3,Andres
169,Andrew
2,Andrey
1,Andriy
1,Andru
12,Andy
3,Angelo
6,Angus
1,Anhviet
1,Anil
1,Anindin
1,Anis
2,Anish
1,Anoop
84,Anthony
1,Anthony-Freedom
1,Antoine
1,Anton
7,Antonio
1,Antony
1,Antwan
1,Anveer
1,Apollo
1,Arah
1,Arashdeep
1,Archer
1,Areez
1,Aren
2,Aric
1,Arie
2,Ariel
1,Arik
1,Ariq
1,Ariya
1,Arjan
2,Arjun
1,Arlan
1,Arlen
1,Arly
3,Armaan
1,Armaandeep
2,Arman
1,Armand
1,Armande
3,Armando
1,Armani
1,Armin
1,Arnel
1,Arnie
#,Baby Boy Names
1,Arniel
3,Arnold
1,Aron
1,Arpan
1,Arron
1,Arshdeep
1,Arshvir
5,Arthur
2,Arvin
1,Ashdeen
1,Asheesh
1,Asher
1,Ashish
2,Ashley
1,Ashok
2,Ashraf
19,Ashton
1,Asif
1,Aston
1,Ataur
1,Ateequllah
1,Ateet
1,Atley
1,Atlyn
1,Aubrey
3,August
1,Auguste
1,Augustin
1,Aurel
1,Aurey
1,Aurion
7,Austen
265,Austin
1,Austine
1,Auston
2,Austyn
1,Austyne
1,Autumn
1,Aven
23,Avery
1,Avinand
1,Avraj
1,Avry
1,Awak
3,Axel
1,Ayana
1,Aydan
4,Ayden
1,Aydon
#,Baby Boy Names
2,Ayrton
1,Azaad
1,Azad
1,Azar
1,Azariah
1,Aziz
1,Azlan
1,Azmi
38,Baby
39,Bailey
1,Baillie
1,Baljit
1,Balkaran
1,Balpreet
1,Bao
1,Bao-Khoi
1,Baptise
1,Bardia
1,Barend
1,Baret
1,Barrah
5,Barry
1,Bartek
1,Bashir
1,Basil
1,Bastien
1,Baussman
1,Baylee
1,Bayley
1,Beau
1,Beau-Dakota
1,Beaudean
1,Beauregard
1,Beaux
1,Beav
1,Beckett
9,Ben
1,Benet
1,Benett
1,Benjaimin
1,Benjaman
1,Benjamen
150,Benjamin
1,Benjiman
1,Benjmen
1,Benn
5,Bennett
1,Benson
1,Bentley
#,Baby Boy Names
4,Benton
1,Bergen
1,Berion
1,Berk
3,Bernard
2,Bernhard
1,Bernie
2,Bevan
1,Bhawanjyot
1,Bilal
1,Billie
9,Billy
1,Bishop
1,Blade
1,Blaeden
4,Blaine
6,Blair
2,Blaise
50,Blake
1,Blase
1,Blayke
2,Blayne
1,Blayze
2,Blaze
1,Blu
4,Bo
1,Boaz
1,Boban
4,Bobby
1,Bocephus
1,Bode
1,Bodin
1,Bohdan
1,Bolivar
1,Boris
1,Boston
1,Bostyn
1,Both
1,Bowan
1,Bowden
1,Bowdrie
7,Bowen
1,Boyce
4,Boyd
5,Brad
51,Braden
1,Bradford
2,Bradin
66,Bradley
#,Baby Boy Names
6,Bradly
2,Bradon
43,Brady
3,Bradyn
1,Brae
1,Braedan
21,Braeden
7,Braedon
1,Braedyn
1,Braem
1,Brahamjot
7,Braiden
1,Braidon
1,Brait
1,Brakken
5,Brandan
21,Branden
9,Brandin
1,Brandis
1,Brando
279,Brandon
6,Brandt
2,Brandy
5,Brandyn
2,Brannon
3,Brant
7,Braxton
2,Braydan
84,Brayden
1,Brayden-Mathew
1,Braydeon
1,Braydin
29,Braydon
1,Braydyn
1,Braylon
1,Brayton
1,Brazdin
1,Brecken
1,Breckery
2,Brenan
84,Brendan
21,Brenden
2,Brendin
16,Brendon
2,Brendyn
24,Brennan
5,Brennen
5,Brennon
1,Brenon
#,Baby Boy Names
16,Brent
1,Brenton
1,Breshton
10,Bret
86,Brett
1,Breydan
1,Breydon
36,Brian
3,Brice
1,Bridges
2,Brigham
1,Brinson
1,Bristin
1,Britton
17,Brock
1,Broden
1,Broderick
1,Brodey
5,Brodie
29,Brody
1,Broedy
1,Brogan
1,Brok
4,Bronson
1,Brooker
1,Brookland
2,Brooklyn
2,Brooks
1,Brosnan
2,Bruce
1,Bruke
1,Bruno
19,Bryan
1,Bryar
57,Bryce
2,Brycen
1,Bryceson
3,Bryden
2,Brydon
1,Brylan
1,Bryland
3,Bryn
4,Bryson
10,Bryton
1,Byrnes
5,Byron
1,C.
1,Cache
4,Cade
#,Baby Boy Names
1,Caden
1,Cadyn
1,Caeden
1,Caelam
4,Caelan
1,Caiden
1,Cailean
1,Cailen
1,Cailib
1,Cailin
5,Cain
2,Caine
1,Cal
9,Cale
55,Caleb
1,Caler
3,Callen
7,Callum
6,Calum
27,Calvin
1,Calvyn
1,Cam
1,Cameran
72,Cameron
1,Cammeron
2,Camron
1,Canyon
1,Cardell
1,Cardin
5,Carl
1,Carlen
1,Carlin
1,Carlo
4,Carlos
1,Carlson
1,Carsen
38,Carson
55,Carter
1,Carver
15,Casey
2,Cash
1,Cashen
2,Cashton
1,Casin
1,Casper
1,Cassady
1,Cassian
1,Cassidy
1,Castor
#,Baby Boy Names
1,Catlin
1,Cayce
1,Caylib
1,Caylin
1,Caylub
1,Cayman
1,Caysen
1,Cayton
1,Cedric
1,Ceegan
1,Ceiran
3,Cesar
1,Chace
1,Chackquick
35,Chad
1,Chadd
2,Chaim
1,Chaine
1,Chaise
29,Chance
1,Chancellor
2,Chancey
12,Chandler
1,Chandra
1,Chandu
2,Chanse
1,Chantz
1,Chanze
1,Charl
23,Charles
1,Charley
6,Charlie
75,Chase
1,Chasetan
1,Chason
1,Chaten
1,Chatham
1,Chattan
1,Chauncey
1,Chavan
1,Chavez
2,Chayce
1,Chaydan
1,Chaysce
4,Chayse
4,Chaz
1,Chazz
1,Che
1,Cheng
#,Baby Boy Names
1,Chester
3,Chet
3,Chevy
2,Cheyenne
1,Chhuy
2,Chi
1,Chimezie
3,Chris
1,Christepher
81,Christian
173,Christopher
1,Christopher-Derek
1,Chuck-Hin
1,Chuor
1,Chyson
1,Cian
1,Cirrus
1,Clancy
3,Clarence
1,Clark
2,Claude
14,Clay
1,Claydon
1,Claye
1,Clayten
23,Clayton
1,Cleveland
1,Cliff
3,Clifford
1,Clintin
8,Clinton
1,Clive
1,Clyde
1,Coal
1,Cobe
1,Coby
1,Codi
2,Codie
119,Cody
1,Cody-Jordan
1,Coenraad
1,Colben
1,Colbern
1,Colbert
27,Colby
1,Colden
150,Cole
1,Coleby
1,Coletin
#,Baby Boy Names
3,Coleton
52,Colin
8,Collin
1,Colm
1,Colman
1,Colson
1,Colsten
2,Colt
2,Coltan
15,Colten
2,Coltin
85,Colton
2,Coltyn
1,Con
1,Conal
1,Conan
2,Conlan
1,Conley
11,Conner
137,Connor
11,Conor
14,Conrad
12,Cooper
1,Coran
1,Corbie
9,Corbin
1,Cordel
4,Cordell
1,Coren
15,Corey
1,Corin
1,Cormac
2,Cornelis
3,Cornelius
1,Cornell
1,Corry
1,Cort
1,Cortlan
1,Cortland
1,Corvyn
1,Corwin
1,Corwyn
27,Cory
1,Coulton
2,Coy
16,Craig
1,Craigh
1,Crawford-John
1,Creytin
#,Baby Boy Names
1,Crighton
2,Cristian
1,Cristiano
1,Cristopher
2,Croy
1,Cruz
1,Crystian
1,Csaba
1,Cull
1,Cullan
1,Curran
45,Curtis
1,Curtlan
1,Cylas
1,Cyle
1,Cyler
6,Cyrus
1,Dade
1,Dae
1,Daegan
1,Daelund
1,Daemond
1,Daetan
1,Dahlin
1,Daijiro
1,Dailan
1,Dailen
1,Daimon
2,Dain
3,Daine
43,Dakota
1,Dakota-Beau
6,Dale
2,Dalen
1,Daley
2,Dalin
2,Dallan
40,Dallas
1,Dallasmikisiwasis
3,Dallen
4,Dallin
1,Dallon
24,Dalton
1,Dalyn
1,Daman
15,Damian
9,Damien
1,Damin
6,Damion
#,Baby Boy Names
16,Damon
1,Damond
2,Dan
1,Dana
1,Danae
11,Dane
1,Daney
1,D'Angello
1,Danial
1,Danieal
174,Daniel
1,Daniell
1,Danielle
1,Danik
1,Danika
1,Danile
1,Danillo
1,Dannon
7,Danny
5,Dante
1,Danten
1,Danton
1,Danube
1,Danyal
2,Danyon
1,Da'Ood
6,Darby
1,Darcey
9,Darcy
6,Daren
21,Darian
10,Darien
1,Darin-Shay
2,Dario
3,Darion
1,Daris
14,Darius
3,Darnel
6,Darnell
31,Darren
3,Darrian
2,Darrick
3,Darrien
1,Darrio
1,Darris
1,Darrius
1,Darryl
1,Darryn
1,Darshdeep
#,Baby Boy Names
1,Darvin
5,Darwin
3,Daryan
2,Daryl
1,Daryn
2,Dasan
1,Dashawn
3,Dat
1,Daud
1,Daulten
2,Daulton
1,Dave
1,Daven
1,Daver
2,Davey
124,David
1,Davie
4,Davin
1,Davinderpal
19,Davis
1,Davon
1,Dawsen
18,Dawson
3,Dax
1,Daxon
1,Daxton
1,Dayan
1,Dayce
3,Daylan
5,Daylen
2,Daylin
3,Daylon
1,Daymon
1,Dayn
5,Dayne
1,Daynin
1,Daystar
1,Daytin
13,Dayton
1,Dayvon
1,De
1,Deacon
13,Dean
1,Deandre
5,Declan
1,Deep
1,Deeshpaul
2,Deion
1,Deitrich
#,Baby Boy Names
1,Dejan
1,Deker
1,Delain
1,Delane
1,Delaney
1,Delayney
1,Dellan
1,Delsen
1,Delvyn
1,Demar
1,Denim
2,Denis
11,Dennis
2,Denny
2,Denon
4,Denton
4,Denver
1,Denyn
3,Denzel
1,Denzelle
1,Denzil
1,Denzyl
1,Deon
1,Deonte
47,Derek
2,Derian
2,Derick
1,Derik
1,Derk
1,Derlin
1,Derrek
9,Derrick
1,Derrien
1,Derrik
1,Derwin
1,Deryk
1,Deshai
1,Deshayne
10,Desmond
1,Destin
2,Destiny
1,Destyn
1,Deuce
6,Devan
2,Deven
31,Devin
2,Devlin
48,Devon
1,Devonjit
#,Baby Boy Names
1,Devun
2,Devyn
1,Dewey
8,Dexter
1,Dezel
2,Dezmond
1,Dhevin
1,Dhruv
2,Diego
1,Dieter
1,Diljahn
5,Dillan
2,Dillen
1,Dillin
2,Dillion
28,Dillon
1,Dilrose
1,Dilwar
2,Dimitri
1,Dinesh
1,Dinh
1,Diogo
4,Dion
1,Dionisio
1,Dirck
2,Dirk
1,Dithakorn
2,Dixon
1,DJ
1,Dodge
1,Dohyun
1,Domanic
1,Domenico
1,Domenique
24,Dominic
5,Dominick
5,Dominik
1,Dominique
1,Dominque
1,Domminic
1,Domonick
2,Don
12,Donald
3,Donavan
1,Donaven
1,Donavin
2,Donavon
1,Donivan
1,Donnell
#,Baby Boy Names
24,Donovan
1,Donoven
1,Donte
1,Doran
7,Dorian
1,Dorien
18,Douglas
1,Dradon
1,Drae
1,Dragan
5,Drake
3,Draven
1,Dravon
3,Drayden
3,Draydon
7,Drayton
1,Dredyn
1,Dreton
18,Drew
1,Dreydon
1,Dreytin
2,Dreyton
2,Dryden
1,Duane
1,Dugan
1,Duier
27,Duncan
1,Dunkin
1,Duoth
1,Duran
1,Dusko
53,Dustin
1,Duston
2,Dusty
2,Duy
1,Dwain
3,Dwayne
2,Dwight
175,Dylan
1,Dylin
2,Dyllan
1,Dyllon
3,Dylon
2,Dysen
5,Dyson
2,Eagle
2,Eamon
1,Earl
1,Earvin
#,Baby Boy Names
5,Easton
1,Eaton
1,Ebenezer
1,Ebraheem
1,Eddison
1,Eden
1,Edgar
1,Edison
2,Edmund
1,Edriane
1,Edric
1,Eduard
16,Edward
2,Edwin
1,Efe
1,Egan
1,Eisley
1,Eithan
1,Ekampreet
1,Elbert
1,Eldin-Jusuf
3,Eldon
3,Elgin
5,Eli
8,Elias
19,Elijah
2,Ellery
1,Ellijah
5,Elliot
5,Elliott
2,Ellis
2,Elmer
2,Elroy
2,Elton
1,Elvis
1,Ely
1,Emanuel
5,Emerson
3,Emery
1,Emett
1,Emil
1,Emile
6,Emilio
1,Emilio-Anthony
2,Emmanuel
1,Emmeric
2,Emmet
7,Emmett
1,Eoghan
#,Baby Boy Names
1,Ephraim
1,Eraj
1,Erdman
1,Erel
134,Eric
1,Eric-Alexander
2,Erich
6,Erick
1,Ericson
26,Erik
2,Erin
1,Erling
1,Ermin
3,Ernest
1,Erriton
3,Ervin
1,Eryk
1,Essam
1,Essaw
1,Estia
1,Etham
103,Ethan
2,Ethen
5,Eugene
1,Evahn
100,Evan
1,Evander
1,Evann
1,Everest
5,Everett
1,Everette
1,Evyn
2,Ewan
1,Eyad
1,Ezana
1,Ezequiel
1,Ezra
1,Faazil
1,Fabian
1,Fahed
1,Faisal
1,Falan
1,Farah
1,Farian
1,Farman
4,Felix
1,Feodor
2,Feras
1,Fernando
#,Baby Boy Names
1,Feross
1,Ferris
2,Filip
1,Findlay
1,Findley
1,Finn
1,Fischer
1,Florentine
1,Floyd
1,Fontas
1,Forest
4,Forrest
1,Forsyth
2,Foster
1,Franadus
3,Francesco
7,Francis
1,Francois
9,Frank
1,Frankie
2,Franz
5,Fraser
1,Frasier
1,Frazer
2,Fred
1,Freddy
4,Frederick
2,Fredrick
1,Friedrich
1,Gabe
1,Gabrieal
36,Gabriel
1,Gach
2,Gaelen
1,Gaetan
1,Gaetes
3,Gagandeep
1,Gaganpreet
16,Gage
2,Gaige
1,Gain
4,Galen
1,Galvin
1,Gamal
1,Garady
8,Gareth
1,Garett
1,Garinder
1,Garner
#,Baby Boy Names
1,Garon
1,Garreit
1,Garren
12,Garret
3,Garreth
25,Garrett
2,Garrick
1,Garry
1,Garth
1,Garvin
11,Gary
1,Gaven
27,Gavin
1,Gedewon
1,Gehlmark
2,Geoffery
8,Geoffrey
2,Geoffry
1,Geordi
2,Geordie
14,George
8,Gerald
1,Gerhard
1,Gerome
1,Gerrad
2,Gerrit
1,Ghassan
1,Ghrib
1,Gibran
2,Gideon
2,Gilbert
1,Gilles
1,Giorgio
1,Giovanni
3,Giuseppe
5,Glen
1,Glenn
1,Gobind
1,Goran
1,Gordelle
10,Gordon
2,Graden
6,Grady
1,Graeham
14,Graeme
1,Graeson
18,Graham
18,Grant
1,Grayden
#,Baby Boy Names
2,Graydon
1,Graysen
1,Graysin
29,Grayson
2,Greg
1,Greggory
1,Gregoris
31,Gregory
1,Gregston
1,Greydon
3,Greyson
2,Griffen
10,Griffin
1,Griffith
2,Gunnar
2,Gunner
2,Gurbir
1,Gurdit
2,Gurinder
1,Gurjeevan
2,Gurjot
2,Gurkamal
3,Gurkaran
1,Gurleen
2,Gurman
1,Gurmeet
1,Gurneck
1,Gurneil
1,Gurnoor
1,Gurpreet
1,Gurpyar
1,Gurshaan
1,Gursher
1,Gurtej
1,Gurveer
1,Gus
2,Gustavo
1,Guy
1,Haaris
2,Hadden
1,Hady
1,Haeden
1,Hafiz
1,Haiden
1,Haithem
1,Hal
1,Haley
1,Halli
1,Hamid
#,Baby Boy Names
2,Hamza
1,Hamzah
1,Handrik
2,Hans
1,Hanson
1,Hardarshan
1,Harielle
1,Harjas
1,Harjee
1,Harjodh
2,Harjot
1,Harkaran
1,Harkirat
2,Harlan
3,Harlen
7,Harley
1,Harm
3,Harman
1,Harmandeep
1,Harmanjit
1,Harmanjot
1,Harmanthan
1,Harmen
1,Harneil
2,Harold
1,Harpinder
4,Harpreet
1,Harrick
1,Harris
1,Harrisen
21,Harrison
1,Harsahil
1,Har-Sanjeet
2,Harsimran
1,Harumi
1,Harvey
1,Harvir
1,Harwinder
1,Hashi
1,Hashim
1,Hashir
2,Hassan
1,Haval
1,Haven
