Baby Girl Names Registered in 1996,
#,Baby Girl Names
1,Aaliyah
1,Aamino
1,Aamna
1,Aanchal
2,Aaryn
1,Aashna
5,Abbey
1,Abbi
3,Abbie
2,Abbigail
19,Abby
1,Abear
1,Abena
1,Abigael
32,Abigail
5,Abigayle
2,Abir
1,Abrianna
1,Abrinna
1,Abyen
1,Abygail
2,Acacia
1,Accacca
1,Ada
1,Adalaine
1,Adan
1,Adanna
1,Adara
1,Adarah
1,Addisyn
1,Adele
2,Adelle
1,Adetola
1,Adrey
1,Adria
9,Adriana
6,Adrianna
1,Adrianne
1,Adrien
9,Adrienne
1,Aerial
1,Aeriel
1,Afrika
4,Aganetha
4,Agatha
2,Agnes
1,Ahmarie
1,Ahnika
2,Aidan
1,Aiden
#,Baby Girl Names
1,Aiesha
2,Aileen
1,Ailish
1,Ailsa
4,Aimee
1,Ainslay
1,Ainsleigh
4,Ainsley
1,Airianna
1,Airyn
4,Aisha
1,Aishling
6,Aislinn
1,Aiyana-Marie
2,Aja
1,Ajdina
1,Ajsha
1,Akasha
1,Akayla
2,Akaysha
1,Akelyn
1,Akosua
1,Aksana
1,Akshpreet
1,Alabama
2,Alaina
1,Alainah
20,Alana
1,Alanah
1,Alanda
1,Alandra
12,Alanna
6,Alannah
2,Alannis
1,Alara
1,Alasha
2,Alaura
1,Alaxandria
1,Alayna
1,Alaynna
1,Alayssia
1,Alberta
1,Albertina
1,Alea
2,Aleah
4,Aleasha
1,Aleashea
7,Alecia
2,Aleena
1,Aleeshya
#,Baby Girl Names
1,Aleeta
1,Aleigha
2,Aleksandra
3,Alena
1,Alesha
1,Alesia
1,Alesian
6,Alessandra
1,Alessia
1,Aleta
5,Alex
25,Alexa
1,Alexander
128,Alexandra
2,Alexandrea
29,Alexandria
5,Alexia
49,Alexis
1,Alexsandra
1,Alexus
2,Ali
7,Alia
1,Aliah
1,Alice
38,Alicia
1,Alicja
1,Alicyn
4,Alida
2,Aliesha
1,Alifa
2,Alina
1,Aline
1,Alinna
4,Alisa
1,Alisan
1,Alisar
23,Alisha
2,Alishia
1,Alisia
23,Alison
9,Alissa
1,Alissah
1,Alita
3,Alix
1,Alixandra
4,Aliya
1,Aliza
1,Allana
1,Allannha
1,Alleah
#,Baby Girl Names
1,Allegra
1,Alleigha
1,Allessandra
1,Allie
1,Allisha
42,Allison
1,Allissa
2,Alliyah
1,Alliyha
1,Allorah
1,Allyas
1,Allyceanna
6,Allyson
4,Allyssa
1,Alondra
1,Alsena
1,Alveena
1,Alvina
1,Alychia
7,Alycia
3,Alysa
1,Alysea
12,Alysha
1,Alyshah
1,Alyshea
3,Alyshia
7,Alysia
6,Alyson
101,Alyssa
1,Alyssa-Lynn
1,Alysse
1,Alyssha
1,Alyssia
2,Alyx
2,Amal
1,Aman
142,Amanda
1,Amandah
1,Amanda-Irma-Alexis
1,Amanda-Jean
1,Amanda-Rae
3,Amandeep
1,Amani
1,Amanjit
1,Amanjot
1,Amanjyot
1,Amanpreet
1,Amany
2,Amar
1,Amara
1,Amaris
#,Baby Girl Names
1,Amarjeet
1,Amaroop
1,Amaya
1,Ambareena
72,Amber
1,Amberleigh
2,Amberly
1,Ameenah
3,Amel
14,Amelia
1,Amelie
1,Amethyst
1,Amia
1,Amie
1,Amie-Lynn
1,Amilda
1,Amilia
1,Amineh
1,Amira
1,Amitjot
1,Amity
1,Ammie
1,Amnesty
1,Amnit
1,Amrin
1,Amrit
1,Amrita
100,Amy
2,Amy-Lee
1,Amy-Lynne
7,Ana
1,Anabelle-Elizabeth
1,Analia
1,Analise
1,Analyse
1,Anam
2,Anastacia
11,Anastasia
1,Andera
3,Andi
2,Andie
1,Andie-Lynn
1,Andre
42,Andrea
1,Andreana
1,Andreatta
1,Andreena
1,Andretti
1,Andriana
1,Andriella
1,Aneesa
#,Baby Girl Names
1,Anelize
1,Aness
1,Anfal
1,Anfissa
14,Angel
41,Angela
2,Angele
1,Angelia
6,Angelica
1,Angelika
6,Angelina
3,Angeline
3,Angelique
1,Angelise
2,Angie
2,Anh
1,Ani
10,Anika
1,Anikka
1,Anisa
1,Anisah
2,Anisha
4,Anissa
10,Anita
1,Anita-Marie
1,Anja
1,An-Ky
2,Anmol
5,Ann
48,Anna
1,Annabelle
1,Anna-Grace
1,Annalee
1,Annalena-Lynn
1,Annaliese
3,Annalise
1,Anna-Marie
1,AnnaRae
1,Annastacia
1,Annastiasia
1,Annaya
11,Anne
1,Annealise
1,Annee
1,Anneke
1,Anneliese
1,Annelise
1,Annette
1,Anni
1,Annick
16,Annie
#,Baby Girl Names
5,Annika
1,Annina
1,Annita
1,Annmarie
2,Ann-Marie
1,Anntoinette
1,Annysa-Lynn
1,Anona
1,Anoshia
1,Ansa
1,Antha
1,Anthea
2,Antonia
1,Antonietta
1,Anuradha
1,Anya
13,April
2,Apryl
5,Arden
1,Areena
1,Areige
1,Ariah
5,Ariana
2,Ariane
5,Arianna
2,Arianne
9,Ariel
3,Arielle
1,Arinn
1,Arissa
2,Ariyanna
1,Arlene
1,Armaan
2,Aron
1,Arrissa
1,Aruneema
1,Aryana
1,Aryele
2,Arynn
1,Aryssa
1,Arysta
1,Ashala
1,Ashanti
4,Ashlea
9,Ashlee
1,Ashleen
13,Ashleigh
1,Ashleigh-Dawn
1,Ashlen
235,Ashley
1,Ashleyann
#,Baby Girl Names
1,Ashley-Ann
1,Ashley-Marie
1,Ashlie
1,Ashliegh
3,Ashly
4,Ashlyn
4,Ashlynn
1,Ashna
1,Ashten
1,Ashtin
8,Ashton
2,Ashtyn
1,Ashvaria
3,Asia
1,Aspen
1,Aspyn
1,Astrid
1,Ateyeh
1,Athen
4,Athena
1,Atlee
1,Attalie
1,Aubri
1,Aubrie
4,Audrey
1,August
1,Augustina
1,Aundrea
1,Aunveer
1,Aurianna
1,Auriel
6,Aurora
2,Austin
1,Austyn
1,Austynn
1,Autaumn
9,Autumn
1,Autumn-Sky
1,Avani
1,Avere
10,Avery
1,Averyl
1,Avigail
2,Aviva
1,Avivah
3,Avneet
1,Avnit
1,Avri
1,Avril
1,Awatef
1,Axandra
#,Baby Girl Names
1,Axella
1,Aya
2,Ayah
1,Ayanna
1,Ayat
3,Ayden
3,Ayesha
7,Ayla
1,Ayla-Faye
1,Ayleena
2,Aysha
1,Ayshja
1,Ayslin
1,Azreen
37,Baby
1,Baeley
1,Bailea
8,Bailee
66,Bailey
1,Bailey.Jacqueline
1,Bailey-Lynn
3,Bailie
1,Baille
1,Baillie
1,Baily
1,Bao-Ling
6,Barbara
1,Bari
1,Bassma
1,Batoul
1,Bawar
11,Baylee
1,Bayleigh
1,Bayleigh-Paige
2,Bayley
1,Baylie
1,Bayly
1,Beatrix
4,Becky
1,Belanna
1,Belaynesh
1,Belinda
1,Belkes
1,Bella
2,Belle
1,Bentley
1,Berkeley
1,Berkley
1,Berlynn
1,Bernice
6,Beth
#,Baby Girl Names
1,Bethannie
18,Bethany
1,Bethlehem
2,Betty
1,Beverly
1,Bhavika
4,Bianca
1,Bibi
1,Bich
1,Billi
4,Billie
1,Billie-Jo
1,Billie-Lei
1,Billijo
1,Binh
1,Birgit
1,Birgitte
1,Blair
3,Blaire
1,Blake
1,Blossom
4,Bobbi
2,Bobbie
1,Bobbie-Jean
1,Bobbie-Joe
1,Bobbie-Marie
1,Bobbi-Jo
1,Bobbi-jo
5,Bonnie
1,Bonnita
1,Bonny
1,Bottrey
1,Bradi
2,Brady
1,Braedyn
1,Braela
1,Braelyn
1,Brandea
12,Brandi
2,Brandie
1,Brandi-Leigh
4,Brandy
1,Brayan
1,Braylene
2,Breana
4,Breann
1,Bre-Ann
37,Breanna
1,Breanna-Amber
28,Breanne
1,Bre-Anne
#,Baby Girl Names
2,Bree
1,Breeana
1,Bree-Ann
3,Breeanna
1,Bree-Anna
1,Brelynne
10,Brenda
17,Brenna
1,Brenna-Anne
1,Brennah
4,Brett
1,Brette
1,Brettlynn
3,Bretton
1,Brey-Anne
1,Brhealle
5,Bria
13,Briana
59,Brianna
19,Brianne
5,Bridget
1,Bridgette
1,Bridgit
2,Bridjet
2,Brie
1,Brieann
5,Brieanna
1,Brieanne
10,Brielle
1,Brienna
1,Brienne
1,Brigitta
2,Brigitte
1,Brina
1,Brinley
1,Brisa
1,Brishelle
1,Britanny
4,Britany
6,Britney
1,Britni
1,Britnie
2,Brittan
1,Brittana
1,Brittanee
1,Brittaney
4,Brittani
2,Brittanie
114,Brittany
1,Brittany-Lynn
1,Britteny
#,Baby Girl Names
1,Brittnay
1,Brittnee
24,Brittney
2,Brittni
1,Brittnie
1,Broek
1,Bromwyne
1,Bronagh
4,Bronte
1,Bronwen
8,Bronwyn
5,Brook
103,Brooke
3,Brookelyn
2,Brookelynn
1,Brooke-Lynn
38,Brooklyn
1,Brooklyne
11,Brooklynn
1,Brook-Lynn
2,Bryana
3,Bryanna
3,Bryanne
3,Bryce
1,Brydie
5,Bryn
1,Bryna
1,Brynae
1,Bryndis
5,Brynn
1,Brynna
1,Brynne
1,Bryonna
2,Bryttany
1,Bui
1,Bushra
1,Buu
2,Cadence
1,Caelan
1,Cagney
1,Cailan
1,Cailee
2,Caileigh
4,Cailey
1,Cailin
1,Caillie
2,Cailyn
2,Caitlan
1,Caitland
40,Caitlin
21,Caitlyn
#,Baby Girl Names
2,Caleigh
1,Calena
3,Caley
3,Cali
1,Calin
1,Calina
2,Calla
1,Callan
1,Calley
1,Calli
3,Callie
1,Callista
1,Calynn
1,Camiesha
2,Camila
1,Camilla
8,Camille
1,Cammie
10,Candace
6,Candice
1,Candida
11,Cara
1,Cara-Lee
