Baby Girl Names Registered in 1994,
#,Baby Girl Names
1,Aadra
1,Aanchalpreet
1,Aaron
1,Abalene
5,Abbey
1,Abbeygael
1,Abbie
4,Abbigail
2,Abbigale
10,Abby
2,Abbygail
1,Abbygail-Ann
1,Abbygale
1,Abi
19,Abigail
2,Abigayle
1,Abrielle
1,Acacia
1,Acadia
1,Adara
1,Addie
1,Addie-Jane
1,Addison
1,Adelaide
1,Adelheid
2,Adeline
1,Adell
7,Adelle
1,Adelyn
1,Adena
3,Adina
1,Adora
5,Adriana
5,Adrianna
4,Adrianne
1,Adriel
1,Adrienna
4,Adrienne
1,Aelita
2,Afshan
1,Afsha-Raveena
1,Afton
2,Aganetha
1,Agata
3,Agatha
3,Agnes
1,Agnieszka
1,Aiah
3,Aidan
1,Aiden
#,Baby Girl Names
1,Aileen-Vu
1,Ailine
1,Ailis
1,Ailisha
13,Aimee
1,Ainsleigh
4,Ainsley
1,Airelle
1,Airieanna
7,Aisha
1,Aisia
1,Aiya
1,Aiyana
1,Aiza
1,Akasha
1,Akela-Lynn
1,Akeyla
1,Akina
1,Akira
1,Aksana
1,Alaa
2,Alaina
23,Alana
1,Alanah
1,Alana-Sue
1,Alandra
2,Alanis
26,Alanna
8,Alannah
1,Alanndra
1,Alanne
1,Alaura
1,Alayna
2,Alayne
1,Alaynna
1,Alaysha
1,Alda
1,Alea
4,Aleah
1,Aleaha
1,Aleasha
2,Alecia
1,Aleesha
1,Aleia
1,Aleigha
1,Aleksey
5,Alesha
1,Alessandra
1,Alessia
1,Aleta
#,Baby Girl Names
4,Alex
21,Alexa
1,Alexadra
149,Alexandra
1,Alexandras
1,Alexandre
3,Alexandrea
28,Alexandria
1,Alex-Anne
1,Alexcene
3,Alexi
2,Alexia
46,Alexis
1,Alexsis
1,Alexus
1,Aleysha
1,Alham
2,Ali
5,Alia
1,Alia-Terrae
6,Alice
2,Alicen
37,Alicia
1,Alida
1,Aliesha
6,Alina
1,Aline
4,Alisa
1,Alisar
1,Alisen
22,Alisha
26,Alison
5,Alissa
1,Alita
1,Alithia
1,Alitta
6,Alix
2,Alixandra
3,Aliya
1,Aliza
3,Allana
1,Allandra
1,Allannah
1,Allayna
2,Allegra
1,Allessandra
1,Allexis
1,Alley
1,Alliah
1,Allicia
#,Baby Girl Names
2,Allie
3,Allisa
1,Allishia
43,Allison
1,Allix
2,Ally
4,Allysa
4,Allysha
5,Allyson
5,Allyssa
2,Alma
1,Almira
4,Alora
1,Alyanna
1,Alyce
1,Alychia
3,Alycia
1,Alyda
2,Alyna
1,Alynna
1,Alynne
1,Alysa
1,Alyse
16,Alysha
4,Alyshia
2,Alysia
6,Alyson
127,Alyssa
1,Alyssa-Marie
1,Alysse
1,Alyssha
4,Alyx
1,Alyxandria
1,Amadea
1,Amadew
2,Amal
1,Aman
170,Amanda
1,Amanda-Joy
1,Amandeep
2,Amani
2,Amanie
1,Amansat
3,Amara
1,Amaris
1,Amarjot
95,Amber
1,Amber-Lee
1,Amberleigh
2,Amberly
2,Amberlynn
#,Baby Girl Names
1,Amber-Lynn
1,Ambreah
1,Ambrosia
1,Ameera
16,Amelia
1,Ameliea
1,Ami
4,Amie
1,Amina
1,Aminah
1,Amira
1,Aml
1,Amneet
1,Amrinder
1,Amrit
2,Amrita
94,Amy
1,Amy-Lynn
2,An
1,Ana-Andrijana
1,Anabel
1,Anah
1,Analisa
1,Ana-Maria
1,Anastacia
7,Anastasia
2,Andi
1,Andie
1,Andra
43,Andrea
1,Andreana
1,Andreannah
1,Andreea
1,Andria
1,Andriana
1,Aneesha
1,Aneisha
1,Aneishah
1,Anelise
1,Anessa
2,Anfisa
6,Angel
55,Angela
1,Angela-Unwana
1,Angele
1,Angeli
12,Angelica
1,Angelika
9,Angelina
1,Angeline
6,Angelique
#,Baby Girl Names
1,Angelyn
3,Angie
1,Anh
1,Ania
1,Anica
4,Anika
1,Aniko
1,Anila
1,Anisa
1,Anisah
3,Anisha
4,Anissa
11,Anita
1,Anita-Marie
1,Anjali
1,Anjela
1,Ankica
2,Anmol
1,Anmoljot
3,Ann
42,Anna
1,Annalena
1,Annalies
1,Annaliese
2,Annalise
1,Annamaria
1,Annamarie
3,Anna-Marie
1,Anna-Marisa
12,Anne
5,Annelise
1,Annemaire
4,Anne-Marie
1,Annesha
12,Annie
1,Annigje
2,Annika
1,Annisha
1,AnnMarie
1,Ann-Marie
1,Anny
1,Anreen
3,Antonia
1,Anupreet
1,Anurag
3,Anya
1,Anyssa
1,Apolinaria
1,Appaloni
25,April
1,Aquielle
#,Baby Girl Names
1,Aralyn
3,Arden
1,Ardo
1,Aren
2,Aretha
1,Arezu
1,Ariah
3,Ariana
1,Ariane
5,Arianna
2,Arianne
9,Ariel
1,Ariele
1,Ariella
5,Arielle
1,Arista
1,Arizza
1,Arleen
3,Arlene
1,Arlynn
1,Armine
1,Arpin
1,Arreanna
1,Arrianna
1,Arvind
1,Aryn
1,Arynn
1,Asha
1,Ashana
1,Ashely
3,Ashlea
16,Ashlee
1,Ash-Lee
1,Ashlee-Lynn
1,Ashleen
45,Ashleigh
1,Ashlen
1,Ashlene
287,Ashley
1,Ashley-Ann
1,Ashley-Marie
1,Ashli
4,Ashlie
1,Ashlin
2,Ashly
1,Ashly-Lynn
7,Ashlyn
4,Ashlynn
1,Ashlynne
1,Ashna
1,Ashten
#,Baby Girl Names
1,Ashtin
1,Ashtinn
11,Ashton
3,Ashtyn
2,Asia
1,Asialee
1,Asma
4,Aspen
1,Assma
1,Assmaa
2,Astrid
2,Ataya
1,Athaley
3,Athena
1,Atia
1,Atlanta
1,Aubrey
3,Audra
2,Audrey
1,Audreyona
1,Augustina
1,Aulora
1,Aureanna
1,Aurelia
2,Aurora
6,Autumn
3,Ava
1,Avalon
1,Avari
1,Aveen
1,Averi
12,Avery
1,Avigail
1,Avital
3,Ayah
1,Ayan
1,Aydan
1,Ayden
1,Ayeisha
2,Ayesha
1,Ayisha
5,Ayla
1,Aylannah
1,Ayleigh
1,Ayllissa
1,Aymara
1,Ayrin
4,Aysha
1,Ayushi
1,Ayushie
1,Azia
#,Baby Girl Names
3,Azra
1,Azure
23,Baby
5,Bailee
39,Bailey
1,Bailey-Anne
1,Baillee
1,Baillie
2,Baily
1,Baljeet
1,Balkeerat
1,Baneet
1,Bao
1,Bara
1,Barayah
9,Barbara
1,Basia
1,Basma
1,Baylee
2,Bayley
2,Baylie
1,Bearwon
1,Beatriz
1,Becki
5,Becky
1,Beejal
1,Beenish
1,Behir
1,Bekky
1,Belinda
1,Bella
1,Belle
1,Bellecia
1,Belle-Lana
1,Bennita
1,Berina
3,Bernadette
1,Bernadine
2,Bernice
2,Bertha
1,Bertha-Lyn
8,Beth
1,Bethan
1,Bethann
15,Bethany
1,Bettiel
2,Bettina
2,Betty
1,Bettyel
1,Beverley
1,Beverly
#,Baby Girl Names
1,Bhaavna
1,Bhan
2,Bhavneet
10,Bianca
1,Bianka
1,Billee
2,Billi
2,Billie
1,Billie-Jo
1,Billi-Jean
1,Birken
1,Bismilla
2,Blaine
1,Blair
2,Blaire
1,Blanche
1,Blare
1,Blossom
6,Bobbi
1,Bobbie
2,Bobbi-Jo
1,Bobbi-Lee
1,Bobby
1,Bobi
1,Bobi-Sue
1,Bohdahna
