Baby Girl Names Registered in 1991,
#,Baby Girl Names
1,A.
1,Aarin
1,Aasootah
2,Abbey
1,Abbey-Gayle
1,Abbigale
3,Abby
1,Abby-Ann
1,Abbygirl
1,Abere
1,Abida
9,Abigail
1,Abigale
1,Acacia
1,Acayla
1,Achara
2,Ada
1,Addison
1,Addy
1,Adean
1,Adelaide
2,Adelaine
5,Adele
1,Adeline
1,Adelle
1,Adison
1,Adora-Ruth
1,Adoria
1,Adrian
1,Adriana
4,Adrianna
1,Adriauhna
1,Adrienna
8,Adrienne
1,Aerina
1,Aeron
2,Afton
3,Aganetha
1,Agape
2,Agatha
1,Agnieszka
1,Ahalya
3,Aidan
1,Aielah
3,Aileen
21,Aimee
1,Aimee-Frances
1,Aimsley
1,Ainsleigh
9,Ainsley
#,Baby Girl Names
1,Ainsly
1,Aisa
6,Aisha
1,Aislinn
1,Ajuma
1,Akke
1,Akky
1,Akuokor
1,Akweley
4,Alaina
1,Alaire
1,Alaisha
30,Alana
3,Alanah
1,Alanha
1,Alanise
38,Alanna
17,Alannah
1,Alanthea
2,Alaura
1,Alayna
1,Alaynah
1,Alaynna
1,Alberta
1,Albertine
1,Aleanna
4,Alecia
1,Aleena
1,Aleesha
1,Aleigh
2,Aleigha
3,Aleisha
1,Alejandria
1,Aleksandra
2,Alena
1,Alesa
5,Alesha
6,Alessandra
6,Alex
17,Alexa
141,Alexandra
1,Alexandra-Rae
5,Alexandrea
17,Alexandria
1,Alexei
1,Alexi
1,Alexia
2,Alexie
22,Alexis
1,Alezah
#,Baby Girl Names
1,Alhan
2,Ali
5,Alia
2,Alice
66,Alicia
1,Alida
1,Aliina
2,Alina
1,Alinda
1,Aline
6,Alisa
1,Alisan
29,Alisha
1,Alishah
1,Alishia
28,Alison
9,Alissa
13,Alix
1,Alixandra
1,Alixe
3,Aliza
2,Allana
1,Allanah
1,Allannah
1,Allicia
2,Allie
1,Allise
1,Allisha
63,Allison
1,Allissa
1,Allora
1,Allynne
3,Allysa
1,Allysen
1,Allysha
1,Allysia
5,Allyson
3,Allyssa
1,Altiera
1,Alya
1,Alyce
12,Alycia
4,Alysa
5,Alyse
24,Alysha
2,Alyshah
6,Alyshia
2,Alysia
1,Alysia-Marie
9,Alyson
#,Baby Girl Names
161,Alyssa
1,Alyssa-Iman
1,Alyssa-Lyn
1,Alysse
3,Alyssha
1,Alyssia
1,Alysson
1,Alyxandra
1,Amaira
2,Amal
1,Amalie
1,Amanada
336,Amanda
3,Amanda-Lee
1,Amanda-Rae
1,Amandeep
1,Amandep
2,Amani
2,Amanjot
2,Amany
5,Amara
1,Amarens
3,Amaris
1,Amarra
1,Ambar
115,Amber
1,Amber-Leigh
3,Amberly
1,Amber-Lynn
1,Ambersunrise
1,Ambika
1,Ambur
1,Ameena
23,Amelia
1,Amelle
1,Amerika
1,Amery
1,Amey
1,Ami
9,Amie
1,Amilyn
3,Amina
1,Aminah
3,Amira
1,Amirha
1,Amita
1,Amna
1,Amorelle
1,Amreet
1,Amrit
2,Amrita
#,Baby Girl Names
111,Amy
1,Amy-Jo
1,Amylee
1,Amyny
1,Amythest
1,An
3,Ana
1,Anahita
1,Anais
1,Analisha
9,Anastasia
2,Andee
95,Andrea
1,Andree
1,Andria
1,Andrianna
1,Aneka
1,Anesea
1,Aneta
1,Anetta
1,Anfesa
1,Anfeya
11,Angel
56,Angela
2,Angele
1,Angelese
3,Angelica
2,Angelika
9,Angelina
4,Angeline
1,Angelinia
1,Angelique
2,Angella
1,Angelle
1,Angel-Leaha
2,Angie
1,Anglina
1,Anh-Thu
1,Anica
1,Anicia
1,Aniika
2,Anika
1,Anise-Marie
2,Anisha
19,Anita
1,Anjan
1,Anjanelle
2,Ann
47,Anna
1,Annabella
1,Annabelle
#,Baby Girl Names
1,Annalee
2,Annaliese
1,Annalisa
3,Annamaria
2,Annamarie
1,Anna-Marie
9,Anne
1,Anneliese
3,Annelise
1,Annesa
2,Annette
1,Annick
7,Annie
2,Annika
1,Annissa
1,Annmarie
1,Ann-Marie
1,Anood
1,Anthea
1,Antje
1,Antoinette
4,Antonia
1,Antonia-Jackie
1,Antonina
1,Anudeep
1,Anuoluwapo
1,Anya
32,April
1,Aqueena
1,Ara
1,Araura
1,Arden
2,Aria
2,Ariana
5,Arianna
1,Arianne
28,Ariel
1,Ariele
1,Ariell
1,Ariella
11,Arielle
2,Arina
1,Arithaea
1,Arlea
1,Armanda
1,Arra
1,Arrisa
1,Arshdeep
1,Arti
1,Arwa
2,Arynn
#,Baby Girl Names
2,Asha
1,Ashika
1,Ashlea
1,Ashleah
1,Ashlea-Marie
15,Ashlee
1,Ashleen
32,Ashleigh
1,Ash-leigh
1,Ashleigh-Ann
1,Ashleigh-Mae
389,Ashley
2,Ashley-Ann
2,Ashley-Anne
1,Ashley-Dawn
2,Ashli
3,Ashlie
1,Ashliegh
1,Ashline
1,Ashllee
4,Ashly
7,Ashlyn
3,Ashlynn
2,Ashten
1,Ashton
1,Ashtyn
1,Ashwine
1,Ashwini
1,Asia
1,Asia-Marie
3,Asma
1,Asmaa
1,Assma
1,Atalaya
1,Athanasia
1,Athena
1,Attenyo
1,Aubraye
1,Aubrey
1,Aubrynne
3,Audra
11,Audrey
1,Aurelea
1,Auriele
1,Aurielle
6,Aurora
2,Austen
1,Autum
3,Autumn
2,Ava
1,Avarie
#,Baby Girl Names
1,Avelene
1,Avenlaya
2,Averi
1,Averil
5,Avery
1,Awo-Akua
1,Ayan
9,Ayla
1,Aylisha
2,Aymie
1,Ayra
2,Aysha
2,Aysia
1,Aziza
3,Azra
24,Baby
3,Bailee
40,Bailey
1,Bailie
2,Baillie
1,Balie
1,Baneet
9,Barbara
2,Barbra
1,Barkha
1,Bashaier
3,Baylee
2,Bayley
2,Bayli
5,Beatrice
1,Beatrix
2,Beau
1,Becca
1,Bekki-Dawn
4,Belinda
1,Belynda
1,Bengilina
1,Berlin
1,Berlynn
2,Bernadette
1,Bernice
2,Bertha
7,Beth
1,Bethan
1,Bethani
2,Bethanie
1,Bethanniey-Ann
19,Bethany
1,Bethany-Jean
1,Bethel
1,Betsy
#,Baby Girl Names
2,Betty
1,Bettyann
1,Bevan
1,Beverley
7,Beverly
1,BeverlyAnn
1,Beverlyn
8,Bianca
3,Billie
1,Billie-Jean
2,Blaine
2,Blair
1,Blaire
1,Blakeny
1,Blaze
1,Blue
3,Bobbi
7,Bobbie
1,Bobbie-Jo
1,Bobbie-Lee
1,Bobbi-Jo
1,Bobby
1,Bojana
2,Bonita
7,Bonnie
1,Bonnie-Marie
1,Botaina
1,Bounheng
1,Braah
1,Bradi
1,Bradie
2,Brady
1,Brady-Leigh
1,Braedon
1,Braedyn
1,Braelene
1,Braidee
1,Braidy
2,Brandee
19,Brandi
2,Brandie
1,Brandi-Lee
1,Brandi-Lynn
2,Brandin
14,Brandy
1,Branwen
1,Brayanna
1,Braylee
1,Brayln
1,Brealyn
4,Breana
#,Baby Girl Names
2,Breane
5,Breann
32,Breanna
35,Breanne
1,Breannyn
3,Bree
1,Breean
1,Breeanna
1,Breeanne
1,Breena
1,Breianne
5,Brenda
1,Brenda-Ann
7,Brenna
1,Brenna-Lynn
3,Brett
1,Brettnie
9,Briana
49,Brianna
1,Brianna-Daile
27,Brianne
1,Briar
5,Bridget
2,Bridgette
2,Brieanna
3,Brielle
1,Brigitte
1,Brilee
1,Brina
1,Brinae
1,Briony
1,Brita
1,Britanee
1,Britaney
3,Britani
4,Britany
1,Briteney
1,Britiney
1,Britiny
1,Britlyn
13,Britney
1,Britni
1,Britny
1,Brittanee
2,Brittaney
4,Brittani
2,Brittania
2,Brittanie
1,Brittanney
256,Brittany
1,Brittany-Ann
#,Baby Girl Names
1,Brittany-Marie
2,Britteny
1,Brittinni-Rose
1,Brittnay
1,Brittne
1,Brittnee
61,Brittney
2,Brittni
2,Brittny
1,Brodie
1,Brodii
1,Brogan
3,Bronte
1,Bronwen
2,Bronwyn
26,Brooke
1,Brooklin
8,Brooklyn
2,Brooklynn
1,Bryana
5,Bryanna
1,Bryanna-Marie
3,Bryanne
1,Brydie
2,Bryn
3,Bryna
1,Bryneal
1,Brynley
2,Brynn
3,Brynna
1,Brynne
1,Bryse
1,Bryttany
1,Bryttnee
1,C.
1,Caa-Xai
2,Cady
1,Caedin
1,Caelin
3,Cailey
1,Cailin
1,Caillie
1,Caisia
1,Caitlan
80,Caitlin
2,Caitlind
19,Caitlyn
2,Caitlynn
1,Cajsa
1,Calandra
1,Caleda
#,Baby Girl Names
1,Caleigh
1,Calen
1,Caley
5,Cali
1,Calida
1,Calie
1,Calinna
1,Calissa
2,Calli
8,Callie
1,Camby
3,Camilla
17,Camille
1,Canako
25,Candace
1,Candase
21,Candice
1,Candy
1,Candyce
1,Caoimhe
2,Caprice
18,Cara
1,Carah
1,Cara-Jean
1,Caralee
1,Carannda
1,Caren
1,Caresa
1,Carey
1,Cari
1,Cariane
1,Cari-Ann
1,Carianne
1,Carin
4,Carina
3,Carisa
18,Carissa
10,Carla
1,Carlea
12,Carlee
3,Carleen
2,Carleigh
8,Carlene
17,Carley
1,Carleyne
3,Carli
7,Carlie
1,Carlin
1,Carlina
1,Carline
3,Carling
#,Baby Girl Names
52,Carly
1,Carly-Ann
1,Carlye
4,Carlyn
1,Carlynn
1,Carmain
1,Carmel
1,Carmelita
1,Carmelle
19,Carmen
1,Carmiella
11,Carol
1,Carolann
1,Carolanne
1,Carole
1,Carolee
2,Carolina
16,Caroline
16,Carolyn
1,Carolynn
1,Carra
1,Carren
1,Carri
14,Carrie
1,Carrie-Ann
1,Carry
1,Carsey
1,Carsyn
1,Caryn
1,Casadie
5,Casandra
11,Casey
1,Cashton
1,Casia
1,Casondra
123,Cassandra
1,Cassey
1,Cassi
1,Cassia
1,Cassidie
16,Cassidy
4,Cassie
4,Cassondra
1,Catalina
2,Catarina
3,Caterina
34,Catherine
1,Catherine-Ann
1,Catheryn
3,Cathleen
1,Cathlyn
#,Baby Girl Names
1,Cathrine
2,Cathryn
1,Cathy
1,Catlyn
2,Catrina
1,Cauline
1,Cavelle
1,Cayce
5,Cayla
1,Caylah
3,Caylee
5,Cayley
1,Cayli
2,Caylie
1,Caylyn
2,Ceanna
4,Ceara
1,Ceciley
3,Cecilia
1,Cekwinn
1,Celena
11,Celeste
2,Celia
3,Celina
1,Celina-Dee
4,Celine
1,Cellene
1,Celynn
1,Cerys
1,Cesalee
1,Chackriya
1,Chaelyn
1,Chail
1,Chaila
1,Chailina
1,Chalain
1,Chalan
1,Chalene
1,Chalsey
1,Champagne
1,Chancie
1,Chanda
2,Chandel
1,Chandelle
8,Chandra
1,Chandri
6,Chanel
1,Chanel-Anna
7,Chanelle
1,Chanise
2,Chantae
#,Baby Girl Names
1,Chantai
1,Chantaille
34,Chantal
2,Chantalle
1,Chantay
1,Chante
1,Chanteesa
45,Chantel
1,Chantele
1,Chantell
60,Chantelle
1,Chantelyn
1,Chantiesa
1,Chardaye
1,Charis
5,Charissa
1,Charita
1,Charitha
3,Charity
2,Charla
1,Charlea
1,Charlee
15,Charlene
1,Charli
1,Charlie
10,Charlotte
1,Charlsey
2,Charlsie
12,Charmaine
5,Charmayne
2,Charnele
1,Charnelle
1,Chartesha
2,Chasidy
2,Chasity
3,Chassidy
1,Chau
1,Chauneece
1,Chava
1,Chavonne
1,Chaya
1,Chayla
1,Cheantel
1,Cheavy
1,Chelcia
1,Chelisa
1,Chellsey
144,Chelsea
1,Chelsea-Mary
1,Chelsea-Rayne
1,Chelseigh
#,Baby Girl Names
49,Chelsey
3,Chelsi
2,Chelsia
9,Chelsie
2,Chelsy
1,Chelynne
1,Chenelle
1,Chenessa
1,Chenise
