Baby Boy Names Registered in 1992,
#,Baby Boy Names
1,Aakash
156,Aaron
1,Aarondeep
1,Aaron-See
1,Aazam
1,Abdallah
1,Abdul
1,Abdul-Rahman
1,Abe
7,Abraham
2,Abram
1,Acquilla
1,Adair
193,Adam
11,Addison
1,Adel
2,Aden
1,Adetayo
1,Adewale
1,Adib
1,Adil
1,Adolf
31,Adrian
1,Adrian-Kwame
1,Adriel
4,Adrien
1,Adrine
1,Adryn
1,Aedon
1,Aeron
1,Afanasy
1,Afshar
1,Ahkash
4,Ahmad
7,Ahmed
1,Ahmed-Jamal
1,Ahsan
15,Aidan
1,Aiden
1,Airon
2,Ajay
1,Ajaypal
1,Ajayveer
1,Akaash
1,Akashveer
2,Akeem
1,Akram
5,Alain
#,Baby Boy Names
18,Alan
1,Alaric
1,Alastair
18,Albert
1,Albin
3,Alden
1,Aldo
6,Alec
1,Alecs
1,Aleem
1,Alejandro
1,Alek
1,Aleksandar
1,Aleksander
1,Aleksandr
1,Alesdair
1,Alessandro
42,Alex
239,Alexander
7,Alexandre
1,Alexandros
1,Alexei
1,Alexi
1,Alexis
1,Alexsandr
1,Alfons
1,Alford
5,Alfred
16,Ali
1,Alias
1,Alikhan
1,Alim
1,Alinar
2,Alistair
2,Alister
1,Alixandra
19,Allan
1,Allan-Andreas
12,Allen
1,Almar
1,Al-Moatasim
1,Al-Mothana
1,Alonso
2,Alonzo
1,Alveen
4,Alvin
1,Alwi
1,Aly
#,Baby Boy Names
1,Alykhan
1,Alyxandar
1,Amadea
1,Amadeo
1,Amal
2,Aman
1,Amanallah
3,Amandeep
1,Amanjot
1,Amanveer
1,Amanvir
2,Amar
1,Amardeep
1,Amarjot
1,Amarveer
1,Amean
1,Amer
2,Amiel
1,Amilcar
1,Aminne
2,Amir
3,Amit
1,Amjodh
1,Ammar
1,Ammen
1,Ammer
2,Ammon
1,Amon
1,Amos
1,Amrinder
1,Amrit
1,Anais
1,Anas
1,Anders
1,Andras
15,Andre
4,Andreas
1,Andreo
5,Andres
234,Andrew
1,Andrey
15,Andy
1,Aneesh
1,Angel
3,Angelo
7,Angus
1,Anitesh
1,Ankush
#,Baby Boy Names
1,Ansaoneil
108,Anthony
1,Anthony-Gaspare
3,Antoine
2,Anton
1,Antoni
4,Antonio
1,Antonis
3,Antony
1,Antoon
1,Anup
1,Anupam
1,Anurag
1,Aqeeb
1,Aqil
1,Arashdeep
1,Araz
1,Aref
2,Aren
1,Ari
3,Aric
1,Arie
1,Arien
3,Arjun
1,Arland
1,Arlett
1,Arlie
4,Arman
1,Armancio
1,Armando
1,Arne
1,Arnie
1,Arnold
1,Arsene
1,Arshad
11,Arthur
2,Arun
1,Asad
3,Ashley
1,Ashneel
1,Ashraf
1,Ashten
6,Ashton
1,Ashwant
1,Ashwin
1,Aslam
1,Aslan
1,Assad
1,Athanasios
#,Baby Boy Names
1,Atilla
1,Atli
1,Attilio
1,Aubrey
1,Aubrie
2,Augustine
1,Augustus
1,Aussim
2,Austen
62,Austin
2,Auston
1,Austyn
1,Avan
1,Avedis
9,Avery
1,Avinash
1,Avishai
1,Avjot
1,Awet
1,Awstin
2,Axel
1,Axl
2,Aydan
2,Ayden
1,Ayron
1,Azeem
1,Azfer
1,Azhar
1,Azren
2,Ba
30,Baby
1,Bahige
2,Bailey
2,Balal
1,Baley
1,Balpreet
1,Bang
1,Banjo
2,Bao
1,Baraa-Omar
2,Barento
1,Barney
1,Baron
1,Barret
4,Barrett
7,Barry
1,Bartholomew
1,Bartimaeus
2,Basil
#,Baby Boy Names
3,Beau
1,Behn
2,Belal
14,Ben
3,Benedict
1,Benhard
1,Benhord
1,Benjamen
120,Benjamin
1,Benjimen
6,Bennett
1,Benny
2,Benson
1,Berion
6,Bernard
1,Bernhard
1,Bernie
1,Berwin
1,Bevan
1,Bhavsagar
1,Bhojraj
1,Bikram
1,Bikramjeet
1,Bill
5,Billy
1,Billy-Ray
1,Billyroy
1,Bipinjeet
1,Bjorn
1,Blaid
2,Blain
14,Blaine
27,Blair
1,Blaise
41,Blake
1,Blakely
2,Blayne
1,Blaze
3,Bo
1,Bobak
3,Bobby
1,Boe-Jeremy
1,Boris
1,Boun
1,Bowen
1,Boy
2,Boyce
1,Boycus
1,Boyd
#,Baby Boy Names
7,Brad
1,Bradagen
1,Bradee
47,Braden
1,Bradey
3,Bradford
115,Bradley
6,Bradly
2,Bradon
39,Brady
1,Bradyn
5,Braedan
16,Braeden
9,Braedon
1,Braiden
1,Braidon
2,Braidy
6,Brandan
17,Branden
4,Brandin
306,Brandon
1,Brandon-Lee
4,Brandt
9,Brandyn
2,Brant
3,Branton
27,Brayden
11,Braydon
1,Braylon
1,Brayton
1,Brece
1,Breimen
80,Brendan
13,Brenden
2,Brendin
30,Brendon
1,Brendyn
1,Brenford
2,Brenn
14,Brennan
5,Brennen
49,Brent
5,Brenton
6,Bret
1,Breton
176,Brett
1,Brette
1,Bretten
6,Bretton
#,Baby Boy Names
1,Breydon
66,Brian
1,Brian-Patrick
1,Briant
1,Briar
1,Brice
1,Brijesh
1,Brittyn
1,Broc
11,Brock
1,Brockton
2,Broden
1,Broderick
13,Brodie
10,Brody
1,Broley
5,Bronson
3,Brook
2,Brooks
10,Bruce
1,Bruno
31,Bryan
2,Bryant
3,Bryar
54,Bryce
1,Brydon
2,Bryer
1,Bryn
1,Bryndon
2,Brynn
5,Bryon
1,Bryon-Allen
1,Bryscn
1,Bryson
6,Bryton
1,Buddy
1,Bugra
1,Burke
1,Bussam
15,Byron
2,Cade
1,Cadrin
2,Cael
1,Caelan
1,Caige
2,Cailean
2,Cain
1,Caine
1,Caitlyn
#,Baby Boy Names
1,Calby
7,Cale
18,Caleb
2,Calen
1,Calin
1,Call
1,Callahan
1,Callan
2,Calum
1,Calvenn
1,Calvert
25,Calvin
1,Cameran
1,Camereon
87,Cameron
1,Cameron-Blaze
1,Camille
1,Camillo
1,Camilo
1,Canon
1,Cao
1,Caolan
1,Carey
10,Carl
1,Carlen
1,Carleton
7,Carlin
1,Carlitos
2,Carlo
8,Carlos
1,Carlyle
1,Carmen
1,Carmine
26,Carson
1,Carston
15,Carter
1,Cary
1,Cas
1,Casetin
20,Casey
1,Cash
1,Cashman
1,Cashtyn
6,Cassidy
5,Catlin
1,Catlynn
1,Caulin
1,Caven
1,Cayle
#,Baby Boy Names
1,Cecil
1,Cedric
2,Cee
3,Chace
81,Chad
1,Chadd
1,Chade
1,Chaffen
1,Chager
1,Chais
1,Chaise
24,Chance
1,Chancellor
1,Chandler
1,Channpreet
1,Chanseler
1,Chansler
1,Chappen
1,Charan
1,Charanveer
27,Charles
1,Charlie
1,Charlton
1,Charnel
1,Chas
46,Chase
1,Chason
1,Chasse
1,Chauncey
1,Chavez
2,Chay
1,Chayd
1,Chayse
4,Chaz
1,Che
1,Chei-Tsung
1,Chesney
1,Chevor
1,Chevy
1,Cheyenne
1,Chi
1,Chibuzo
1,Chicago
1,Chisholm
4,Chris
3,Christen
2,Christiaan
50,Christian
1,Christien
#,Baby Boy Names
1,Christoffer
2,Christon
1,Christoph
362,Christopher
1,CHRISTOPHER
1,Christopher-Lee
2,Christos
1,Chun
2,Chung
1,Ciaran
5,Clarence
4,Clark
4,Clarke
1,Claude
4,Clay
1,Claydon
42,Clayton
1,Clement
1,Cliff
2,Clifford
1,Clifton
3,Clint
1,Clintin
26,Clinton
1,Coalton
1,Cobin
3,Codey
2,Codi
1,Codie
268,Cody
1,Cody-Jean
1,Cody-Lee
3,Cohen
1,Colbe
1,Colbey
1,Colbin
29,Colby
65,Cole
3,Coleman
2,Coleton
77,Colin
15,Collin
1,Collins
1,Collyn
1,Colmon
1,Colt
3,Coltan
12,Colten
4,Colter
#,Baby Boy Names
6,Coltin
70,Colton
2,Coltyn
1,Conan
1,Conlan
1,Conley
1,Connar
1,Connel
10,Conner
1,Connlaoi
101,Connor
17,Conor
16,Conrad
1,Conrey
1,Constantinos
1,Conway
4,Cooper
1,Corben
17,Corbin
1,Cord
1,Cordel
2,Cordell
38,Corey
1,Corie
3,Cornelis
4,Cornelius
1,Cornellius
1,Cornie
1,Corwin
54,Cory
2,Coty
1,Coulten
1,Courtland
2,Courtney
1,Covy
52,Craig
1,Crawford
1,Cregg
1,Creighton
1,Crisandro
1,Crosby
1,Crossland
1,Cruz
1,Cryton
1,Cullen
1,Cullyn
2,Curran
1,Curt
77,Curtis
#,Baby Boy Names
1,Cuyler
1,Cy
1,Cyi
1,Cyle
1,Cyler
2,Cyrus
1,Dackota
1,Daeton
1,Dahlin
1,Daikota
3,Dain
4,Daine
1,Dakhota
47,Dakota
1,Dakotah
1,Dakoyta
1,Dalainey
15,Dale
3,Dalen
42,Dallas
3,Dallin
1,Dallon
1,Dalminder
2,Dalten
27,Dalton
1,Dalveer
1,Dalvinder
1,Daly
1,Daman
1,Damanjeet
1,Damein
1,Damen
1,Dameon
15,Damian
13,Damien
2,Damion
1,Damione
16,Damon
6,Dana
13,Dane
1,Danh
3,Danial
296,Daniel
1,Daniell
1,Danneil
18,Danny
2,Dante
2,Danton
2,Danzel
#,Baby Boy Names
1,Daravichhaiy
1,Darcey
23,Darcy
1,D'Arcy
1,Darek
3,Daren
7,Darian
2,Darien
1,Daril
5,Darin
3,Darius
1,Darnel
3,Darnell
1,Daron
1,Darragh
4,Darrel
2,Darrell
39,Darren
2,Darrin
1,Darris
11,Darryl
1,Darshan
4,Darwin
1,Daryan
9,Daryl
1,Daryn
1,Dat
1,Dathan
1,Dave
1,Daved
1,Daven
219,David
1,Davide
1,David-Nemanja
9,Davin
1,Davinder
8,Davis
1,Davison
6,Dawson
2,Daylan
1,Dayle
2,Daylen
1,Daylin
1,Daylon
1,Daymon
1,Dayna
3,Dayne
1,Daynon
5,Dayton
#,Baby Boy Names
1,Daytona
19,Dean
1,Decklan
2,Declan
1,Deepak
1,Deland
3,Delbert
2,Deleted
1,Delford
1,Delsyn
1,Delton
1,Delyn
1,Demetres
1,Demetri
1,Demetrios
1,Dene
1,Denim
1,Denin
5,Denis
1,Denning
22,Dennis
1,Dennon
2,Denny
1,Denon
1,Densel
1,Denton
3,Denver
1,Denvor
1,Denzel
1,Deon
2,Depinder
2,Dereck
101,Derek
1,Deria
1,Deric
2,Derick
1,Derk
1,Dermot
17,Derrick
1,Derrik
1,Deryk
1,Desai
1,Deshane
1,Desmon
8,Desmond
7,Devan
1,Devean
2,Deven
49,Devin
#,Baby Boy Names
1,Devlin
58,Devon
1,Devonne
2,Devyn
5,Dexter
1,Deyong
1,Diaro
1,Diego
2,Dilan
1,Diljot
1,Dilkarn
4,Dillan
1,Dillen
1,Dillinger
2,Dillion
68,Dillon
1,Dillyn
1,Dillyon
1,Dilon
1,Dilyad
1,Dimitri
3,Dimitrios
1,Dimitrius
1,Dinh
4,Dion
1,Dixon
1,D-Jay
1,Dmitri
1,Dolan
1,Dolton
1,Domenico
17,Dominic
3,Dominick
2,Dominik
4,Dominique
1,Domnic
1,Don
20,Donald
2,Donavan
3,Donavin
1,Donnavin
1,Donnelly
1,Donnie
12,Donovan
1,Dontay
1,Dorean
4,Dorian
1,Dorne
1,Doryn
#,Baby Boy Names
45,Douglas
1,Douglass
1,Doyle
2,Drake
1,Drayden
2,Drayton
1,Dream
26,Drew
1,Drey
2,Dryden
1,Drydn
1,Du
4,Duane
1,Duj'On
1,Dulaa
15,Duncan
1,Duong
1,Duran
1,Dustan
1,Dusten
124,Dustin
2,Dusty
5,Dustyn
1,Duy
1,Dwayn
6,Dwayne
6,Dwight
259,Dylan
1,Dyland
1,Dylan-Wayne
4,Dyllan
1,Dyllen
3,Dyllon
7,Dylon
1,Dylyn
1,Dyrrin
1,Eamon
1,Eamonn
2,Earl
1,Ebraheem
1,Edan
5,Eddie
1,Eddy
1,Edgar
1,Edison
