Baby Boy Names Registered in 1998,
#,Baby Boy Names
2,Aamir
1,Aaren
90,Aaron
1,Aaronjeet
1,Aaronjit
2,Aasim
1,Abdel
1,Abdirahman
1,Abdol
1,Abdualallah
1,Abduallah
3,Abdul
1,Abdul-Azeez
1,Abdulkadir
5,Abdullah
1,Abdul-Mumin
1,Abdulwahab
4,Abel
1,Abhinav
8,Abraham
1,Abrahim
4,Abram
1,Ace
1,Adalin
125,Adam
1,Adamu
1,Adarsh
2,Addison
1,Adeeb
1,Adel
1,Adelino
1,Adem
4,Aden
2,Adesh
1,Adil-Rizwan
1,Adley
1,Admon
1,Adnaan
1,Adnan
1,Adolphus
1,Adriaan
18,Adrian
1,Adrian-Joseph
3,Adriano
2,Adriel
1,Aedan
1,Aegis
1,Aeran
#,Baby Boy Names
1,Aeric
1,Agabus
1,Agai
1,Ahad
5,Ahmad
12,Ahmed
1,Ahryll
54,Aidan
18,Aiden
1,Ajandeep
2,Ajay
1,Ajaypal
1,Ajdin
1,Ajitpal
2,Akash
1,Akashdeep
1,Alaa
1,Aladeen
9,Alan
1,Alasdair
1,Alastair
1,Albaraa
7,Albert
1,Alden
1,Aldrich
13,Alec
1,Alec-James
1,Aleem
1,Alegandro
3,Alejandro
2,Aleksa
2,Aleksandar
1,Alesh
2,Alessandro
46,Alex
214,Alexander
5,Alexandre
1,Alexandru
1,Alexei
1,Alexey
1,Alexi
1,Alexis
1,Alexsis
3,Alfred
23,Ali
1,Alias
1,"Ali-El-Sajjad-
Mohammed"
#,Baby Boy Names
1,Alim
1,Alisdair
1,Alistair
2,Alix
7,Allan
5,Allen
1,Allister
2,Allyn
1,Alper
2,Alphonse
1,Alula
1,Alun
2,Alvin
1,Alx
1,Aly
3,Amandeep
1,Amandip
1,Amani
2,Amanpreet
2,Amar
2,Ameer
1,Amil
1,Amin
7,Amir
3,Amit
1,Amitesver
1,Ammaar
1,Ammar
1,Ammin
2,Ammon
1,Amos
1,Amreet
1,Amrit
1,Amritpal
1,Amro
1,Anas
1,Anatoly
2,Anders
1,Andersen
15,Andre
1,Andrej
2,Andres
161,Andrew
12,Andy
6,Angelo
1,Angelus
7,Angus
1,Anh
#,Baby Boy Names
1,Aniekan-Ezekiel
1,Anjo
1,Ankit
1,Ankush
1,Anojan
1,Anoop
3,Anson
1,Antaun
1,Ante
1,Anthoney
69,Anthony
4,Antoine
5,Anton
1,Antonie
1,Antonine
20,Antonio
1,Antony
1,Anuj
1,Anwar
1,Aram
1,Aran
1,Araz
1,Arek
1,Aren
1,Aric
1,Ariel
1,Arik
7,Arjun
1,Arjunjot
1,Arlan
1,Arlen
2,Arlon
6,Armaan
1,Arman
2,Armand
1,Armando
1,Arnel
1,Arnie
1,Arnold
3,Aron
1,Arpan
1,Arpit
1,Arrien
1,Arron
1,Arsalan
3,Arshdeep
1,Art
8,Arthur
1,Arturs
#,Baby Boy Names
1,Arun
1,Arvey
2,Arvin
1,Arvind
1,Arvinder
1,Asenai
1,Asfand
2,Ash
1,Asher
1,Ashraf
1,Ashtin
28,Ashton
1,Ashwinder
1,Asim
1,Aslan
1,Asmaie
1,Asmir
1,Assago
1,Atinder
1,Atle
1,Atnish
1,Atraol
1,Atticus
2,Aubrey
3,August
1,Auguste
1,Auhstin
1,Aundre
1,Aury
1,Austan
2,Austen
1,Austen-Ryley
262,Austin
1,Austin.Cole
1,Austin-John
1,Austin-Lee
2,Austyn
1,Auwais
1,Aveiry
1,Averie
18,Avery
1,Avery-John
1,Avhijot
1,Avinash
1,Avneet
1,Avry
1,Awais
1,Awez
3,Axel
#,Baby Boy Names
1,Axl
8,Ayden
1,Ayomide
2,Azan
1,Azhar
1,Azzayah
38,Baby
1,Baha-Aldean
