Baby Boy Names Registered in 1995,
#,Baby Boy Names
107,Aaron
1,Aarush
1,Aaryn
1,Abd
1,Abdel-Malik
1,Abdon
1,Abd-Sallam
1,Abdu
3,Abdul
5,Abdullah
1,Abdulrahman
1,Abdul-Rahman
1,Abdulsalam
1,Abdurrahim
2,Abe
1,Abel
1,Abhideep
1,Abhijot
1,Abhishaik
1,Able
4,Abraham
2,Abram
1,Abshar
2,Ace
128,Adam
1,Adarsh
4,Addison
1,Adeel
1,Adeem
2,Aden
1,Adi
1,Adian
1,Adil
1,Adison
1,Adithya
1,Aditya
1,Adnan
1,Adolphus
1,Adonis
1,Adriaan
25,Adrian
3,Adriel
2,Adrien
1,Adynn
1,Aeden
1,Ahamed
4,Ahmad
9,Ahmed
#,Baby Boy Names
1,Ahson
36,Aidan
8,Aiden
1,Aiman
1,Ajap
4,Ajay
1,Ajayveer
1,Ajeej
1,Ajvinder
1,Akaash
1,Akaiyan
3,Akash
1,Akashdeep
1,Akhil
1,Akiff
1,Akira
1,Akren
1,Aksel
2,Akshay
1,Alaa
1,Alaaddine
4,Alain
1,Alak
8,Alan
1,Alastair
1,Albanie
10,Albert
1,Alberto
1,Aldius
1,Aldwin
7,Alec
1,Aleem
3,Alejandro
1,Aleksis
1,Alekxzander
1,Alekzander
4,Alessandro
41,Alex
212,Alexander
10,Alexandre
1,Alexi
5,Alexis
1,Alexnader
2,Alfred
1,Al-Hasan
15,Ali
1,Alijha
3,Alistair
#,Baby Boy Names
1,Alix
1,Alixander
20,Allan
9,Allen
1,Alois
1,Alphonso
1,Alstair
1,Altan
1,Altay
1,Alton
10,Alvin
1,Alvis
1,Alykhan
1,Amad
1,Aman
1,Amanpreet
2,Amar
1,Amarveer
2,Ameet
1,Amellio
1,Amer
1,Amiraj
1,Amir-Hesam
1,Amit
1,Amman
1,Amon
2,Amos
1,Amrinder
1,Amrit
1,Amritpal
1,Anand
1,Anas
1,Anders
1,Anderson
11,Andre
4,Andreas
4,Andres
185,Andrew
1,Andrian
1,Andriy
1,Andro
1,Anduele
20,Andy
1,Andzie
1,Anfernee
1,Angel
1,Angello
2,Angelo
#,Baby Boy Names
6,Angus
2,Anh
1,Anh-Bang
2,Anil
1,Aniq
3,Anish
1,Ankit
1,Ankur
2,Anmole
1,Anne
1,Anoop
1,Anson
1,Ante
1,Anthonie
97,Anthony
1,Anthony-Joseph
2,Antoine
1,Anton
5,Antonio
2,Antony
1,Anuj
1,Anuraj
1,Anuvir
1,Anveer
1,Appollo
1,Aqeel
1,Aqil
3,Archie
2,Arden
1,Ardene
1,Arec
1,Arek
1,Arham
1,Ari
2,Aric
1,Arie
1,Ariel
1,Aris
1,Aristotle
2,Arjun
2,Arlen
1,Arley
1,Arlo
1,Arman
1,Armando
1,Armon
1,Arnaldo
1,Arne
2,Arnie
#,Baby Boy Names
6,Arnold
4,Aron
1,Arran
2,Arron
2,Arsh
1,Arshad
2,Arshdeep
1,Arshmin
5,Arthur
1,Artun
1,Artur
1,Arun
1,Arwyn
1,Aryton
1,Asam
3,Ashley
1,Ashmeet
1,Ashneel
1,Ashpal
2,Ashraf
16,Ashton
1,Ashtyn
1,Ashwin
1,Aston
1,Athan
2,Atif
1,Atish
1,Atticus
1,Attila
1,Aubjit
3,Aubrey
2,August
1,Augustin
1,Augustine
1,Augustus
1,Austan
5,Austen
278,Austin
1,Austin-Jordan
3,Auston
6,Austyn
1,Autef
1,Aveneil
14,Avery
1,Avian
1,Avinesh
1,Avinil
1,Avnash
2,Axel
#,Baby Boy Names
1,Axl
1,Ayanleh
1,Ayaz
1,Aydean
2,Ayden
1,Ayodele
1,Ayrton
1,Ayumu
1,Ayuz
1,Azan
1,Azeem
1,Aziz
1,Baasil
37,Baby
1,Badar
1,Badereddin
1,Bahram
2,Bailee
9,Bailey
1,Baldeep
1,Balkaran
1,Baltaj
1,Bannie
1,Bao
1,Barakat
1,Barinder
1,Barinderjeet
1,Bariso
1,Barret
2,Barrett
2,Barry
1,Bart
1,Basem
1,Bassel
1,Baudoin
1,Bauer
1,Bayan
1,Baylee
4,Beau
1,Beaudan
1,Beerinder
2,Belal
10,Ben
1,Benedek
2,Benedict
1,Benette
1,Benhard
1,Benito
1,Benjamen
#,Baby Boy Names
126,Benjamin
1,Benjemin
1,Benjiman
4,Bennett
3,Benny
3,Benoit
4,Benson
1,Bentley
1,Berge
2,Bernard
3,Bernhard
1,Bernie
1,Bert
4,Bilal
1,Bill
1,Billal
8,Billy
1,Bishop
2,Blade
1,Blain
18,Blaine
13,Blair
1,Blais
1,Blaise
1,Blaize
40,Blake
1,Blandon
2,Blayne
4,Blaze
1,Blue
2,Bobby
1,Bobby-Joe
1,Boden
2,Bodie
2,Boe
1,Bohdan
2,Boris
1,Bosco
1,Boston
2,Bowen
1,Boyce
2,Boyd
6,Brad
2,Bradan
60,Braden
1,Bradey
1,Bradford
1,Bradi
1,Bradin
#,Baby Boy Names
2,Bradlee
91,Bradley
5,Bradly
3,Bradon
55,Brady
2,Bradyn
5,Braedan
31,Braeden
1,Braedin
8,Braedon
3,Braedyn
1,Braeson
1,Braidan
7,Braiden
6,Braidon
1,Braidyn
1,Brainard
1,Braiyten
1,Bram
3,Brandan
1,Branddon
19,Branden
3,Brandin
371,Brandon
2,Brandt
5,Brandyn
2,Brannon
1,Branson
5,Brant
1,Brantly
1,Branton
1,Braven
3,Braxton
1,Bray
59,Brayden
10,Braydon
1,Brayton
1,Breckke
62,Brendan
17,Brenden
1,Brendin
18,Brendon
27,Brennan
6,Brennen
1,Brenner
3,Brennon
25,Brent
4,Brenton
8,Bret
#,Baby Boy Names
1,Breton
143,Brett
1,Brettan
4,Bretton
42,Brian
1,Brian-James
1,Briar
3,Brice
2,Bridger
1,Briean
1,Brieten
2,Brighton
1,Brin
1,Britt
2,Britton
19,Brock
1,Brockston
1,Brodan
3,Broden
1,Brodey
14,Brodie
2,Brodrick
25,Brody
1,Brogan
1,Brogen
1,Broghan
1,Brok
1,Brolan
1,Bronson
1,Brook
1,Brooker
1,Brooklyn
2,Brooks
1,Browdy
4,Bruce
1,Bruno
26,Bryan
1,Bryant
1,Bryar
53,Bryce
2,Brydon
1,Bryer
3,Bryn
1,Bryndan
1,Bryne
1,Bryon
11,Bryson
1,Bryten
10,Bryton
#,Baby Boy Names
1,Bud
2,Buddy
1,Burke
1,Burton
1,Buta
10,Byron
1,Cache
3,Cade
3,Caden
2,Caelan
1,Caellum
1,Caetano
2,Caiden
1,Caige
1,Cain
1,Cainan
1,Cajun
1,Calder
2,Cale
43,Caleb
1,Calen
1,Call
1,Callahan
1,Callen
7,Callum
4,Calum
30,Calvin
1,Calvyn
1,Cameran
67,Cameron
1,Campbell
